id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable
OSS1,OSS1,OSS1,substation,107.5,8.75,,,,osw_substation.yaml,export.yaml
T1,OSS1,T1,turbine,107.5,8.75,0,0,0,MySE 18.5-260.yaml,array.yaml
T2,OSS1,T2,turbine,107.51654178477376,8.75,0,1,0,MySE 18.5-260.yaml,array.yaml
T3,OSS1,T3,turbine,107.53308356954754,8.75,0,2,0,MySE 18.5-260.yaml,array.yaml
T4,OSS1,T4,turbine,107.53308356954754,8.773513665056885,0,3,0,MySE 18.5-260.yaml,array.yaml
T5,OSS1,T5,turbine,107.54962535432131,8.75,0,4,0,MySE 18.5-260.yaml,array.yaml
T6,OSS1,T6,turbine,107.54962535432131,8.773513665056885,0,5,0,MySE 18.5-260.yaml,array.yaml
T7,OSS1,T7,turbine,107.54962535432131,8.79702733011377,0,6,0,MySE 18.5-260.yaml,array.yaml
T8,OSS1,T8,turbine,107.51654178477376,8.773513665056885,1,0,0,MySE 18.5-260.yaml,array.yaml
T9,OSS1,T9,turbine,107.51654178477376,8.79702733011377,1,1,0,MySE 18.5-260.yaml,array.yaml
T10,OSS1,T10,turbine,107.53308356954754,8.79702733011377,1,2,0,MySE 18.5-260.yaml,array.yaml
T11,OSS1,T11,turbine,107.5,8.773513665056885,2,0,0,MySE 18.5-260.yaml,array.yaml
T12,OSS1,T12,turbine,107.48345821522624,8.773513665056885,2,1,0,MySE 18.5-260.yaml,array.yaml
T13,OSS1,T13,turbine,107.5,8.79702733011377,2,2,0,MySE 18.5-260.yaml,array.yaml
T14,OSS1,T14,turbine,107.48345821522624,8.79702733011377,2,3,0,MySE 18.5-260.yaml,array.yaml
T15,OSS1,T15,turbine,107.46691643045246,8.79702733011377,2,4,0,MySE 18.5-260.yaml,array.yaml
T16,OSS1,T16,turbine,107.45037464567869,8.820540995170655,2,5,0,MySE 18.5-260.yaml,array.yaml
T17,OSS1,T17,turbine,107.46691643045246,8.773513665056885,3,0,0,MySE 18.5-260.yaml,array.yaml
T18,OSS1,T18,turbine,107.45037464567869,8.773513665056885,3,1,0,MySE 18.5-260.yaml,array.yaml
T19,OSS1,T19,turbine,107.45037464567869,8.79702733011377,3,2,0,MySE 18.5-260.yaml,array.yaml
T20,OSS1,T20,turbine,107.48345821522624,8.75,4,0,0,MySE 18.5-260.yaml,array.yaml
T21,OSS1,T21,turbine,107.46691643045246,8.75,4,1,0,MySE 18.5-260.yaml,array.yaml
T22,OSS1,T22,turbine,107.46691643045246,8.726486334943115,4,2,0,MySE 18.5-260.yaml,array.yaml
T23,OSS1,T23,turbine,107.45037464567869,8.75,4,3,0,MySE 18.5-260.yaml,array.yaml
T24,OSS1,T24,turbine,107.45037464567869,8.726486334943115,4,4,0,MySE 18.5-260.yaml,array.yaml
T25,OSS1,T25,turbine,107.45037464567869,8.70297266988623,4,5,0,MySE 18.5-260.yaml,array.yaml
T26,OSS1,T26,turbine,107.48345821522624,8.726486334943115,5,0,0,MySE 18.5-260.yaml,array.yaml
T27,OSS1,T27,turbine,107.48345821522624,8.70297266988623,5,1,0,MySE 18.5-260.yaml,array.yaml
T28,OSS1,T28,turbine,107.46691643045246,8.70297266988623,5,2,0,MySE 18.5-260.yaml,array.yaml
T29,OSS1,T29,turbine,107.48345821522624,8.679459004829345,5,3,0,MySE 18.5-260.yaml,array.yaml
T30,OSS1,T30,turbine,107.46691643045246,8.679459004829345,5,4,0,MySE 18.5-260.yaml,array.yaml
T31,OSS1,T31,turbine,107.45037464567869,8.679459004829345,5,5,0,MySE 18.5-260.yaml,array.yaml
T32,OSS1,T32,turbine,107.5,8.726486334943115,6,0,0,MySE 18.5-260.yaml,array.yaml
T33,OSS1,T33,turbine,107.51654178477376,8.726486334943115,6,1,0,MySE 18.5-260.yaml,array.yaml
T34,OSS1,T34,turbine,107.5,8.70297266988623,6,2,0,MySE 18.5-260.yaml,array.yaml
T35,OSS1,T35,turbine,107.51654178477376,8.70297266988623,6,3,0,MySE 18.5-260.yaml,array.yaml
T36,OSS1,T36,turbine,107.53308356954754,8.70297266988623,6,4,0,MySE 18.5-260.yaml,array.yaml
T37,OSS1,T37,turbine,107.5,8.679459004829345,6,5,0,MySE 18.5-260.yaml,array.yaml
T38,OSS1,T38,turbine,107.51654178477376,8.679459004829345,6,6,0,MySE 18.5-260.yaml,array.yaml
T39,OSS1,T39,turbine,107.53308356954754,8.679459004829345,6,7,0,MySE 18.5-260.yaml,array.yaml
T40,OSS1,T40,turbine,107.54962535432131,8.679459004829345,6,8,0,MySE 18.5-260.yaml,array.yaml
T41,OSS1,T41,turbine,107.53308356954754,8.726486334943115,7,0,0,MySE 18.5-260.yaml,array.yaml
T42,OSS1,T42,turbine,107.54962535432131,8.726486334943115,7,1,0,MySE 18.5-260.yaml,array.yaml
T43,OSS1,T43,turbine,107.54962535432131,8.70297266988623,7,2,0,MySE 18.5-260.yaml,array.yaml
