id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable
OSS1,OSS1,OSS1,substation,107.5,8.75,,,,osw_substation.yaml,export.yaml
T1,OSS1,T1,turbine,107.5,8.75,0,0,0,V112-3.45.yaml,array.yaml
T2,OSS1,T2,turbine,107.50712569190254,8.75,0,1,0,V112-3.45.yaml,array.yaml
T3,OSS1,T3,turbine,107.51425138380509,8.75,0,2,0,V112-3.45.yaml,array.yaml
T4,OSS1,T4,turbine,107.51425138380509,8.76012896340912,0,3,0,V112-3.45.yaml,array.yaml
T5,OSS1,T5,turbine,107.52137707570765,8.75,0,4,0,V112-3.45.yaml,array.yaml
T6,OSS1,T6,turbine,107.52137707570765,8.76012896340912,0,5,0,V112-3.45.yaml,array.yaml
T7,OSS1,T7,turbine,107.52850276761019,8.75,0,6,0,V112-3.45.yaml,array.yaml
T8,OSS1,T8,turbine,107.52137707570765,8.770257926818239,0,7,0,V112-3.45.yaml,array.yaml
T9,OSS1,T9,turbine,107.52850276761019,8.76012896340912,0,8,0,V112-3.45.yaml,array.yaml
T10,OSS1,T10,turbine,107.52850276761019,8.770257926818239,0,9,0,V112-3.45.yaml,array.yaml
T11,OSS1,T11,turbine,107.50712569190254,8.76012896340912,1,0,0,V112-3.45.yaml,array.yaml
T12,OSS1,T12,turbine,107.50712569190254,8.770257926818239,1,1,0,V112-3.45.yaml,array.yaml
T13,OSS1,T13,turbine,107.51425138380509,8.770257926818239,1,2,0,V112-3.45.yaml,array.yaml
T14,OSS1,T14,turbine,107.50712569190254,8.780386890227359,1,3,0,V112-3.45.yaml,array.yaml
T15,OSS1,T15,turbine,107.51425138380509,8.780386890227359,1,4,0,V112-3.45.yaml,array.yaml
T16,OSS1,T16,turbine,107.52137707570765,8.780386890227359,1,5,0,V112-3.45.yaml,array.yaml
T17,OSS1,T17,turbine,107.50712569190254,8.790515853636478,1,6,0,V112-3.45.yaml,array.yaml
T18,OSS1,T18,turbine,107.52850276761019,8.780386890227359,1,7,0,V112-3.45.yaml,array.yaml
T19,OSS1,T19,turbine,107.51425138380509,8.790515853636478,1,8,0,V112-3.45.yaml,array.yaml
T20,OSS1,T20,turbine,107.52137707570765,8.790515853636478,1,9,0,V112-3.45.yaml,array.yaml
T21,OSS1,T21,turbine,107.5,8.76012896340912,2,0,0,V112-3.45.yaml,array.yaml
T22,OSS1,T22,turbine,107.49287430809746,8.76012896340912,2,1,0,V112-3.45.yaml,array.yaml
T23,OSS1,T23,turbine,107.5,8.770257926818239,2,2,0,V112-3.45.yaml,array.yaml
T24,OSS1,T24,turbine,107.49287430809746,8.770257926818239,2,3,0,V112-3.45.yaml,array.yaml
T25,OSS1,T25,turbine,107.48574861619491,8.770257926818239,2,4,0,V112-3.45.yaml,array.yaml
T26,OSS1,T26,turbine,107.5,8.780386890227359,2,5,0,V112-3.45.yaml,array.yaml
T27,OSS1,T27,turbine,107.49287430809746,8.780386890227359,2,6,0,V112-3.45.yaml,array.yaml
T28,OSS1,T28,turbine,107.48574861619491,8.780386890227359,2,7,0,V112-3.45.yaml,array.yaml
T29,OSS1,T29,turbine,107.47862292429235,8.780386890227359,2,8,0,V112-3.45.yaml,array.yaml
T30,OSS1,T30,turbine,107.5,8.790515853636478,2,9,0,V112-3.45.yaml,array.yaml
T31,OSS1,T31,turbine,107.49287430809746,8.790515853636478,2,10,0,V112-3.45.yaml,array.yaml
T32,OSS1,T32,turbine,107.47149723238981,8.780386890227359,2,11,0,V112-3.45.yaml,array.yaml
T33,OSS1,T33,turbine,107.48574861619491,8.790515853636478,2,12,0,V112-3.45.yaml,array.yaml
T34,OSS1,T34,turbine,107.47862292429235,8.790515853636478,2,13,0,V112-3.45.yaml,array.yaml
T35,OSS1,T35,turbine,107.47149723238981,8.790515853636478,2,14,0,V112-3.45.yaml,array.yaml
T36,OSS1,T36,turbine,107.48574861619491,8.76012896340912,3,0,0,V112-3.45.yaml,array.yaml
T37,OSS1,T37,turbine,107.47862292429235,8.76012896340912,3,1,0,V112-3.45.yaml,array.yaml
T38,OSS1,T38,turbine,107.47862292429235,8.770257926818239,3,2,0,V112-3.45.yaml,array.yaml
T39,OSS1,T39,turbine,107.47149723238981,8.76012896340912,3,3,0,V112-3.45.yaml,array.yaml
T40,OSS1,T40,turbine,107.47149723238981,8.770257926818239,3,4,0,V112-3.45.yaml,array.yaml
