event_id,event_frequency,cell_id,turbine_id,failure_mode,p_failure,windspeed_ms,failure_cause,component,repair_time_hr,materials_usd,service_equipment,operation_reduction,is_unscheduled
391,0.041666666666666664,28,C28_T020,pitch_extremewind_typhoon,0.01,31.40456401372349,typhoon,pitch_system,24,40000,CTV,0.5,1
391,0.041666666666666664,28,C28_T053,pitch_extremewind_typhoon,0.01,31.40456401372349,typhoon,pitch_system,24,40000,CTV,0.5,1
391,0.041666666666666664,28,C28_T177,pitch_extremewind_typhoon,0.01,31.40456401372349,typhoon,pitch_system,24,40000,CTV,0.5,1
391,0.041666666666666664,29,C29_T001,pitch_extremewind_typhoon,0.01,30.062697694108383,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,29,C29_T101,pitch_extremewind_typhoon,0.01,30.178660466617135,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,29,C29_T157,pitch_extremewind_typhoon,0.01,30.178660466617135,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,34,C34_T066,pitch_extremewind_typhoon,0.01,31.016197249235308,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,35,C35_T011,pitch_extremewind_typhoon,0.01,32.65416546299835,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,35,C35_T127,pitch_extremewind_typhoon,0.01,32.65416546299835,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,37,C37_T041,pitch_extremewind_typhoon,0.01,34.29451778419723,typhoon,pitch_system,24,40000,CTV,0.5,1
391,0.041666666666666664,37,C37_T053,pitch_extremewind_typhoon,0.01,31.169701660298706,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,37,C37_T053,pitch_extremewind_typhoon,0.01,34.29451778419723,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,37,C37_T084,pitch_extremewind_typhoon,0.01,31.188065064060112,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,37,C37_T097,pitch_extremewind_typhoon,0.01,34.29451778419723,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,37,C37_T146,pitch_extremewind_typhoon,0.01,34.29451778419723,typhoon,pitch_system,24,40000,CTV,0.5,1
391,0.041666666666666664,37,C37_T162,pitch_extremewind_typhoon,0.01,31.169701660298706,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,37,C37_T176,pitch_extremewind_typhoon,0.01,34.29451778419723,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,38,C38_T050,pitch_extremewind_typhoon,0.01,33.55116605093264,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,38,C38_T059,pitch_extremewind_typhoon,0.01,33.55116605093264,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,38,C38_T089,pitch_extremewind_typhoon,0.01,33.55116605093264,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,38,C38_T104,pitch_extremewind_typhoon,0.01,32.371033494201704,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,39,C39_T046,pitch_extremewind_typhoon,0.01,32.03803430952283,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,39,C39_T078,pitch_extremewind_typhoon,0.01,33.84800989532559,typhoon,pitch_system,24,40000,CTV,0.5,1
391,0.041666666666666664,39,C39_T091,pitch_extremewind_typhoon,0.01,34.14105946298123,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,39,C39_T156,pitch_extremewind_typhoon,0.01,32.91815561874139,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,39,C39_T156,pitch_extremewind_typhoon,0.01,32.03803430952283,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,39,C39_T179,pitch_extremewind_typhoon,0.01,32.91815561874139,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,43,C43_T118,pitch_extremewind_typhoon,0.01,31.719703171888575,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,44,C44_T005,pitch_extremewind_typhoon,0.01,35.756849878282736,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,44,C44_T038,blade_major_typhoon,0.01,35.756849878282736,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,44,C44_T093,pitch_extremewind_typhoon,0.01,35.756849878282736,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,44,C44_T170,pitch_extremewind_typhoon,0.01,35.756849878282736,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,45,C45_T004,blade_major_typhoon,0.01,38.5724289539797,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,45,C45_T024,blade_major_typhoon,0.01,38.5724289539797,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,46,C46_T036,pitch_extremewind_typhoon,0.03,40.963304718574285,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,46,C46_T067,pitch_extremewind_typhoon,0.01,31.969073340875276,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,46,C46_T141,blade_major_typhoon,0.01,40.963304718574285,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,46,C46_T147,pitch_extremewind_typhoon,0.03,40.963304718574285,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,46,C46_T151,pitch_extremewind_typhoon,0.03,40.963304718574285,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,46,C46_T164,pitch_extremewind_typhoon,0.01,31.969073340875276,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,46,C46_T165,blade_major_typhoon,0.01,40.963304718574285,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,47,C47_T003,pitch_extremewind_typhoon,0.03,42.48846599043808,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,47,C47_T026,pitch_extremewind_typhoon,0.03,42.48846599043808,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,47,C47_T037,pitch_extremewind_typhoon,0.03,42.48846599043808,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,47,C47_T051,blade_major_typhoon,0.01,42.48846599043808,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,47,C47_T099,pitch_extremewind_typhoon,0.03,42.48846599043808,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,47,C47_T114,pitch_extremewind_typhoon,0.03,42.48846599043808,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,47,C47_T149,pitch_extremewind_typhoon,0.01,34.32282382342389,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,47,C47_T151,pitch_extremewind_typhoon,0.03,42.48846599043808,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,47,C47_T175,pitch_extremewind_typhoon,0.03,42.48846599043808,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,48,C48_T003,pitch_extremewind_typhoon,0.01,31.663241149687213,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,48,C48_T004,pitch_extremewind_typhoon,0.03,42.455417531523366,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,48,C48_T012,pitch_extremewind_typhoon,0.01,35.39458488616671,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,48,C48_T012,pitch_extremewind_typhoon,0.03,42.455417531523366,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,48,C48_T018,pitch_extremewind_typhoon,0.01,35.39458488616671,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,48,C48_T032,pitch_extremewind_typhoon,0.01,31.663241149687213,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,48,C48_T063,pitch_extremewind_typhoon,0.03,42.455417531523366,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,48,C48_T064,pitch_extremewind_typhoon,0.03,42.455417531523366,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,48,C48_T065,pitch_extremewind_typhoon,0.03,42.455417531523366,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,48,C48_T108,blade_major_typhoon,0.01,35.39458488616671,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,48,C48_T113,pitch_extremewind_typhoon,0.03,42.455417531523366,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,48,C48_T115,pitch_extremewind_typhoon,0.01,35.39458488616671,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,48,C48_T125,blade_major_typhoon,0.01,42.455417531523366,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,48,C48_T128,blade_major_typhoon,0.01,42.455417531523366,typhoon,blade,120,350000,DSV,1.0,1
336,0.041666666666666664,48,C48_T131,pitch_extremewind_typhoon,0.01,35.39458488616671,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,48,C48_T136,pitch_extremewind_typhoon,0.01,31.663241149687213,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,48,C48_T147,pitch_extremewind_typhoon,0.03,42.455417531523366,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,48,C48_T163,pitch_extremewind_typhoon,0.01,31.663241149687213,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,48,C48_T177,blade_major_typhoon,0.01,42.455417531523366,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,49,C49_T016,pitch_extremewind_typhoon,0.03,40.66506887728289,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,49,C49_T017,pitch_extremewind_typhoon,0.03,40.66506887728289,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,49,C49_T022,pitch_extremewind_typhoon,0.03,40.66506887728289,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,49,C49_T026,blade_major_typhoon,0.01,35.54637823279604,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,49,C49_T026,pitch_extremewind_typhoon,0.03,40.66506887728289,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,49,C49_T030,blade_major_typhoon,0.01,35.54637823279604,typhoon,blade,120,350000,DSV,1.0,1
336,0.041666666666666664,49,C49_T035,pitch_extremewind_typhoon,0.01,35.54637823279604,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,49,C49_T041,pitch_extremewind_typhoon,0.01,35.54637823279604,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,49,C49_T088,blade_major_typhoon,0.01,35.54637823279604,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,49,C49_T090,pitch_extremewind_typhoon,0.03,40.66506887728289,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,49,C49_T094,blade_major_typhoon,0.01,35.54637823279604,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,49,C49_T115,blade_major_typhoon,0.01,40.66506887728289,typhoon,blade,120,350000,DSV,1.0,1
79,0.041666666666666664,49,C49_T120,blade_major_typhoon,0.01,35.91572705508742,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,49,C49_T151,pitch_extremewind_typhoon,0.03,40.66506887728289,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,49,C49_T161,pitch_extremewind_typhoon,0.03,40.66506887728289,typhoon,pitch_system,24,40000,CTV,0.5,1
