run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,0.0,1165335.308150523,0.0,8008333.333333332
1,1,2003,9671978.020833332,1168528.5949238518,0.0,16016907.407407405
1,1,2004,19305828.561985675,1171734.5333910817,1313960.531407308,18345298.736261792
1,1,2005,0.0,1168529.0224557673,0.0,29749037.037037034
1,1,2006,48296640.60365234,1168531.2273576017,1314112.9515855187,0.0
1,1,2007,9671978.020833332,1168528.7557386407,0.0,7999999.999999999
1,1,2008,38626393.91273823,1171727.4475639188,1310175.5086610264,24056740.74074074
1,1,2009,63036144.00775516,1168529.3364888798,127574.97381944445,8030578.703703702
1,1,2010,14495406.020833332,1168528.700497409,1307605.3042174291,16016666.666666664
1,1,2011,14495406.020833332,1168527.8300943766,506383.56567823864,24025555.555555552
1,1,2012,24127599.16008827,1171731.5390705825,1403120.9780468142,24063671.336119127
1,1,2013,2512.202083333333,1168529.9764934096,506390.17934372666,16016666.666666664
1,1,2014,0.0,1168529.820114937,1405688.399973582,16034749.999999998
1,1,2015,14495406.020833332,1168529.2200091453,506394.44830205996,16701305.555555554
1,1,2016,28968202.222916666,1171730.5972297776,1281322.6773068435,23349999.999999996
1,1,2017,9694587.839583334,1168528.7103229414,506391.3123322537,34379890.863704406
1,1,2018,14495406.020833332,1168532.7237653062,1281915.7713560315,15456999.999999998
1,1,2019,28990812.041666668,1168529.1284214319,637896.2180440594,14776333.333333332
1,1,2020,24144774.222916666,1171731.1644577684,1253757.8913089288,16029467.679589568
1,1,2021,9656912.331834404,1168528.768224622,776219.005960726,24037801.850625694
2,2,2002,24167384.041666668,1165334.708989018,0.0,40071816.06251968
2,2,2003,9671978.020833332,1168528.8452197693,0.0,8008333.333333332
2,2,2004,9671978.020833332,1171732.5817844577,1334219.9394505548,34618470.54191004
2,2,2005,0.0,1168529.510411597,0.0,37500009.1870819
2,2,2006,0.0,1168527.275678824,1314372.7009568107,32060249.659773502
2,2,2007,33801899.584213495,1168531.5270739335,0.0,11146980.153677037
2,2,2008,48258065.48165413,1171735.668959883,1310386.39837846,40054925.92592592
2,2,2009,33839362.0625,1168528.6311275049,134462.93809027778,24064796.296296295
2,2,2010,28952135.927404426,1168529.3742272633,1444161.3132704939,16018106.48148148
2,2,2011,24131111.744261406,1168527.753523819,245512.95653409176,0.0
2,2,2012,48258675.90248477,1171730.8612056144,1345902.665298507,16019263.980959058
2,2,2013,0.0,1168528.775413495,381995.91845657676,24873189.814814813
2,2,2014,24144774.222916666,1168529.2146963004,1470145.9734460933,39234822.65319154
2,2,2015,9694587.839583334,1168525.378736205,381992.81315310963,8008333.333333332
2,2,2016,13258911.32075926,1171729.9580160666,1572954.3584898426,8012419.626710374
2,2,2017,9671978.020833332,1168527.7769312125,412744.4151361892,28164162.037037034
2,2,2018,43445979.488719,1168528.0863652749,1542237.6658766672,11928782.407407407
2,2,2019,14497918.222916666,1168527.6318434079,412744.0213449457,0.0
2,2,2020,0.0,1171723.6904239329,1636407.9510841314,28124138.888888884
2,2,2021,0.0,1168529.2017593943,682813.9473019022,11964509.259259257
3,3,2002,38601718.83242951,1165336.5536704683,0.0,16046532.407407405
3,3,2003,19327076.126264196,1168530.4736652984,0.0,16035823.763793923
3,3,2004,9671978.020833332,1171730.3932109575,1432578.255808195,16033333.333333332
3,3,2005,38662790.0625,1168528.663222525,123743.22796875,24055693.246412028
3,3,2006,0.0,1168526.181896323,1430042.8497779658,8012212.962962963
3,3,2007,9649368.202083332,1168528.9232135327,377436.3935763889,8008333.333333332
3,3,2008,14495406.020833334,1171730.8876390161,1432590.9122184925,8026680.555555555
3,3,2009,14495406.020833334,1168530.073441898,377439.2395486111,24053365.74074074
3,3,2010,19366565.86041667,1168530.7593585823,1308454.1261849878,8228209.3207342215
3,3,2011,30323819.478998203,1168528.9877526844,377424.17295156483,7999999.999999999
3,3,2012,34047316.24301021,1171731.0581152006,1308591.6141040798,8025000.0
3,3,2013,38623662.59039974,1168530.9093399127,377433.42236128706,8008333.333333332
3,3,2014,9649368.202083332,1168529.3006618726,1309052.6132894147,8025307.220965176
3,3,2015,33823621.95204009,1168532.4438786563,380572.77259134036,16038203.703703701
3,3,2016,38640180.24375,1171730.336310729,1282774.2444932288,11054777.777777776
3,3,2017,19306947.876745712,1168527.5387391967,382292.9322960255,20976767.561757334
3,3,2018,14518015.839583334,1168525.9195811306,1402254.435425661,23260643.518518515
3,3,2019,9671978.020833332,1168527.3767121579,376995.09397901455,32819875.030537315
3,3,2020,24167384.041666668,1171731.500099093,1539828.1869492428,29116615.74074074
3,3,2021,0.0,1168530.7073949813,375897.32121963665,10979240.740740739
4,4,2002,24167384.041666668,1165332.6195242659,0.0,0.0
4,4,2003,14495406.020833332,1168528.5971301487,0.0,16020858.032501701
4,4,2004,9671978.020833332,1171729.2643133004,1334194.384291838,24044856.481481478
4,4,2005,33799114.85007189,1168528.4410112733,125896.91744791667,0.0
4,4,2006,2512.202083333333,1168530.45218736,1304764.243804349,24045187.989761837
4,4,2007,0.0,1168528.8709614084,254677.87199652777,24051864.210977346
4,4,2008,28968202.222916666,1171728.188402451,1307306.4011177071,0.0
4,4,2009,38623766.7660411,1168528.2329916644,254668.26684027776,16019800.925925924
4,4,2010,9656126.321373245,1168525.2732365981,1179346.982823881,8007740.74074074
4,4,2011,19343956.041666668,1168529.6882065868,503987.1731423611,16037766.866949044
4,4,2012,14495406.020833332,1171730.0424651727,1307303.8104160598,0.0
4,4,2013,33839362.0625,1168531.0272515863,503985.75015625,26016143.518518515
4,4,2014,0.0,1168527.5815062348,1307430.9220520763,22076749.999999996
4,4,2015,0.0,1168528.402579799,628573.5203819445,8008333.333333332
4,4,2016,38624938.7327116,1171728.8374518037,1282635.816534713,0.0
4,4,2017,24127692.724258523,1168528.908064284,503527.5486284722,24050421.296296295
4,4,2018,24128686.69465988,1168529.8453994847,1531057.402468006,24052127.807200097
4,4,2019,9671978.020833332,1168528.7673252732,628280.3852430555,21599402.777777776
