run,random_seed,time_based_availability,production_based_availability
1,1,0.9412839897952834,0.9427283350180444
2,2,0.982863024495468,20.02601039796049
3,3,0.9786933762678116,493.5345235510253
4,4,0.9814327826519819,163.4667831384407
5,5,0.9409934820484102,0.9424998078894016
6,6,0.9412931937444258,0.9428627671687535
7,7,0.9412931937444258,0.9427693274229706
8,8,0.9410805954825462,0.942404039693896
9,9,0.941377066351399,0.9426887773137543
10,10,0.9412920270466472,0.9427770669306258
11,11,0.9410229087590484,0.9423461170035046
12,12,0.9411360784435733,0.9425003796195915
13,13,0.9413134165059216,0.9425946261303306
14,14,0.9412663596955178,0.9427351062254641
15,15,0.9412619521705764,0.9424967609442177
16,16,0.9412619521705764,0.9422476420871492
17,17,0.9410932995250244,0.942176435597283
18,18,0.9410586874909257,0.9422724517045715
19,19,0.9413827702072055,0.9429743726223786
20,20,0.9411588938667994,0.9421481881202358
21,21,0.941258063177981,0.9424245086349436
22,22,0.9410319830751043,0.9422066675371062
23,23,0.9414063634289507,0.9427048482511645
24,24,0.941355806525211,0.9424431998232191
25,25,0.941458605562815,0.9427352780436605
26,26,0.9414710503391202,0.9425995898579996
27,27,0.9413631956111422,0.9425462341382697
28,28,0.9413900296600501,0.9427055972915634
29,29,0.941349454503972,0.942306059713036
30,30,0.9414188082052558,0.9423567140169665
