run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2002,blade,repair,35100,0,4002.125,39102.125
1,1,2002,converter,delay,0,0,4078.2394884259256,4078.2394884259256
1,1,2002,converter,repair,74880,0,6403.4,81283.4
1,1,2002,drivetrain,delay,0,0,1056256.2551307871,1056256.2551307871
1,1,2002,drivetrain,repair,702000,0,2421344.6666666665,3123344.6666666665
1,1,2002,pitch_system,delay,0,0,10875.330006944443,10875.330006944443
1,1,2002,pitch_system,repair,308836,0,46958.266666666656,355794.26666666666
1,1,2002,yaw_system,delay,0,0,1359.4255150462961,1359.4255150462961
1,1,2002,yaw_system,repair,46800,0,7470.633333333333,54270.63333333333
1,1,2003,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2003,blade,delay,0,0,56489.920261574065,56489.920261574065
1,1,2003,blade,maintenance,102960,0,46958.26666666666,149918.26666666666
1,1,2003,blade,repair,11700,0,1334.0416666666665,13034.041666666666
1,1,2003,converter,delay,0,0,31853.394612268516,31853.394612268516
1,1,2003,converter,maintenance,102960,0,23479.133333333328,126439.13333333333
1,1,2003,converter,repair,65520,0,5602.974999999999,71122.97499999999
1,1,2003,drivetrain,delay,0,0,76433.84317824073,76433.84317824073
1,1,2003,drivetrain,maintenance,402480,0,57363.791666666664,459843.7916666666
1,1,2003,drivetrain,repair,608400,0,2412806.8,3021206.8
1,1,2003,generator,delay,0,0,366780.21017824067,366780.21017824067
1,1,2003,generator,maintenance,301817,0,45891.033333333326,347708.0333333333
1,1,2003,generator,repair,496080,0,1616808.925,2112888.925
1,1,2003,pitch_system,delay,0,0,74000.51412152777,74000.51412152777
1,1,2003,pitch_system,maintenance,205920,0,35218.7,241138.7
1,1,2003,pitch_system,repair,343931,0,52294.43333333333,396225.43333333335
1,1,2003,yaw_system,delay,0,0,46856.73127314814,46856.73127314814
1,1,2003,yaw_system,maintenance,154396,0,29348.916666666668,183744.91666666666
1,1,2003,yaw_system,repair,29250,0,4669.145833333333,33919.14583333333
1,1,2004,array cable,delay,0,0,695580.1576215278,695580.1576215278
1,1,2004,array cable,maintenance,175000,0,537888.75,712888.75
1,1,2004,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2004,blade,delay,0,0,52200.34633912036,52200.34633912036
1,1,2004,blade,maintenance,102960,0,46958.26666666666,149918.26666666666
1,1,2004,blade,repair,70200,0,8004.25,78204.25
1,1,2004,converter,delay,0,0,43236.47570023148,43236.47570023148
1,1,2004,converter,maintenance,102960,0,23479.133333333328,126439.13333333333
1,1,2004,converter,repair,102960,0,8804.675,111764.67499999999
1,1,2004,drivetrain,delay,0,0,2732622.7205092595,2732622.7205092595
1,1,2004,drivetrain,maintenance,393120,0,56029.74999999999,449149.75
1,1,2004,drivetrain,repair,514800,0,2404268.933333333,2919068.933333333
1,1,2004,export cable,delay,0,0,16648.9375,16648.9375
1,1,2004,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2004,generator,delay,0,0,52121.082030092584,52121.082030092584
1,1,2004,generator,maintenance,308836,0,46958.26666666666,355794.26666666666
1,1,2004,generator,repair,163800,0,800000.0,963800.0
1,1,2004,pitch_system,delay,0,0,83102.97686689814,83102.97686689814
1,1,2004,pitch_system,maintenance,205920,0,35218.7,241138.7
1,1,2004,pitch_system,repair,329893,0,50159.96666666666,380052.9666666667
1,1,2004,yaw_system,delay,0,0,46607.37665162036,46607.37665162036
1,1,2004,yaw_system,maintenance,154396,0,29348.916666666664,183744.91666666666
1,1,2004,yaw_system,repair,64350,0,10272.120833333332,74622.12083333333
1,1,2005,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2005,blade,delay,0,0,54828.22313888888,54828.22313888888
1,1,2005,blade,maintenance,102960,0,46958.26666666666,149918.26666666666
1,1,2005,blade,repair,23400,0,2668.083333333333,26068.083333333332
1,1,2005,converter,delay,0,0,35996.92802893518,35996.92802893518
1,1,2005,converter,maintenance,102960,0,23479.13333333333,126439.13333333333
1,1,2005,converter,repair,74880,0,6403.4,81283.4
1,1,2005,drivetrain,delay,0,0,85055.0503923611,85055.0503923611
1,1,2005,drivetrain,maintenance,411840,0,58697.83333333333,470537.8333333333
1,1,2005,drivetrain,repair,234000,0,21344.666666666664,255344.6666666667
1,1,2005,generator,delay,0,0,289181.50543981476,289181.50543981476
1,1,2005,generator,maintenance,301817,0,45891.033333333326,347708.0333333333
1,1,2005,generator,repair,365040,0,1603735.3166666667,1968775.3166666667
1,1,2005,pitch_system,delay,0,0,95127.84316666666,95127.84316666666
