run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,41516640.0,2000000.0,9173668.630416013,0,1125483,53815791.63041601
1,1,2003,41516640.0,2000000.0,26857420.41238303,0,7393677,77767737.41238303
1,1,2004,41630384.21917808,2000000.0,38907808.22397992,0,13294724,95832916.443158
1,1,2005,41516640.0,2000000.0,25623322.655999012,0,2628863,71768825.655999
1,1,2006,41516640.0,2000000.0,58825646.94138346,0,32299057,134641343.94138345
1,1,2007,41516640.0,2000000.0,11082613.521320574,0,6986520,61585773.521320574
1,1,2008,41630384.21917808,2000000.0,50814027.447632864,0,17924674,112369085.66681094
1,1,2009,41516640.0,2000000.0,70451557.85026173,0,37405707,151373904.85026175
1,1,2010,41516640.0,2000000.0,49042253.138640985,0,12981376,105540269.13864098
1,1,2011,41516640.0,2000000.0,49874877.73044616,0,17671383,111062900.73044616
1,1,2012,41630384.21917808,2000000.0,50742713.94304793,0,12938940,107312038.16222602
1,1,2013,41516640.0,2000000.0,9701494.143151412,0,7158103,60376237.14315141
1,1,2014,41516640.0,2000000.0,33417584.85232348,0,12786499,89720723.85232347
1,1,2015,41516640.0,2000000.0,39779044.356506884,0,12697163,95992847.35650688
1,1,2016,41630384.21917808,2000000.0,41759870.12084766,0,12458053,97848307.34002574
1,1,2017,41516640.0,2000000.0,63485260.37178746,0,27982625,134984525.37178746
1,1,2018,41516640.0,2000000.0,40318611.49241052,0,22494015,106329266.49241051
1,1,2019,41516640.0,2000000.0,46822635.60868543,0,27268385,117607660.60868543
1,1,2020,41630384.21917808,2000000.0,36649774.74455185,0,12548685,92828843.96372993
1,1,2021,41516640.0,2000000.0,50570605.48728736,0,17753092,111840337.48728736
2,2,2002,41516640.0,2000000.0,65414528.94230161,0,17369201,126300369.9423016
2,2,2003,41516640.0,2000000.0,18848841.69083988,0,7304756,69670237.69083989
2,2,2004,41630384.21917808,2000000.0,47489364.413837515,0,8302927,99422675.6330156
2,2,2005,41516640.0,2000000.0,55676154.38972704,0,8197476,107390270.38972704
2,2,2006,41516640.0,2000000.0,34558433.15583003,0,3142616,81217689.15583003
2,2,2007,41516640.0,2000000.0,57022714.55957689,0,22782121,123321475.5595769
2,2,2008,41630384.21917808,2000000.0,105290330.47312188,0,38276002,187196716.69229996
2,2,2009,41516640.0,2000000.0,44540641.74794858,0,12539932,100597213.74794859
2,2,2010,41516640.0,2000000.0,39585147.84026183,0,12371600,95473387.84026183
2,2,2011,41516640.0,2000000.0,49342359.3358688,0,27700213,120559212.3358688
2,2,2012,41630384.21917808,2000000.0,58866685.692990035,0,32598782,135095851.91216812
2,2,2013,41516640.0,2000000.0,25456245.16528395,0,3010910,71983795.16528395
2,2,2014,41516640.0,2000000.0,52592237.566668846,0,17656744,113765621.56666884
2,2,2015,41516640.0,2000000.0,19116283.038100794,0,12105339,74738262.0381008
2,2,2016,41630384.21917808,2000000.0,28456981.616082825,0,8065395,80152760.8352609
2,2,2017,41516640.0,2000000.0,27119472.606857948,0,7286689,77922801.60685796
2,2,2018,41516640.0,2000000.0,55811339.33773779,0,27165355,126493334.3377378
2,2,2019,41516640.0,2000000.0,23925051.974403437,0,22255095,89696786.97440344
2,2,2020,41630384.21917808,2000000.0,29790747.168533538,0,7576867,80997998.38771161
2,2,2021,41516640.0,2000000.0,10442951.85537089,0,2108314,56067905.855370894
3,3,2002,41516640.0,2000000.0,55815522.09479752,0,16127834,115459996.09479752
3,3,2003,41516640.0,2000000.0,36507599.70775859,0,22612469,102636708.70775859
