run,random_seed,year,windfarm
1,1,2002,1237550.167
1,1,2003,1443447.801
1,1,2004,1828352.251
1,1,2005,2051502.545
1,1,2006,2105527.317
1,1,2007,2103038.069
1,1,2008,2117592.014
1,1,2009,2107166.485
1,1,2010,2109117.09
1,1,2011,2106893.782
1,1,2012,2116860.183
1,1,2013,2111178.58
1,1,2014,2107293.977
1,1,2015,2110220.25
1,1,2016,2117311.181
1,1,2017,2106924.059
1,1,2018,2111919.879
1,1,2019,2109980.359
1,1,2020,2123610.539
1,1,2021,2113306.828
2,2,2002,366419562.755
2,2,2003,114101862.983
2,2,2004,2089809.878
2,2,2005,2099857.725
2,2,2006,2101870.675
2,2,2007,2104968.005
2,2,2008,2115202.608
2,2,2009,2103906.08
2,2,2010,2106266.986
2,2,2011,2107853.126
2,2,2012,2118189.104
2,2,2013,2105122.094
2,2,2014,2105208.518
2,2,2015,2111878.258
2,2,2016,2120330.228
2,2,2017,2102233.734
2,2,2018,2108352.604
2,2,2019,2107966.03
2,2,2020,2122994.315
2,2,2021,2108574.786
3,3,2002,2132286.406
3,3,2003,2112442.145
3,3,2004,2121707.717
3,3,2005,2105458.165
3,3,2006,2102400.216
3,3,2007,2106715.649
3,3,2008,2116610.569
3,3,2009,2105938.453
3,3,2010,2105789.042
3,3,2011,2107056.811
3,3,2012,2116238.397
3,3,2013,2109370.866
3,3,2014,2110887.997
3,3,2015,2109659.796
3,3,2016,2122258.707
3,3,2017,2108610.891
3,3,2018,2106551.65
3,3,2019,2105827.668
3,3,2020,2121408.938
3,3,2021,2110380.765
4,4,2002,1239726.64
4,4,2003,1446469.299
4,4,2004,1833500.645
4,4,2005,2052698.769
4,4,2006,2099291.601
4,4,2007,2105102.715
4,4,2008,2118918.147
4,4,2009,2104979.27
4,4,2010,2105518.387
4,4,2011,2108969.984
4,4,2012,2121398.271
4,4,2013,2104095.53
4,4,2014,2110873.798
4,4,2015,2110413.309
4,4,2016,2122756.848
4,4,2017,2106290.424
4,4,2018,2108731.366
4,4,2019,2106905.91
4,4,2020,2123259.284
4,4,2021,2108558.675
5,5,2002,1233455.578
5,5,2003,1446161.296
5,5,2004,1837082.171
5,5,2005,2046936.639
5,5,2006,2103359.272
5,5,2007,2105327.04
5,5,2008,2117316.631
5,5,2009,2106711.125
5,5,2010,2108863.399
5,5,2011,2109516.404
5,5,2012,2122494.179
5,5,2013,2110295.049
5,5,2014,2107633.597
5,5,2015,2103793.776
5,5,2016,2122343.216
5,5,2017,2109021.796
5,5,2018,2107602.865
5,5,2019,2106287.868
5,5,2020,2118691.541
5,5,2021,2106121.372
6,6,2002,1237768.141
6,6,2003,1443380.563
6,6,2004,1837746.842
6,6,2005,2054636.819
6,6,2006,2104956.979
6,6,2007,2105474.401
6,6,2008,2119509.552
6,6,2009,2104582.16
6,6,2010,2104942.489
6,6,2011,2108587.951
6,6,2012,2121210.382
6,6,2013,2108326.175
6,6,2014,2108817.507
6,6,2015,2110289.487
6,6,2016,2122768.363
6,6,2017,2108992.508
6,6,2018,2109462.951
6,6,2019,2103017.364
6,6,2020,2121542.267
6,6,2021,2108532.728
7,7,2002,1239724.272
7,7,2003,1443275.662
7,7,2004,1840043.181
7,7,2005,2051547.316
7,7,2006,2101441.274
7,7,2007,2105036.218
7,7,2008,2116974.473
7,7,2009,2104754.268
7,7,2010,2109425.949
7,7,2011,2107539.215
7,7,2012,2121666.778
7,7,2013,2105362.145
7,7,2014,2108929.318
7,7,2015,2108704.722
7,7,2016,2122103.925
7,7,2017,2108577.02
7,7,2018,2110853.923
7,7,2019,2105378.44
7,7,2020,2120049.493
7,7,2021,2109159.805
8,8,2002,1239182.992
8,8,2003,1444952.667
8,8,2004,1832171.75
8,8,2005,2050632.908
8,8,2006,2106153.049
8,8,2007,2106641.432
8,8,2008,2115939.209
8,8,2009,2107954.615
8,8,2010,2107873.593
8,8,2011,2107706.671
8,8,2012,2121243.875
8,8,2013,2104004.811
8,8,2014,2106949.717
8,8,2015,2111824.127
8,8,2016,2120640.211
8,8,2017,2111774.45
8,8,2018,2107804.479
8,8,2019,2106490.608
8,8,2020,2114580.722
8,8,2021,2100395.063
9,9,2002,1239354.546
9,9,2003,1444725.02
9,9,2004,1837664.239
9,9,2005,2051225.28
9,9,2006,2106425.797
9,9,2007,2108266.37
9,9,2008,2118944.997
9,9,2009,2105837.789
9,9,2010,2105138.802
9,9,2011,2106228.932
9,9,2012,2115377.718
9,9,2013,2111153.508
9,9,2014,2104828.944
9,9,2015,2105285.819
9,9,2016,2121200.378
9,9,2017,2106773.406
9,9,2018,2110118.802
9,9,2019,2110311.044
9,9,2020,2118446.619
9,9,2021,2109792.695
10,10,2002,1238244.809
10,10,2003,1444906.398
10,10,2004,1831047.178
10,10,2005,2050653.781
10,10,2006,2102517.972
10,10,2007,2106478.564
10,10,2008,2115417.184
10,10,2009,2103716.624
10,10,2010,2108982.88
10,10,2011,2106753.935
10,10,2012,2122531.715
10,10,2013,2110560.368
10,10,2014,2106650.544
10,10,2015,2107689.476
10,10,2016,2123302.86
10,10,2017,2109566.133
10,10,2018,2109602.98
10,10,2019,2108251.03
10,10,2020,2123943.376
10,10,2021,2110060.759
11,11,2002,1236894.077
11,11,2003,1443872.967
11,11,2004,1829538.29
11,11,2005,2051631.11
11,11,2006,2103793.032
11,11,2007,2107103.416
11,11,2008,2117125.034
11,11,2009,2105455.45
11,11,2010,2107847.565
11,11,2011,2105689.804
11,11,2012,2122872.471
11,11,2013,2104138.645
11,11,2014,2103083.562
11,11,2015,2106314.0
11,11,2016,2119693.692
11,11,2017,2109169.188
11,11,2018,2108984.365
11,11,2019,2108525.466
11,11,2020,2123096.727
11,11,2021,2107609.61
12,12,2002,1239458.847
12,12,2003,1442979.573
12,12,2004,1835314.085
12,12,2005,2050021.788
12,12,2006,2102712.199
12,12,2007,2103082.624
12,12,2008,2119081.355
12,12,2009,2107796.039
12,12,2010,2105568.519
12,12,2011,2109579.842
12,12,2012,2121039.842
12,12,2013,2108739.57
12,12,2014,2109738.628
12,12,2015,2111763.5
12,12,2016,2117317.548
12,12,2017,2102587.266
12,12,2018,2108932.694
12,12,2019,2105967.16
12,12,2020,2122407.821
12,12,2021,2104950.378
13,13,2002,1239873.578
13,13,2003,1446689.512
13,13,2004,1833084.136
13,13,2005,2053646.564
13,13,2006,2103578.031
13,13,2007,2105840.99
13,13,2008,2117138.3
13,13,2009,2102577.436
13,13,2010,2104603.424
13,13,2011,2110115.284
13,13,2012,2115853.586
13,13,2013,2105363.163
13,13,2014,2109439.957
13,13,2015,2108499.476
13,13,2016,2119757.244
13,13,2017,2111960.048
13,13,2018,2108696.934
13,13,2019,2111109.641
13,13,2020,2117527.075
13,13,2021,2107717.652
14,14,2002,1237942.347
14,14,2003,1449722.885
14,14,2004,1834851.868
14,14,2005,2052097.819
14,14,2006,2101811.597
14,14,2007,2103937.514
14,14,2008,2119239.01
14,14,2009,2105325.256
14,14,2010,2108036.692
14,14,2011,2108202.748
14,14,2012,2119960.958
14,14,2013,2106565.202
14,14,2014,2108582.254
14,14,2015,2109304.103
14,14,2016,2122247.467
14,14,2017,2108423.288
14,14,2018,2108867.471
14,14,2019,2108307.766
14,14,2020,2121488.792
14,14,2021,2104168.055
15,15,2002,1238398.189
15,15,2003,1442887.883
15,15,2004,1831323.725
15,15,2005,2051700.693
15,15,2006,2100169.673
15,15,2007,2104039.204
15,15,2008,2111855.861
15,15,2009,2103301.184
15,15,2010,2108210.134
15,15,2011,2107750.969
15,15,2012,2118837.482
15,15,2013,2108737.022
15,15,2014,2107043.007
15,15,2015,2109519.746
15,15,2016,2122778.464
15,15,2017,2109612.812
15,15,2018,2111178.79
15,15,2019,2108260.627
15,15,2020,2122436.023
15,15,2021,2110842.949
16,16,2002,1234725.492
16,16,2003,1439929.788
16,16,2004,1833591.604
16,16,2005,2051763.706
16,16,2006,2103815.001
16,16,2007,2102071.388
16,16,2008,2118854.795
16,16,2009,2102983.445
16,16,2010,2104099.202
16,16,2011,2106181.315
16,16,2012,2121155.743
16,16,2013,2107820.211
16,16,2014,2103663.949
16,16,2015,2107500.964
16,16,2016,2121581.177
16,16,2017,2107887.852
16,16,2018,2108262.399
16,16,2019,2111001.913
16,16,2020,2123432.319
16,16,2021,2107902.524
17,17,2002,1237540.035
17,17,2003,1444668.17
17,17,2004,1832544.912
17,17,2005,2048314.895
17,17,2006,2105722.987
17,17,2007,2102497.787
17,17,2008,2115617.45
17,17,2009,2105508.384
17,17,2010,2108609.337
17,17,2011,2107788.986
17,17,2012,2113618.525
17,17,2013,2104200.265
17,17,2014,2106729.246
17,17,2015,2103538.494
17,17,2016,2122249.462
17,17,2017,2110674.351
17,17,2018,2109735.506
17,17,2019,2108252.337
17,17,2020,2120707.108
17,17,2021,2106659.666
18,18,2002,1238940.012
18,18,2003,1442636.152
18,18,2004,1834942.947
18,18,2005,2047310.503
18,18,2006,2104664.606
18,18,2007,2101724.957
18,18,2008,2118983.222
18,18,2009,2107570.629
18,18,2010,2107925.229
18,18,2011,2104182.955
18,18,2012,2121073.908
18,18,2013,2105389.366
18,18,2014,2108594.783
18,18,2015,2108062.126
18,18,2016,2117077.609
18,18,2017,2108713.466
18,18,2018,2105325.173
18,18,2019,2109699.895
18,18,2020,2116277.28
18,18,2021,2110191.558
19,19,2002,1238923.633
19,19,2003,1446253.183
19,19,2004,1831206.122
19,19,2005,2053772.38
19,19,2006,2105148.443
19,19,2007,2105858.383
19,19,2008,2119022.889
19,19,2009,2104408.949
19,19,2010,2106146.885
