run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,24167384.041666668,1165333.4694470235,0.0,8008333.333333332
1,1,2003,43473486.08503544,1168531.6675895967,0.0,32045745.370370366
1,1,2004,14495406.020833332,1171728.3559064674,1891188.2587173313,19852424.67822979
1,1,2005,24128375.795764916,1168526.8117150057,128932.85831597222,29407121.18498826
1,1,2006,19343956.041666668,1168527.4575587087,1893992.2505709429,8024999.999999999
1,1,2007,9671978.020833332,1168530.2128605195,129909.81302824861,24034539.042771846
1,1,2008,24128293.356821034,1171730.7626119915,1893747.9485379972,26535240.74074074
1,1,2009,24144774.222916666,1168529.5213792603,129901.63085810973,33691130.67695602
1,1,2010,33786902.97709877,1168532.2385013904,1893704.802445034,8024999.999999999
1,1,2011,38610694.81940129,1168529.479510661,129901.63085810973,45357788.12798665
1,1,2012,2512.202083333333,1171733.1004289326,2020334.923424973,33975993.86831034
1,1,2013,0.0,1168529.0492667037,129904.47683033196,16816666.666666664
1,1,2014,0.0,1168528.2828249992,2016448.3959758142,24016666.666666664
1,1,2015,33800622.83908599,1168527.4288845363,129906.96705602639,26558717.59259259
1,1,2016,28968202.222916666,1171729.41186783,1991941.8072089094,21533976.85185185
1,1,2017,22609.81875,1168524.5500459205,253245.71122269306,43683306.33533668
1,1,2018,57928905.39092459,1168527.5017601196,1984196.7069833025,38038667.96024362
1,1,2019,38628529.78768451,1168530.701573692,376757.34820185974,10041666.666666666
1,1,2020,24144774.222916666,1171729.858488464,2095474.5637283653,8023800.925925925
1,1,2021,28999896.487329625,1168531.1323085,653934.0536011653,24028695.943548996
2,2,2002,38662790.0625,1165332.3159273597,0.0,40069643.98473249
2,2,2003,9671978.020833332,1168527.9195048271,0.0,14877306.700062253
2,2,2004,28990812.041666668,1171732.8741394216,2016387.5231778547,36666951.72228915
2,2,2005,38614616.275853895,1168530.7271870617,0.0,28678980.543306332
2,2,2006,28979324.38482857,1168528.2946811183,2023396.758118941,40058467.59259259
2,2,2007,24167384.041666668,1168529.6957029472,0.0,18577109.054384187
2,2,2008,19343956.041666668,1171732.1634953003,1902568.7708253982,40051892.96170973
2,2,2009,38623032.497992925,1168525.7796101137,126299.26677083333,24046550.939856865
2,2,2010,9671978.020833332,1168528.9524192363,1900257.2675128889,24024999.999999996
2,2,2011,9649368.202083332,1168525.9441485244,124017.70886829661,8000019.33313641
2,2,2012,28952514.214534257,1171731.9955135728,1876313.5308711664,24079875.284400042
2,2,2013,38648243.6394945,1168528.5546557729,124015.93013565772,34033374.00807599
2,2,2014,19305666.33040754,1168526.4155655473,1874921.59704438,8001514.022816372
2,2,2015,28952164.41866611,1168527.2804625868,386072.329131094,8026259.259259258
2,2,2016,34022516.37378929,1171728.6330684896,1751404.2362689544,16038083.333333332
2,2,2017,43473422.347729675,1168526.3147476926,633703.5739053995,34949691.437723696
2,2,2018,24150558.37964016,1168529.294269493,1723249.058956184,8011703.703703702
2,2,2019,9671978.020833332,1168531.643097061,633689.4807485171,24020865.74074074
2,2,2020,38623595.661301866,1171732.8062371921,1858871.5408031414,16894342.99075298
2,2,2021,23502300.78488928,1168529.2485044054,634773.440418656,24021305.555555552
3,3,2002,9671978.020833332,1165333.0955227579,0.0,40071481.48148148
3,3,2003,28951682.726377666,1168528.4562364519,0.0,13320712.96296296
3,3,2004,9649368.202083332,1171731.3135677236,1891145.8868056925,18749999.999999996
3,3,2005,48281983.579447374,1168526.8039719525,278390.86829861114,24057629.003518995
3,3,2006,33803413.50740455,1168532.4508512015,1769779.212366479,16016666.666666664
3,3,2007,67552936.8175273,1168526.1133311165,398929.6242160733,8008333.333333332
3,3,2008,22609.81875,1171732.0705491877,1672628.9894032967,16016666.666666664
3,3,2009,14495406.020833332,1168532.7205812985,749326.6432242298,48067905.63190438
3,3,2010,0.0,1168532.1563415688,1661352.8904499612,24072958.333333332
3,3,2011,38623828.405317806,1168531.7968624183,873233.2659962327,16009830.772417914
3,3,2012,19343956.041666668,1171729.7924219107,1569458.097417798,24032523.67023164
3,3,2013,43451145.01391757,1168526.5289669232,708576.1072308602,16048625.396429379
3,3,2014,22609.81875,1168529.0497602466,1562737.149116205,16029055.555555554
3,3,2015,53082644.014884934,1168528.2116539343,709970.9384985061,48096282.4074074
3,3,2016,28995836.445833333,1171730.4826310666,1565922.698996848,10749467.592592591
3,3,2017,38866310.71467825,1168526.4402123152,635955.9988811779,29332624.746574577
3,3,2018,38611098.36550429,1168525.2755870384,1556947.1201763987,13265902.777777776
3,3,2019,28993324.24375,1168528.245872566,755010.4876138167,18790775.87258412
3,3,2020,38605555.1905712,1171727.6027583606,1736933.3462280277,14361111.11111111
3,3,2021,24130059.565818135,1168531.9310208329,623700.8867457611,17690611.11111111
4,4,2002,14495406.020833332,1165329.1169504882,0.0,0.0
4,4,2003,9671978.020833332,1168526.4094991474,0.0,16030364.77924506
4,4,2004,9671978.020833332,1171732.6451647885,1891158.5350650235,32080545.658259057
4,4,2005,24144774.222916666,1168529.8451247634,0.0,0.0
4,4,2006,9694587.839583334,1168528.481284662,1893727.5458285422,24055705.591029547
4,4,2007,33779652.132498726,1168528.7755725854,125779.52109375,24067113.495616246
4,4,2008,22609.81875,1171729.0507272861,1893509.5854644,17820007.581867184
4,4,2009,43488730.264583334,1168530.6823379204,125780.9440798611,16016666.666666664
4,4,2010,19366565.86041667,1168527.8860415325,1891011.5917428725,14945948.859934093
4,4,2011,33777661.55809191,1168527.740198808,125777.03086805556,17117000.232524227
4,4,2012,33823010.18783013,1171730.65084175,1891078.635365619,0.0
4,4,2013,9671978.020833332,1168531.0845668265,125775.60788194445,24023177.918001615
4,4,2014,33799525.38520317,1168529.0381045814,1885521.5027713424,16015421.296296295
4,4,2015,33780142.56607857,1168527.9327090324,125792.32796875,24060397.061686836
4,4,2016,24189993.86041667,1171730.2550247742,2017731.7246961447,20821939.33417576
4,4,2017,0.0,1168529.9039708634,264868.9427777778,16124083.496687705
4,4,2018,0.0,1168527.0076791581,2116569.4518125583,16029325.463904353
4,4,2019,28990812.041666668,1168527.2625857168,264862.89508680557,15595186.624623414
4,4,2020,0.0,1171731.2353185436,2116256.5962024885,433333.33333333326
4,4,2021,19305216.81688325,1168532.3532381859,518905.0480381944,16012962.96296296
5,5,2002,62999119.2087423,1165331.7976868404,0.0,25125509.005833838
5,5,2003,33822995.1249247,1168528.1090872781,0.0,24368751.65579779
5,5,2004,28957491.53596288,1171731.3263103748,1998739.08584109,24025032.407407407
5,5,2005,57969856.10792384,1168528.8504297426,0.0,40057379.62962963
5,5,2006,33800400.42341117,1168528.9818640712,1892067.6502674094,33901540.88166856
5,5,2007,48281346.66354423,1168531.2006081627,138111.83022569443,16033333.333333332
5,5,2008,24129475.298680093,1171729.8636279688,1770056.1334175328,25335616.071454722
5,5,2009,9671978.020833332,1168530.7713785977,265025.8269965278,24023842.59259259
5,5,2010,53121131.67513863,1168529.2766274342,1772234.7506535146,16016666.666666664
5,5,2011,9671978.020833332,1168529.8903212512,256915.16190972223,24024999.999999996
5,5,2012,19343956.041666668,1171730.5976705498,2017724.1356294313,16015861.11111111
5,5,2013,24167384.041666668,1168527.5770065412,256916.58489583334,24039439.814814813
5,5,2014,38640180.24375,1168526.2518342726,1893580.01461898,40827933.742372334
5,5,2015,24189993.86041667,1168530.5794281794,385335.38947916665,16043910.444347408
5,5,2016,9671978.020833332,1171726.0931439102,1866076.0916039434,16062062.40143852
5,5,2017,24144774.222916666,1168527.170282003,508961.57684027776,40073198.00006404
5,5,2018,53386114.87431992,1168529.62504516,1749499.3444811548,32791797.559830517
5,5,2019,14495406.020833332,1168528.1302168712,508964.06706597225,24009083.333333332
5,5,2020,0.0,1171730.677779822,2001681.0431858043,24215058.334931247
5,5,2021,9671978.020833332,1168530.3477550952,631846.7441840278,8008333.333333332
6,6,2002,24167384.041666668,1165331.4094717244,0.0,8024546.296296296
6,6,2003,9671978.020833332,1168530.9863917977,0.0,16052874.964569176
6,6,2004,0.0,1171731.7282678836,1891140.2579625016,24024999.999999996
6,6,2005,38652438.4707375,1168525.8031355902,0.0,40033333.33333333
6,6,2006,53083707.51259875,1168533.4742384711,1889216.021960603,8002757.801029793
6,6,2007,19366565.86041667,1168530.3839624864,0.0,8019060.185185184
6,6,2008,9671978.020833332,1171732.0782154517,2018500.3633593307,0.0
6,6,2009,19343956.041666668,1168527.9397181193,0.0,24049624.999999996
6,6,2010,48258355.38558402,1168527.8863691885,1894685.8296607663,32928208.10612255
6,6,2011,24167384.041666668,1168526.574198296,0.0,32036728.528531384
6,6,2012,57933048.05942174,1171731.8234252864,2032589.511738993,8008333.333333332
6,6,2013,14495406.020833332,1168525.0897889922,125329.14598958332,31469601.839934446
