run,random_seed,time_based_availability,production_based_availability
1,1,0.9242734023683882,0.9241327301472582
2,2,0.9746827000213435,23.88639634259834
3,3,0.9730594930560156,185.57035940146207
4,4,0.978733541616068,111.88160175956291
5,5,0.9847548813965983,0.9845313600813
6,6,0.9243770837473229,0.9243462366858594
7,7,0.979677897742745,167.72094601884612
8,8,0.924423634570518,0.9242437891567108
9,9,0.9241612572034179,0.9239447609169478
10,10,0.9243107534241535,0.924083679095236
11,11,0.9240254686361529,0.9237504134375472
12,12,0.9243825116101065,0.9243224937594516
13,13,0.9244071669868186,0.9241358957552342
14,14,0.9241159943476629,0.9239065368885648
15,15,0.9241858205824557,0.9238932447919179
16,16,0.9242676985125816,0.9241384445429541
17,17,0.924260430696312,0.9239942161548067
18,18,0.9242479190126074,0.9240353252305434
19,19,0.9245236360424809,0.9245019824709874
20,20,0.9240343004128856,0.923559715359285
21,21,0.9242320034149537,0.9239169297163285
22,22,0.9242039441242925,0.9239451522582981
23,23,0.9243185732264688,0.9240306388923499
24,24,0.9242059680731272,0.9240876222576151
25,25,0.9242248275963584,0.9238891966181457
26,26,0.9243090054683417,0.9241380846836538
27,27,0.9243940113193938,0.9241534812580022
28,28,0.924424554547261,0.9242891740219162
29,29,0.9242988857241689,0.9240149716341007
30,30,0.9243979672193887,0.9240714185461831
