run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2002,blade,repair,6500,0,1334.0416666666667,7834.041666666667
1,1,2002,converter,repair,62400,0,9605.099999999999,72005.1
1,1,2002,drivetrain,delay,0,0,73286.97694212962,73286.97694212962
1,1,2002,drivetrain,repair,273000,0,1223479.1333333333,1496479.1333333333
1,1,2002,generator,delay,0,0,8156.553090277777,8156.553090277777
1,1,2002,generator,repair,62400,0,11205.95,73605.95
1,1,2002,pitch_system,delay,0,0,36703.93305555555,36703.93305555555
1,1,2002,pitch_system,repair,261233,0,71504.63333333332,332737.63333333336
1,1,2002,yaw_system,delay,0,0,4078.2394884259256,4078.2394884259256
1,1,2002,yaw_system,repair,39000,0,11205.949999999999,50205.95
1,1,2003,array cable,repair,0,0,9646856.0,9646856.0
1,1,2003,blade,delay,0,0,69222.38449537037,69222.38449537037
1,1,2003,blade,maintenance,71500,0,58697.83333333333,130197.83333333333
1,1,2003,blade,repair,13000,0,2668.083333333333,15668.083333333332
1,1,2003,converter,delay,0,0,40942.55399768518,40942.55399768518
1,1,2003,converter,maintenance,71500,0,29348.91666666666,100848.91666666666
1,1,2003,converter,repair,46800,0,7203.825,54003.825000000004
1,1,2003,drivetrain,delay,0,0,3040704.9975925926,3040704.9975925926
1,1,2003,drivetrain,maintenance,286000,0,73372.29166666666,359372.2916666666
1,1,2003,drivetrain,repair,299000,0,1227748.0666666667,1526748.0666666667
1,1,2003,generator,delay,0,0,68250.49808449074,68250.49808449074
1,1,2003,generator,maintenance,210546,0,57630.59999999999,268176.60000000003
1,1,2003,generator,repair,192400,0,1601867.6583333332,1794267.6583333332
1,1,2003,pitch_system,delay,0,0,110047.98750694442,110047.98750694442
1,1,2003,pitch_system,maintenance,143000,0,44023.375,187023.375
1,1,2003,pitch_system,repair,194950,0,53361.66666666666,248311.6666666667
1,1,2003,yaw_system,delay,0,0,49714.06323958332,49714.06323958332
1,1,2003,yaw_system,maintenance,107195,0,36686.145833333336,143881.14583333334
1,1,2003,yaw_system,repair,26000,0,7470.633333333333,33470.63333333333
1,1,2004,array cable,delay,0,0,866860.3711111111,866860.3711111111
