run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,28830999.999999996,2000000.0,31695022.014958594,0,10727945,73253967.01495859
1,1,2003,28830999.999999996,2000000.0,54244398.718399025,0,17029125,102104523.71839902
1,1,2004,28909989.041095886,2000000.0,41331428.70785225,0,12044824,84286241.74894813
1,1,2005,28830999.999999996,2000000.0,70269353.57406117,0,36575431,137675784.57406116
1,1,2006,28830999.999999996,2000000.0,51051754.18481636,0,16966377,98849131.18481636
1,1,2007,28830999.999999996,2000000.0,49607248.55068807,0,6861023,87299271.55068807
1,1,2008,28909989.041095886,2000000.0,48471787.7710672,0,12419430,91801206.81216308
1,1,2009,28830999.999999996,2000000.0,47074157.58353834,0,16521733,94426890.58353834
1,1,2010,28830999.999999996,2000000.0,61780393.10314868,0,26821440,119432833.10314867
1,1,2011,28830999.999999996,2000000.0,43029888.23097719,0,11662135,85523023.23097719
1,1,2012,28909989.041095886,2000000.0,43383756.89076412,0,12158784,86452529.93186
1,1,2013,28830999.999999996,2000000.0,37883221.7553975,0,11833082,80547303.7553975
1,1,2014,28830999.999999996,2000000.0,20686564.440249436,0,6711370,58228934.44024943
1,1,2015,28830999.999999996,2000000.0,51240415.11376169,0,21609480,103680895.1137617
1,1,2016,28909989.041095886,2000000.0,32628592.372131612,0,2295282,65833863.4132275
1,1,2017,28830999.999999996,2000000.0,22339646.00971508,0,1842638,55013284.00971508
1,1,2018,28830999.999999996,2000000.0,83058324.87072062,0,22213574,136102898.87072062
1,1,2019,28830999.999999996,2000000.0,44915812.544551276,0,21741886,97488698.54455128
1,1,2020,28909989.041095886,2000000.0,44550830.17477437,0,11675601,87136420.21587026
1,1,2021,28830999.999999996,2000000.0,43538282.46640184,0,31538864,105908146.46640185
2,2,2002,28830999.999999996,2000000.0,21220642.46021192,0,5657090,57708732.46021192
2,2,2003,28830999.999999996,2000000.0,32487794.33615789,0,6718441,70037235.33615789
2,2,2004,28909989.041095886,2000000.0,63815079.15205551,0,21998034,116723102.19315138
2,2,2005,28830999.999999996,2000000.0,89502470.49036881,0,22393135,142726605.4903688
2,2,2006,28830999.999999996,2000000.0,47945586.9625361,0,21986120,100762706.9625361
2,2,2007,28830999.999999996,2000000.0,41394823.582648285,0,16754191,88980014.58264828
2,2,2008,28909989.041095886,2000000.0,18959233.53598206,0,1768388,51637610.57707795
2,2,2009,28830999.999999996,2000000.0,41441541.29199657,0,16636978,88909519.29199657
2,2,2010,28830999.999999996,2000000.0,22198236.556529276,0,6580935,59610171.55652927
2,2,2011,28830999.999999996,2000000.0,65606624.58934283,0,11894185,108331809.58934283
2,2,2012,28909989.041095886,2000000.0,55908488.10244471,0,21943627,108762104.14354059
2,2,2013,28830999.999999996,2000000.0,27091256.342819903,0,11671892,69594148.3428199
2,2,2014,28830999.999999996,2000000.0,30227917.160497583,0,16599976,77658893.16049758
2,2,2015,28830999.999999996,2000000.0,77171871.07463643,0,32222678,140225549.07463643
2,2,2016,28909989.041095886,2000000.0,65414434.815414205,0,26992526,123316949.85651009
2,2,2017,28830999.999999996,2000000.0,115800778.04726905,0,47069538,193701316.04726905
2,2,2018,28830999.999999996,2000000.0,38092693.23486995,0,21679637,90603330.23486996
2,2,2019,28830999.999999996,2000000.0,38903630.00501343,0,11502578,81237208.00501344
2,2,2020,28909989.041095886,2000000.0,52592098.31090751,0,22120324,105622411.3520034
2,2,2021,28830999.999999996,2000000.0,35618461.113435514,0,11779483,78228944.1134355
