run,random_seed,year,windfarm
1,1,2002,1206698.396
1,1,2003,1294792.384
1,1,2004,1559888.892
1,1,2005,1776085.043
1,1,2006,1993223.795
1,1,2007,2067552.033
1,1,2008,2080829.384
1,1,2009,2067878.368
1,1,2010,2071619.063
1,1,2011,2069044.721
1,1,2012,2079524.95
1,1,2013,2072493.712
1,1,2014,2070986.203
1,1,2015,2071611.708
1,1,2016,2079889.683
1,1,2017,2067324.01
1,1,2018,2070901.254
1,1,2019,2071371.753
1,1,2020,2081058.47
1,1,2021,2070993.821
2,2,2002,73653624.537
2,2,2003,79691532.914
2,2,2004,23336856.115
2,2,2005,3669496.409
2,2,2006,2913009.925
2,2,2007,2069830.293
2,2,2008,2082121.847
2,2,2009,2070310.816
2,2,2010,2071440.557
2,2,2011,2069515.383
2,2,2012,2080538.697
2,2,2013,2070766.304
2,2,2014,2071281.358
2,2,2015,2071592.309
2,2,2016,2082699.694
2,2,2017,2068378.488
2,2,2018,2071882.87
2,2,2019,2068870.775
2,2,2020,2081138.777
2,2,2021,2067953.2
3,3,2002,690954784.655
3,3,2003,740007042.272
3,3,2004,477383567.177
3,3,2005,238415503.313
3,3,2006,3272222.49
3,3,2007,2071552.837
3,3,2008,2082224.441
3,3,2009,2066086.203
3,3,2010,2069647.0
3,3,2011,2070509.016
3,3,2012,2078944.479
3,3,2013,2070008.257
3,3,2014,2070398.889
3,3,2015,2067442.667
3,3,2016,2081858.467
3,3,2017,2069034.707
3,3,2018,2072023.363
3,3,2019,2071049.766
3,3,2020,2081870.779
3,3,2021,2069157.682
4,4,2002,1206978.864
4,4,2003,1297005.879
4,4,2004,1560505.471
4,4,2005,1777242.218
4,4,2006,1988523.145
4,4,2007,2070013.0
4,4,2008,2081375.57
4,4,2009,2071720.975
4,4,2010,2069689.124
4,4,2011,2070507.003
4,4,2012,2083195.084
4,4,2013,2068938.569
4,4,2014,2070157.843
4,4,2015,2067947.096
4,4,2016,2079060.032
4,4,2017,2068859.015
4,4,2018,2069789.655
4,4,2019,2069891.332
4,4,2020,2082396.257
4,4,2021,2069271.347
5,5,2002,3680174.596
5,5,2003,3721263.133
5,5,2004,3694566.161
5,5,2005,3725806.041
5,5,2006,2913483.692
5,5,2007,2070656.198
5,5,2008,2077327.886
5,5,2009,2069985.607
5,5,2010,2071853.88
5,5,2011,2072490.745
5,5,2012,2080687.132
5,5,2013,2069810.905
5,5,2014,2068227.808
5,5,2015,2070981.117
5,5,2016,2080002.808
5,5,2017,2068810.514
5,5,2018,2069738.077
5,5,2019,2069254.995
5,5,2020,2082341.663
5,5,2021,2071807.905
6,6,2002,1206487.714
6,6,2003,1297373.913
6,6,2004,1560955.696
6,6,2005,1773481.22
6,6,2006,1992488.14
6,6,2007,2071407.545
6,6,2008,2083379.443
6,6,2009,2069278.75
6,6,2010,2070401.583
6,6,2011,2069794.179
6,6,2012,2083408.449
6,6,2013,2066165.151
6,6,2014,2068738.425
6,6,2015,2069316.487
6,6,2016,2082378.332
6,6,2017,2070884.212
6,6,2018,2072399.821
6,6,2019,2070122.059
6,6,2020,2083333.401
6,6,2021,2070965.856
7,7,2002,1080895059.891
7,7,2003,894850572.13
7,7,2004,343555672.267
7,7,2005,135974908.236
7,7,2006,5577896.09
7,7,2007,2071929.655
7,7,2008,2082844.218
7,7,2009,2070029.455
7,7,2010,2067969.36
7,7,2011,2070689.598
7,7,2012,2079160.209
7,7,2013,2071289.365
7,7,2014,2071112.538
7,7,2015,2069502.873
7,7,2016,2083395.319
7,7,2017,2066285.197
7,7,2018,2071957.086
7,7,2019,2068037.091
7,7,2020,2082211.207
7,7,2021,2069999.104
8,8,2002,1208234.683
8,8,2003,1295053.96
8,8,2004,1558065.463
8,8,2005,1776912.341
8,8,2006,1992539.865
8,8,2007,2069707.816
8,8,2008,2078587.187
8,8,2009,2071021.925
8,8,2010,2071359.434
8,8,2011,2071489.935
8,8,2012,2082342.763
8,8,2013,2065948.202
8,8,2014,2067102.163
8,8,2015,2071557.438
8,8,2016,2082277.264
8,8,2017,2071096.956
8,8,2018,2071490.457
8,8,2019,2070445.946
8,8,2020,2081323.077
8,8,2021,2071888.489
9,9,2002,1204846.001
9,9,2003,1296321.214
9,9,2004,1555867.818
9,9,2005,1775104.853
9,9,2006,1991320.349
9,9,2007,2071662.767
9,9,2008,2081757.125
9,9,2009,2070106.378
9,9,2010,2070385.694
9,9,2011,2070267.809
9,9,2012,2078142.978
9,9,2013,2072233.222
9,9,2014,2072112.77
9,9,2015,2071354.613
9,9,2016,2079709.269
9,9,2017,2066974.46
9,9,2018,2071746.56
9,9,2019,2070212.019
9,9,2020,2078889.119
9,9,2021,2066835.504
10,10,2002,1207105.303
10,10,2003,1296196.139
10,10,2004,1553618.732
10,10,2005,1776539.873
10,10,2006,1993942.022
10,10,2007,2070955.223
10,10,2008,2081839.0
10,10,2009,2070371.193
10,10,2010,2070177.297
10,10,2011,2068626.605
10,10,2012,2082031.069
10,10,2013,2067091.434
10,10,2014,2069254.818
10,10,2015,2068821.336
10,10,2016,2081064.153
10,10,2017,2072605.385
10,10,2018,2068309.598
10,10,2019,2071455.347
10,10,2020,2081074.3
10,10,2021,2070622.823
11,11,2002,1206411.11
11,11,2003,1294851.474
11,11,2004,1557468.479
11,11,2005,1772992.61
11,11,2006,1992489.396
11,11,2007,2069840.549
11,11,2008,2081911.567
11,11,2009,2066296.873
11,11,2010,2066554.456
11,11,2011,2068975.247
11,11,2012,2080200.009
11,11,2013,2069380.317
11,11,2014,2065120.89
11,11,2015,2069374.412
11,11,2016,2080703.742
11,11,2017,2071307.832
11,11,2018,2070209.629
11,11,2019,2072047.391
11,11,2020,2081513.107
11,11,2021,2070015.664
12,12,2002,1205758.515
12,12,2003,1293843.882
12,12,2004,1563074.98
12,12,2005,1774560.178
12,12,2006,1994553.58
12,12,2007,2071473.489
12,12,2008,2083768.494
12,12,2009,2071964.071
12,12,2010,2069461.901
12,12,2011,2068514.724
12,12,2012,2079992.142
12,12,2013,2070443.945
12,12,2014,2072949.133
12,12,2015,2071581.644
12,12,2016,2077452.259
12,12,2017,2069972.852
12,12,2018,2070236.861
12,12,2019,2068679.843
12,12,2020,2082748.533
12,12,2021,2070729.316
13,13,2002,1207711.436
13,13,2003,1294881.222
13,13,2004,1559885.486
13,13,2005,1772509.919
13,13,2006,1992591.399
13,13,2007,2071739.478
13,13,2008,2081720.341
13,13,2009,2071173.172
13,13,2010,2071609.143
13,13,2011,2071495.796
13,13,2012,2079016.243
13,13,2013,2066506.505
13,13,2014,2071151.408
13,13,2015,2067984.534
13,13,2016,2079791.008
13,13,2017,2071525.164
13,13,2018,2071699.793
13,13,2019,2070538.154
13,13,2020,2078413.026
13,13,2021,2071957.749
14,14,2002,1206475.961
14,14,2003,1293780.913
14,14,2004,1557920.577
14,14,2005,1775869.492
14,14,2006,1993194.95
14,14,2007,2071055.539
14,14,2008,2077950.976
14,14,2009,2067440.935
14,14,2010,2071734.258
14,14,2011,2067991.251
14,14,2012,2080647.124
14,14,2013,2071064.806
14,14,2014,2064011.146
14,14,2015,2071092.995
14,14,2016,2082264.111
14,14,2017,2069260.696
14,14,2018,2071032.446
14,14,2019,2071491.165
14,14,2020,2082275.16
14,14,2021,2067686.054
15,15,2002,1207515.509
15,15,2003,1292588.386
15,15,2004,1557869.723
15,15,2005,1775818.098
15,15,2006,1991411.466
15,15,2007,2069398.206
15,15,2008,2080178.129
15,15,2009,2068054.862
15,15,2010,2071618.376
15,15,2011,2070854.916
15,15,2012,2079186.192
15,15,2013,2068729.327
15,15,2014,2071278.356
15,15,2015,2070009.699
15,15,2016,2078512.11
15,15,2017,2068236.354
15,15,2018,2069423.374
15,15,2019,2069258.052
15,15,2020,2082439.52
15,15,2021,2071300.047
16,16,2002,1202962.264
16,16,2003,1295901.761
16,16,2004,1558221.475
16,16,2005,1775026.137
16,16,2006,1992701.807
16,16,2007,2067916.183
16,16,2008,2079952.079
16,16,2009,2069979.683
16,16,2010,2067903.436
16,16,2011,2070998.348
16,16,2012,2081063.097
16,16,2013,2071479.425
16,16,2014,2068890.943
16,16,2015,2071421.309
16,16,2016,2081892.136
16,16,2017,2072225.663
16,16,2018,2072011.999
16,16,2019,2070344.821
16,16,2020,2082815.997
16,16,2021,2070299.766
17,17,2002,1206147.276
17,17,2003,1293297.486
17,17,2004,1560886.972
17,17,2005,1774257.975
17,17,2006,1991887.773
17,17,2007,2070800.438
17,17,2008,2079394.605
17,17,2009,2068887.309
17,17,2010,2068195.441
17,17,2011,2071109.762
17,17,2012,2078153.76
17,17,2013,2071712.095
17,17,2014,2070893.236
17,17,2015,2069345.394
17,17,2016,2081253.954
17,17,2017,2070299.835
17,17,2018,2070403.962
17,17,2019,2067314.594
17,17,2020,2082931.538
17,17,2021,2070760.134
18,18,2002,1206779.499
18,18,2003,1293532.068
18,18,2004,1558866.069
18,18,2005,1773354.743
18,18,2006,1991583.757
18,18,2007,2069414.706
18,18,2008,2080254.348
18,18,2009,2069969.849
18,18,2010,2070315.028
18,18,2011,2067835.115
18,18,2012,2081787.523
18,18,2013,2069097.498
18,18,2014,2066584.265
18,18,2015,2070493.794
18,18,2016,2082602.872
18,18,2017,2072141.519
18,18,2018,2070926.885
18,18,2019,2070287.322
18,18,2020,2081391.8
18,18,2021,2072446.362
19,19,2002,1206352.65
19,19,2003,1297141.197
19,19,2004,1559354.023
19,19,2005,1777276.618
19,19,2006,1993768.489
19,19,2007,2072077.137
19,19,2008,2082068.087
19,19,2009,2070342.102
19,19,2010,2068333.873
19,19,2011,2069039.365
19,19,2012,2082099.654
19,19,2013,2070589.252
19,19,2014,2070660.296
19,19,2015,2071444.67
19,19,2016,2082894.091
19,19,2017,2072012.339
19,19,2018,2071725.06
19,19,2019,2072244.088
19,19,2020,2082291.41
19,19,2021,2067605.869
20,20,2002,1204501.966
20,20,2003,1294927.835
20,20,2004,1556489.726
20,20,2005,1767609.198
20,20,2006,1990473.824
20,20,2007,2071745.849
20,20,2008,2080980.998
20,20,2009,2069478.497
20,20,2010,2072114.899
20,20,2011,2068795.382
20,20,2012,2079326.389
20,20,2013,2065181.13
20,20,2014,2071028.687
20,20,2015,2069886.231
20,20,2016,2082537.271
20,20,2017,2068690.244
20,20,2018,2070814.17
20,20,2019,2069283.857
20,20,2020,2078294.25
20,20,2021,2067472.293
21,21,2002,1204110.305
21,21,2003,1293210.387
21,21,2004,1561297.445
21,21,2005,1776905.549
21,21,2006,1993055.04
21,21,2007,2069873.735
21,21,2008,2081362.855
21,21,2009,2066831.993
21,21,2010,2071476.303
21,21,2011,2062909.829
21,21,2012,2080693.73
21,21,2013,2069133.449
21,21,2014,2071493.496
21,21,2015,2071013.219
21,21,2016,2080794.08
21,21,2017,2071208.348
21,21,2018,2070877.229
21,21,2019,2071165.315
21,21,2020,2077955.046
21,21,2021,2069310.94
22,22,2002,1206936.86
22,22,2003,1292471.5
22,22,2004,1560953.502
22,22,2005,1775912.497
22,22,2006,1990520.159
22,22,2007,2068957.062
22,22,2008,2081052.668
22,22,2009,2071657.493
22,22,2010,2066548.967
22,22,2011,2072290.391
22,22,2012,2081833.728
22,22,2013,2070321.016
22,22,2014,2065318.257
22,22,2015,2069792.397
22,22,2016,2081008.822
22,22,2017,2068981.925
22,22,2018,2069695.519
22,22,2019,2070942.495
22,22,2020,2081761.621
22,22,2021,2068910.126
23,23,2002,1203106.684
23,23,2003,1294424.061
23,23,2004,1558661.38
23,23,2005,1775494.783
23,23,2006,1990030.214
23,23,2007,2069957.411
23,23,2008,2082638.965
23,23,2009,2072333.758
23,23,2010,2068000.382
23,23,2011,2071031.965
23,23,2012,2082298.288
23,23,2013,2070099.297
23,23,2014,2072241.625
23,23,2015,2069503.802
23,23,2016,2082454.069
23,23,2017,2067172.84
23,23,2018,2070443.894
23,23,2019,2069606.168
23,23,2020,2080204.233
23,23,2021,2069763.818
24,24,2002,1206889.993
24,24,2003,1294374.248
24,24,2004,1558968.445
24,24,2005,1775936.82
24,24,2006,1992172.727
24,24,2007,2071333.449
24,24,2008,2079410.471
24,24,2009,2068745.594
24,24,2010,2071220.042
24,24,2011,2067926.215
24,24,2012,2080180.86
24,24,2013,2071289.518
24,24,2014,2067570.905
24,24,2015,2069962.812
24,24,2016,2082412.521
24,24,2017,2067280.839
24,24,2018,2070979.996
24,24,2019,2071233.539
24,24,2020,2082983.831
24,24,2021,2070994.908
25,25,2002,1208004.174
25,25,2003,1293444.518
25,25,2004,1563224.183
25,25,2005,1776340.618
25,25,2006,1990246.183
25,25,2007,2069311.875
25,25,2008,2082668.519
25,25,2009,2070098.226
25,25,2010,2068245.531
25,25,2011,2063990.195
25,25,2012,2079070.066
25,25,2013,2069811.971
25,25,2014,2067825.59
25,25,2015,2070130.486
25,25,2016,2081665.279
25,25,2017,2072491.241
25,25,2018,2067482.32
25,25,2019,2069928.816
25,25,2020,2080709.821
25,25,2021,2068820.584
26,26,2002,1205423.878
26,26,2003,1295285.193
26,26,2004,1559873.27
26,26,2005,1773904.59
26,26,2006,1992866.451
26,26,2007,2070343.653
26,26,2008,2083164.847
26,26,2009,2071394.435
26,26,2010,2067515.047
26,26,2011,2070488.113
26,26,2012,2081733.316
26,26,2013,2070323.843
26,26,2014,2071843.31
26,26,2015,2071543.729
26,26,2016,2078088.311
26,26,2017,2070196.857
26,26,2018,2071166.391
26,26,2019,2070970.652
26,26,2020,2081433.495
26,26,2021,2066433.791
27,27,2002,1205112.396
27,27,2003,1294053.295
27,27,2004,1559150.198
27,27,2005,1773899.94
27,27,2006,1992753.451
27,27,2007,2068627.966
27,27,2008,2079151.491
27,27,2009,2070791.686
27,27,2010,2070562.734
27,27,2011,2069378.731
27,27,2012,2083524.016
27,27,2013,2071463.713
27,27,2014,2070830.871
27,27,2015,2070534.302
27,27,2016,2080400.497
27,27,2017,2070995.331
27,27,2018,2070097.142
27,27,2019,2069717.334
27,27,2020,2082032.635
27,27,2021,2071563.935
28,28,2002,1207820.715
28,28,2003,1294514.218
28,28,2004,1560094.391
28,28,2005,1775895.251
28,28,2006,1993145.643
28,28,2007,2070266.02
28,28,2008,2083118.819
28,28,2009,2068548.389
28,28,2010,2068908.572
28,28,2011,2067918.867
28,28,2012,2082453.509
28,28,2013,2072410.376
28,28,2014,2072342.52
28,28,2015,2070186.114
28,28,2016,2081179.291
28,28,2017,2068143.956
28,28,2018,2069237.91
28,28,2019,2070809.78
28,28,2020,2081754.146
28,28,2021,2071608.453
29,29,2002,1207457.254
29,29,2003,1293712.583
29,29,2004,1559440.094
29,29,2005,1775568.82
29,29,2006,1994439.171
29,29,2007,2068526.095
29,29,2008,2083215.914
29,29,2009,2071073.674
29,29,2010,2070661.135
29,29,2011,2071422.047
29,29,2012,2082910.926
29,29,2013,2063381.951
29,29,2014,2068080.433
29,29,2015,2071409.439
