run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,24167384.041666668,1165330.844743394,0.0,18342326.773373745
1,1,2003,28978839.841893114,1168533.7981811638,0.0,24058992.78896379
1,1,2004,14495406.020833332,1171728.19361764,1741359.4631051207,24051024.59628521
1,1,2005,19343956.041666668,1168529.643205417,0.0,16034967.59259259
1,1,2006,29015934.0625,1168527.049534424,1744036.271788499,32034662.037037034
1,1,2007,9671978.020833332,1168528.3367324586,0.0,24047653.522952467
1,1,2008,33799874.87511726,1171731.1917578152,1744155.9629893699,24074984.44026489
1,1,2009,14475308.404166667,1168527.8310243415,0.0,26156722.22222222
1,1,2010,33786979.36100042,1168525.614326548,1743396.0466892435,22571856.48148148
1,1,2011,19343956.041666668,1168526.0191911268,0.0,28900316.233610272
1,1,2012,9671978.020833332,1171729.2486816142,1992754.5219890645,26549299.5805698
1,1,2013,0.0,1168532.3510515795,0.0,24036091.169482723
1,1,2014,14495406.020833332,1168529.2250029698,1992961.4078870136,8008333.333333332
1,1,2015,33802367.72120416,1168529.5333583697,0.0,24018472.22222222
1,1,2016,33800807.9329102,1171732.2230345441,1867108.8094602406,38041744.00142909
1,1,2017,0.0,1168529.1591969845,140577.15366319445,18683333.333333332
1,1,2018,67561566.42307597,1168529.7408084872,1964101.715048267,32349494.551225938
1,1,2019,38623909.00233962,1168527.0958025828,140571.46171875,24038796.296296295
1,1,2020,33816752.24375,1171729.6817840238,1962654.4821663958,24075240.74074074
1,1,2021,19366565.86041667,1168529.1411873666,404881.5267013889,24025962.64922172
2,2,2002,0.0,1165330.502403648,0.0,10744441.22379824
2,2,2003,0.0,1168527.0427479895,0.0,21297220.30840967
2,2,2004,28990812.041666668,1171730.7898532923,1742653.8703530792,32055814.81481481
2,2,2005,38612995.35931081,1168529.4351034753,0.0,40832042.3831747
2,2,2006,38608575.95705076,1168531.4798878105,1872363.233299334,16010166.227525026
2,2,2007,14495406.020833332,1168528.6972117973,0.0,7268740.740740741
2,2,2008,9671978.020833332,1171730.232168792,1874957.2195453616,26048399.86411055
2,2,2009,24128490.973861583,1168531.3816231182,123738.60326388889,16025703.703703701
2,2,2010,9671978.020833332,1168525.4493885892,1751507.967251963,0.0
2,2,2011,19321346.222916666,1168528.547745752,123900.32538352275,40080943.84881604
2,2,2012,28952750.601414956,1171730.6963432014,1751980.7577866595,24040875.84659911
2,2,2013,24152064.887399472,1168529.2190412758,123907.4403140783,16009060.185185183
2,2,2014,19304517.83637576,1168528.7577449938,1725539.3744837642,16024791.666666664
2,2,2015,28952460.697394393,1168531.44603934,277334.54738890217,24037367.098063722
2,2,2016,33779415.833088405,1171725.9896867387,1610629.8308332167,18417227.598837674
2,2,2017,43472385.25367528,1168530.159908705,524930.9290034855,23569999.431814637
2,2,2018,22609.81875,1168525.9532502645,1736878.2624461546,24124838.366340794
2,2,2019,0.0,1168525.6819233836,524938.1669045433,24040090.968402334
2,2,2020,53097301.60249789,1171730.769343596,1708458.2170433637,16031425.925925924
2,2,2021,19844871.17681948,1168526.5883392978,524951.3295260711,16014082.24413656
