run,random_seed,time_based_availability,production_based_availability
1,1,0.9847058611621456,0.9849353203901894
2,2,0.9845032241795454,0.9846476757405761
3,3,0.9846985562240075,0.9850627998407923
4,4,0.984820338548859,0.985026530363975
5,5,0.9844112620131209,0.9846066733207266
6,6,0.9844313756099123,0.9845679188278412
7,7,0.9845064263442087,0.9846350005887763
8,8,0.9844933174826183,0.984753641633798
9,9,0.9841381774079278,0.9840934436827693
10,10,0.9846227049485452,0.9848580268562646
11,11,0.9843241030936913,0.9845776560543289
12,12,0.9846415176659422,0.9849699278954052
13,13,0.9843436162846084,0.9844091618920725
14,14,0.9844742045622841,0.9847288566611107
15,15,0.984530642714475,0.9847876565543636
16,16,0.9843796406370706,0.9845382262948456
17,17,0.9842169306451161,0.9842892843007718
18,18,0.9844958191737615,0.9846338194707073
19,19,0.9848198382106303,0.9850343343244746
20,20,0.9841453822784202,0.9841509477804856
21,21,0.984320900929028,0.9841830890986514
22,22,0.9842392457301136,0.9841891195866155
23,23,0.9843228022142969,0.9842942215547641
24,24,0.9846691363361633,0.9849437743891648
25,25,0.9846055933811256,0.9847458529114523
26,26,0.9844090605249148,0.9845758342892749
27,27,0.9842213336215282,0.9841868242878674
28,28,0.9846588293686532,0.9849875553091676
29,29,0.9842711673091009,0.9842194603166181
30,30,0.9842599597327794,0.984371121198519
