run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,blade,repair,7228,0,2668.0833333333335,9896.083333333334
1,1,2002,converter,repair,37583,0,10405.525,47988.525
1,1,2002,drivetrain,delay,0,0,70391.04921527777,70391.04921527777
1,1,2002,drivetrain,repair,151788,0,1223479.1333333333,1375267.1333333333
1,1,2002,generator,delay,0,0,8156.553090277777,8156.553090277777
1,1,2002,generator,repair,34692,0,11205.949999999999,45897.95
1,1,2002,pitch_system,delay,0,0,38063.46974074074,38063.46974074074
1,1,2002,pitch_system,repair,160432,0,78975.26666666665,239407.26666666666
1,1,2002,yaw_system,delay,0,0,8156.516033564814,8156.516033564814
1,1,2002,yaw_system,repair,21684,0,11205.95,32889.95
1,1,2003,array cable,repair,10000000,0,24117140.0,34117140.0
1,1,2003,blade,delay,0,0,68722.82294791666,68722.82294791666
1,1,2003,blade,maintenance,41154,0,60832.299999999996,101986.29999999999
1,1,2003,blade,repair,10842,0,4002.125,14844.125
1,1,2003,converter,delay,0,0,41163.449063657405,41163.449063657405
1,1,2003,converter,maintenance,41154,0,30416.149999999994,71570.15
1,1,2003,converter,repair,20237,0,5602.974999999999,25839.975
1,1,2003,drivetrain,delay,0,0,2149424.3382314816,2149424.3382314816
1,1,2003,drivetrain,maintenance,164787,0,76040.375,240827.37499999997
1,1,2003,drivetrain,repair,173472,0,1229882.5333333332,1403354.5333333332
1,1,2003,generator,delay,0,0,210596.28340740735,210596.28340740735
1,1,2003,generator,maintenance,121408,0,59765.06666666666,181173.06666666668
1,1,2003,generator,repair,112756,0,1603735.3166666667,1716491.3166666667
1,1,2003,pitch_system,delay,0,0,108690.52599768517,108690.52599768517
1,1,2003,pitch_system,maintenance,82365,0,45624.225,127989.225
1,1,2003,pitch_system,repair,108400,0,53361.66666666666,161761.66666666666
1,1,2003,yaw_system,delay,0,0,48088.49641203703,48088.49641203703
1,1,2003,yaw_system,maintenance,61788,0,38020.1875,99808.1875
1,1,2003,yaw_system,repair,10842,0,5602.975,16444.975
1,1,2004,array cable,delay,0,0,897920.6004513889,897920.6004513889
1,1,2004,array cable,maintenance,225000,0,691571.25,916571.25
1,1,2004,array cable,repair,20000000,0,24117140.0,44117140.0
1,1,2004,blade,delay,0,0,75051.51661458332,75051.51661458332
1,1,2004,blade,maintenance,41154,0,60832.299999999996,101986.29999999999
1,1,2004,blade,repair,10842,0,4002.1249999999995,14844.124999999998
1,1,2004,converter,delay,0,0,45239.09458217592,45239.09458217592
1,1,2004,converter,maintenance,41154,0,30416.149999999994,71570.15
1,1,2004,converter,repair,26019,0,7203.825,33222.825000000004
1,1,2004,drivetrain,delay,0,0,2229627.68237963,2229627.68237963
1,1,2004,drivetrain,maintenance,159005,0,73372.29166666666,232377.29166666666
1,1,2004,drivetrain,repair,433680,0,6486890.962962963,6920570.962962963
1,1,2004,generator,delay,0,0,81049.10855092591,81049.10855092591
1,1,2004,generator,maintenance,123576,0,60832.299999999996,184408.30000000002
1,1,2004,generator,repair,28910,0,9338.291666666666,38248.291666666664
1,1,2004,pitch_system,delay,0,0,112377.29837037035,112377.29837037035
1,1,2004,pitch_system,maintenance,82365,0,45624.225,127989.225
1,1,2004,pitch_system,repair,140920,0,69370.16666666666,210290.16666666666
1,1,2004,yaw_system,delay,0,0,53308.00854629629,53308.00854629629
1,1,2004,yaw_system,maintenance,61788,0,38020.1875,99808.1875
1,1,2004,yaw_system,repair,7228,0,3735.3166666666666,10963.316666666666
1,1,2005,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2005,blade,delay,0,0,63325.80915856481,63325.80915856481
1,1,2005,blade,maintenance,41154,0,60832.299999999996,101986.29999999999
1,1,2005,blade,repair,3614,0,1334.0416666666665,4948.041666666666
1,1,2005,converter,delay,0,0,49527.519746527774,49527.519746527774
1,1,2005,converter,maintenance,41154,0,30416.149999999994,71570.15
1,1,2005,converter,repair,26019,0,7203.825,33222.825000000004
1,1,2005,drivetrain,delay,0,0,438564.83990393515,438564.83990393515
1,1,2005,drivetrain,maintenance,159005,0,73372.29166666666,232377.29166666666
1,1,2005,drivetrain,repair,195156,0,1949394.9703703704,2144550.9703703704
1,1,2005,generator,delay,0,0,191238.4100185185,191238.4100185185
1,1,2005,generator,maintenance,119240,0,58697.83333333333,177937.83333333334
1,1,2005,generator,repair,118538,0,1605602.975,1724140.975
1,1,2005,pitch_system,delay,0,0,123508.91260416665,123508.91260416665
1,1,2005,pitch_system,maintenance,82365,0,45624.225,127989.225
1,1,2005,pitch_system,repair,132248,0,65101.23333333332,197349.23333333334
1,1,2005,yaw_system,delay,0,0,50789.44904976851,50789.44904976851
1,1,2005,yaw_system,maintenance,61788,0,38020.1875,99808.1875
1,1,2005,yaw_system,repair,14456,0,7470.633333333333,21926.63333333333
1,1,2006,array cable,delay,0,0,919060.4821180556,919060.4821180556
1,1,2006,array cable,maintenance,225000,0,691571.25,916571.25
1,1,2006,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2006,blade,delay,0,0,72978.4529212963,72978.4529212963
1,1,2006,blade,maintenance,41154,0,60832.299999999996,101986.29999999999
1,1,2006,blade,repair,7228,0,2668.083333333333,9896.083333333332
1,1,2006,converter,delay,0,0,44823.577659722214,44823.577659722214
1,1,2006,converter,maintenance,41154,0,30416.149999999994,71570.15
1,1,2006,converter,repair,40474,0,11205.949999999999,51679.950000000004
1,1,2006,drivetrain,delay,0,0,1252481.9038518518,1252481.9038518518
1,1,2006,drivetrain,maintenance,164787,0,76040.375,240827.37499999997
1,1,2006,drivetrain,repair,72280,0,1200000.0,1272280.0
1,1,2006,export cable,delay,0,0,16648.9375,16648.9375
1,1,2006,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2006,generator,delay,0,0,74819.94921527777,74819.94921527777
1,1,2006,generator,maintenance,123576,0,60832.29999999999,184408.3
1,1,2006,generator,repair,23128,0,7470.633333333333,30598.63333333333
1,1,2006,pitch_system,delay,0,0,134463.02518287036,134463.02518287036
1,1,2006,pitch_system,maintenance,82365,0,45624.225,127989.225
1,1,2006,pitch_system,repair,153928,0,75773.56666666665,229701.56666666668
1,1,2006,yaw_system,delay,0,0,60883.957057870364,60883.957057870364
1,1,2006,yaw_system,maintenance,61788,0,38020.1875,99808.1875
1,1,2006,yaw_system,repair,23491,0,12139.779166666665,35630.77916666666
1,1,2007,array cable,delay,0,0,18019.984618055554,18019.984618055554
1,1,2007,array cable,maintenance,5000,0,15368.25,20368.25
1,1,2007,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2007,blade,delay,0,0,71876.38627777777,71876.38627777777
1,1,2007,blade,maintenance,41154,0,60832.29999999999,101986.29999999999
1,1,2007,blade,repair,14456,0,5336.166666666666,19792.166666666664
1,1,2007,converter,delay,0,0,40791.992572916664,40791.992572916664
1,1,2007,converter,maintenance,41154,0,30416.149999999994,71570.15
1,1,2007,converter,repair,26019,0,7203.825,33222.825000000004
1,1,2007,drivetrain,delay,0,0,3739404.0287627317,3739404.0287627317
1,1,2007,drivetrain,maintenance,159005,0,73372.29166666666,232377.29166666666
1,1,2007,drivetrain,repair,202384,0,2417075.7333333334,2619459.7333333334
1,1,2007,generator,delay,0,0,3492732.7198842596,3492732.7198842596
1,1,2007,generator,maintenance,121408,0,59765.06666666666,181173.06666666665
1,1,2007,generator,repair,67942,0,805602.9749999999,873544.9749999999
1,1,2007,pitch_system,delay,0,0,114711.24132291666,114711.24132291666
1,1,2007,pitch_system,maintenance,82365,0,45624.225,127989.225
1,1,2007,pitch_system,repair,108400,0,53361.666666666664,161761.66666666666
1,1,2007,yaw_system,delay,0,0,57702.00828587962,57702.00828587962
1,1,2007,yaw_system,maintenance,61788,0,38020.1875,99808.1875
1,1,2007,yaw_system,repair,18070,0,9338.291666666666,27408.291666666664
1,1,2008,array cable,delay,0,0,870734.4507986112,870734.4507986112
1,1,2008,array cable,maintenance,220000,0,676203.0,896203.0
