run,random_seed,year,windfarm
1,1,2002,1080704.585
1,1,2003,1067913.308
1,1,2004,1073493.931
1,1,2005,1068393.192
1,1,2006,1068119.003
1,1,2007,1067651.406
1,1,2008,1073731.346
1,1,2009,1068311.72
1,1,2010,1069776.017
1,1,2011,1068419.805
1,1,2012,1071896.698
1,1,2013,1068044.052
1,1,2014,1067165.322
1,1,2015,1068887.483
1,1,2016,1071569.352
1,1,2017,1066566.942
1,1,2018,1066396.466
1,1,2019,1067389.907
1,1,2020,1072442.357
1,1,2021,1067686.419
2,2,2002,1080398.497
2,2,2003,1068212.818
2,2,2004,1071654.704
2,2,2005,1065798.445
2,2,2006,1066225.134
2,2,2007,1066320.816
2,2,2008,1073514.514
2,2,2009,1066288.643
2,2,2010,1068483.827
2,2,2011,1066333.677
2,2,2012,1072957.613
2,2,2013,1068200.666
2,2,2014,1068738.702
2,2,2015,1069423.122
2,2,2016,1074206.063
2,2,2017,1068177.159
2,2,2018,1066917.298
2,2,2019,1067792.719
2,2,2020,1072432.734
2,2,2021,1066234.003
3,3,2002,1079745.765
3,3,2003,1067071.221
3,3,2004,1072606.067
3,3,2005,1067061.158
3,3,2006,1067792.993
3,3,2007,1067482.672
3,3,2008,1073618.87
3,3,2009,1066741.103
3,3,2010,1066624.373
3,3,2011,1068557.729
3,3,2012,1073504.401
3,3,2013,1067924.742
3,3,2014,1068763.662
3,3,2015,1067111.27
3,3,2016,1075398.592
3,3,2017,1068482.57
3,3,2018,1067421.974
3,3,2019,1069965.641
3,3,2020,1074236.112
3,3,2021,1067217.478
4,4,2002,1081243.414
4,4,2003,1067396.341
4,4,2004,1072214.415
4,4,2005,1068278.755
4,4,2006,1065315.697
4,4,2007,1066139.43
4,4,2008,1074483.606
4,4,2009,1068189.236
4,4,2010,1068352.132
4,4,2011,1068091.496
4,4,2012,1075254.375
4,4,2013,1067206.963
4,4,2014,1068696.542
4,4,2015,1067673.365
4,4,2016,1073876.244
4,4,2017,1067491.602
4,4,2018,1066793.748
4,4,2019,1068655.258
4,4,2020,1073210.14
4,4,2021,1067977.796
5,5,2002,1078123.77
5,5,2003,1066912.575
5,5,2004,1072332.648
5,5,2005,1066464.577
5,5,2006,1066420.533
5,5,2007,1068529.301
5,5,2008,1073289.205
5,5,2009,1067706.912
5,5,2010,1068029.731
5,5,2011,1068070.402
5,5,2012,1075581.746
5,5,2013,1067732.781
5,5,2014,1067492.52
5,5,2015,1068217.093
5,5,2016,1071459.577
5,5,2017,1064785.88
5,5,2018,1067185.788
5,5,2019,1068434.362
5,5,2020,1073328.818
5,5,2021,1067322.289
6,6,2002,1080722.823
6,6,2003,1067096.183
6,6,2004,1073544.685
6,6,2005,1066280.644
6,6,2006,1068254.906
6,6,2007,1068271.478
6,6,2008,1074573.023
6,6,2009,1066930.692
6,6,2010,1067958.491
6,6,2011,1067242.201
6,6,2012,1073901.093
6,6,2013,1065597.791
6,6,2014,1067947.403
6,6,2015,1065977.593
6,6,2016,1072911.846
6,6,2017,1067805.469
6,6,2018,1067327.534
6,6,2019,1066773.106
6,6,2020,1071790.111
6,6,2021,1065671.619
7,7,2002,1081725.635
7,7,2003,1067842.439
7,7,2004,1072239.582
7,7,2005,1067169.687
7,7,2006,1066446.493
7,7,2007,1067700.816
7,7,2008,1074327.532
7,7,2009,1066863.434
7,7,2010,1066875.22
7,7,2011,1067099.746
7,7,2012,1073010.426
7,7,2013,1067984.718
7,7,2014,1068447.978
7,7,2015,1066916.34
7,7,2016,1072817.484
7,7,2017,1066406.707
7,7,2018,1065598.475
7,7,2019,1066704.186
7,7,2020,1074423.883
7,7,2021,1067435.046
8,8,2002,1081447.524
8,8,2003,1066097.356
8,8,2004,1072369.35
8,8,2005,1067788.43
8,8,2006,1068141.372
8,8,2007,1067097.436
8,8,2008,1073029.701
8,8,2009,1066870.748
8,8,2010,1068013.153
8,8,2011,1067020.421
8,8,2012,1075714.089
8,8,2013,1064829.57
8,8,2014,1065812.939
8,8,2015,1069003.534
8,8,2016,1074951.199
8,8,2017,1066480.474
8,8,2018,1067442.165
8,8,2019,1067157.13
8,8,2020,1073700.041
8,8,2021,1067646.291
9,9,2002,1078989.781
9,9,2003,1067112.346
9,9,2004,1071957.949
9,9,2005,1067831.894
9,9,2006,1067834.542
9,9,2007,1068072.522
9,9,2008,1074065.065
9,9,2009,1067545.496
9,9,2010,1068974.536
9,9,2011,1067070.714
9,9,2012,1070207.06
9,9,2013,1066170.997
9,9,2014,1064432.187
9,9,2015,1065251.473
9,9,2016,1073519.919
9,9,2017,1066947.409
9,9,2018,1064504.186
9,9,2019,1066682.46
9,9,2020,1071395.562
9,9,2021,1067706.143
10,10,2002,1081060.543
10,10,2003,1068279.656
10,10,2004,1071768.092
10,10,2005,1066713.486
10,10,2006,1067291.452
10,10,2007,1068153.395
10,10,2008,1072598.455
10,10,2009,1068275.972
10,10,2010,1068872.888
10,10,2011,1067832.467
10,10,2012,1072705.764
10,10,2013,1066838.29
10,10,2014,1067172.773
10,10,2015,1066131.346
10,10,2016,1074184.708
10,10,2017,1067989.52
10,10,2018,1067043.975
10,10,2019,1067101.444
10,10,2020,1073819.633
10,10,2021,1069046.498
11,11,2002,1080686.618
11,11,2003,1068306.294
11,11,2004,1070829.538
11,11,2005,1065969.786
11,11,2006,1069102.825
11,11,2007,1068443.228
11,11,2008,1072077.924
11,11,2009,1068273.183
11,11,2010,1065898.707
11,11,2011,1067946.367
11,11,2012,1073744.741
11,11,2013,1066767.272
11,11,2014,1068959.493
11,11,2015,1066920.462
11,11,2016,1072491.384
11,11,2017,1067598.736
11,11,2018,1067992.412
11,11,2019,1066626.757
11,11,2020,1071824.303
11,11,2021,1066330.171
12,12,2002,1081137.71
12,12,2003,1068088.61
12,12,2004,1070994.083
12,12,2005,1066782.525
12,12,2006,1067134.784
12,12,2007,1067327.281
12,12,2008,1073057.739
12,12,2009,1067734.186
12,12,2010,1068350.457
12,12,2011,1068332.021
12,12,2012,1074185.635
12,12,2013,1068204.719
12,12,2014,1067857.473
12,12,2015,1068201.017
12,12,2016,1075012.077
12,12,2017,1067365.553
12,12,2018,1068041.932
12,12,2019,1067103.975
12,12,2020,1074424.775
12,12,2021,1065974.496
13,13,2002,1081656.733
13,13,2003,1065967.071
13,13,2004,1073293.613
13,13,2005,1066298.289
13,13,2006,1065754.846
13,13,2007,1067792.008
13,13,2008,1072794.379
13,13,2009,1067791.298
13,13,2010,1067137.139
13,13,2011,1066860.687
13,13,2012,1071201.221
13,13,2013,1069141.578
13,13,2014,1069334.52
13,13,2015,1066151.876
13,13,2016,1072504.739
13,13,2017,1066954.294
13,13,2018,1068204.477
13,13,2019,1064287.857
13,13,2020,1071878.715
13,13,2021,1068124.866
14,14,2002,1081082.06
14,14,2003,1066670.479
14,14,2004,1072822.659
14,14,2005,1067937.887
14,14,2006,1067363.028
14,14,2007,1068097.653
14,14,2008,1072032.043
14,14,2009,1066193.088
14,14,2010,1067189.906
14,14,2011,1067226.627
14,14,2012,1072358.834
14,14,2013,1067523.186
14,14,2014,1067616.903
14,14,2015,1066348.61
14,14,2016,1073366.321
14,14,2017,1068009.33
14,14,2018,1069498.61
14,14,2019,1067849.187
14,14,2020,1074394.533
14,14,2021,1066493.605
15,15,2002,1081150.933
15,15,2003,1064913.653
15,15,2004,1074278.64
15,15,2005,1066867.152
15,15,2006,1067428.384
15,15,2007,1066917.596
15,15,2008,1071771.423
15,15,2009,1067504.909
15,15,2010,1068600.136
15,15,2011,1068152.124
15,15,2012,1073932.666
15,15,2013,1069307.348
15,15,2014,1068187.446
15,15,2015,1066409.308
15,15,2016,1074116.508
15,15,2017,1067701.096
15,15,2018,1066655.399
15,15,2019,1065917.419
15,15,2020,1073487.843
15,15,2021,1068051.805
16,16,2002,1078875.072
16,16,2003,1065642.056
16,16,2004,1071415.832
16,16,2005,1067408.799
16,16,2006,1067672.406
16,16,2007,1066584.946
16,16,2008,1073923.068
16,16,2009,1067528.125
16,16,2010,1067852.261
16,16,2011,1069252.321
16,16,2012,1073325.646
16,16,2013,1067789.952
16,16,2014,1066603.035
16,16,2015,1066119.655
16,16,2016,1072358.862
16,16,2017,1068678.418
16,16,2018,1067849.728
16,16,2019,1067574.708
16,16,2020,1073176.317
16,16,2021,1066302.509
17,17,2002,1081385.955
17,17,2003,1066072.538
17,17,2004,1074540.454
17,17,2005,1065953.277
17,17,2006,1068090.393
17,17,2007,1068268.105
17,17,2008,1072193.946
17,17,2009,1066369.115
17,17,2010,1068070.127
17,17,2011,1067586.454
17,17,2012,1072591.499
17,17,2013,1068712.835
17,17,2014,1067130.145
17,17,2015,1066332.971
17,17,2016,1071667.799
17,17,2017,1064052.895
17,17,2018,1065958.915
17,17,2019,1065993.362
17,17,2020,1072684.944
17,17,2021,1066870.521
18,18,2002,1081704.854
18,18,2003,1065618.354
18,18,2004,1072519.293
18,18,2005,1066352.49
18,18,2006,1068871.854
18,18,2007,1068004.631
18,18,2008,1074000.071
18,18,2009,1068295.221
18,18,2010,1067474.53
18,18,2011,1066967.533
18,18,2012,1072012.704
18,18,2013,1067020.62
18,18,2014,1066668.617
18,18,2015,1067022.163
18,18,2016,1073117.758
18,18,2017,1067024.143
18,18,2018,1066930.803
18,18,2019,1067226.076
18,18,2020,1072659.457
18,18,2021,1068518.999
