run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,9671978.020833332,1165333.070379667,0.0,8008333.333333332
1,1,2003,33798966.93680376,1168533.0022518355,0.0,24047453.7037037
1,1,2004,24130894.866295435,1171724.0450125048,1744251.3167425962,19107375.695395004
1,1,2005,38601537.03073719,1168526.0489144211,0.0,21526191.64890926
1,1,2006,19366565.86041667,1168526.342739017,1746520.3945155526,8018898.148148147
1,1,2007,14495406.020833332,1168526.098774482,250368.0028125,32025849.141109694
1,1,2008,9671978.020833332,1171730.644312073,1747624.1495542324,26332458.333333332
1,1,2009,24128113.78199426,1168530.7048709414,375547.3795138889,21711111.11111111
1,1,2010,14497918.222916666,1168525.6943237204,1745047.0924598672,16039611.11111111
1,1,2011,43473967.970603906,1168531.531042733,375528.1692013889,24024999.999999996
1,1,2012,19343956.041666668,1171732.8266274827,1747198.367494043,19733856.92941962
1,1,2013,38625130.07950096,1168531.2863383556,505585.5422916667,36354711.5447203
1,1,2014,9671978.020833332,1168528.320927848,1742490.8138577924,40642053.996519156
1,1,2015,24167384.041666668,1168527.5825235266,752523.4370833334,17103583.333333332
1,1,2016,62980266.67798286,1171734.7127352564,1739945.2621428221,21143320.02959499
1,1,2017,38630052.93434065,1168532.6392871134,765137.083951267,42158391.763005756
1,1,2018,28968202.222916666,1168526.6410082718,1748920.7543496448,26597713.48135355
1,1,2019,22609.81875,1168527.115307363,908281.4539075608,14641666.666666664
1,1,2020,19343956.041666668,1171728.0447945576,1722036.8388633926,16028930.555555554
1,1,2021,33802282.94846329,1168528.1848633592,1029998.7054006163,24043215.429033242
2,2,2002,14495406.020833332,1165335.01848143,0.0,40077673.2203914
2,2,2003,33816752.24375,1168525.262759367,0.0,8018467.124143744
2,2,2004,22609.81875,1171733.493478035,1770277.2495134068,40028837.107576676
2,2,2005,24167384.041666668,1168526.2739322765,0.0,24029564.131934248
2,2,2006,0.0,1168529.8642638503,1770142.574663163,32067586.32496886
2,2,2007,48274590.06838257,1168530.677661127,125103.60269097223,8796142.867253147
2,2,2008,67617570.4140526,1171731.0068692223,1745210.582481842,33130605.04095064
2,2,2009,43699278.588732,1168527.1563113506,374337.4855729167,24539846.345548205
2,2,2010,38930735.95403704,1168528.720956223,1734511.0116833765,16199054.561335865
2,2,2011,33802270.983202934,1168530.9833703244,527099.9245554468,16051666.666666664
2,2,2012,0.0,1171730.1170393191,1718216.2980663995,16029914.714965377
2,2,2013,33839362.0625,1168528.9649822034,527103.1412042892,24018097.18075135
2,2,2014,19343956.041666668,1168525.6911952985,1735429.2037334105,16032549.163370201
2,2,2015,24167384.041666668,1168529.26051909,526922.0211439129,8012499.999999999
2,2,2016,77469291.27441713,1171731.6019076125,1705856.6881727348,32042657.407407403
2,2,2017,9694587.839583334,1168524.4276207874,659271.5141904003,24024999.999999996
2,2,2018,14495406.020833332,1168524.3136427193,1978782.6723416317,9234176.192627566
2,2,2019,14495406.020833332,1168528.9256233599,533935.9563211526,30607702.211823147
2,2,2020,19343956.041666668,1171732.6142537293,1981398.4028658122,233333.3333333333
2,2,2021,15907154.729576387,1168530.5511221432,657769.5439079582,24047754.629629627
3,3,2002,24144774.222916666,1165335.5148770064,0.0,33292009.4647152
3,3,2003,9694587.839583334,1168529.084204344,0.0,13541134.259259257
3,3,2004,33800207.77586586,1171732.3959949145,1767346.9485688426,18516666.666666664
3,3,2005,29221741.612889096,1168528.7819318958,0.0,32059908.768956665
3,3,2006,24167384.041666668,1168529.9628835956,1906288.1743300708,16035481.48148148
