run,random_seed,time_based_availability,production_based_availability
1,1,0.9842370561143401,0.9840321163764648
2,2,0.9842083434842631,0.9840509678872852
3,3,0.9845420673867059,0.9845321352859973
4,4,0.9844897659292258,0.9844380012027726
5,5,0.9843037622246198,0.9841643946267528
6,6,0.9845576321457712,0.9846167730994808
7,7,0.9844251866804332,0.9844022943313995
8,8,0.9845208954473563,0.9845113696367579
9,9,0.9842524275223611,0.9840930136531449
10,10,0.9843954106196128,0.9843065536703697
11,11,0.9843195203347294,0.9841796119834922
12,12,0.9845078442518668,0.9844414980015712
13,13,0.9844540926615545,0.9843876164922266
14,14,0.9843415623537782,0.9842486472693568
15,15,0.9843556769800114,0.9842000276097872
16,16,0.9843984075607992,0.984309108676041
17,17,0.984028913715163,0.9837863419646831
18,18,0.9844243166007339,0.9842601754522277
19,19,0.9845834445101838,0.9845060490452682
20,20,0.9842313522585335,0.9840437186580441
21,21,0.9843139131544449,0.9840729403955709
22,22,0.9841481146339671,0.9839936596970068
23,23,0.9845985258916383,0.9844930171877779
24,24,0.9844067216557036,0.9842499521121724
25,25,0.9843588672722421,0.9841272728729884
26,26,0.9842386029226944,0.9841579986896919
27,27,0.9841911352413214,0.9839275235008574
28,28,0.9844755546274705,0.984432350282186
29,29,0.9842131772603704,0.9839456136025432
30,30,0.9845772572767666,0.9845292337203916
