run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,blade,repair,18200,0,2668.0833333333335,20868.083333333332
1,1,2002,converter,delay,0,0,1359.4625717592592,1359.4625717592592
1,1,2002,converter,repair,80080,0,8804.675,88884.675
1,1,2002,drivetrain,delay,0,0,84338.97602199072,84338.97602199072
1,1,2002,drivetrain,repair,400400,0,1225613.6,1626013.6
1,1,2002,generator,delay,0,0,6797.1275752314805,6797.1275752314805
1,1,2002,generator,repair,72800,0,9338.291666666666,82138.29166666666
1,1,2002,pitch_system,delay,0,0,31266.638619212958,31266.638619212958
1,1,2002,pitch_system,repair,349376,0,68302.93333333332,417678.93333333335
1,1,2002,yaw_system,delay,0,0,5437.6650034722215,5437.6650034722215
1,1,2002,yaw_system,repair,59150,0,12139.779166666667,71289.77916666666
1,1,2003,array cable,repair,10000000,0,24117140.0,34117140.0
1,1,2003,blade,delay,0,0,73084.95391435185,73084.95391435185
1,1,2003,blade,maintenance,103740,0,60832.299999999996,164572.3
1,1,2003,blade,repair,18200,0,2668.083333333333,20868.083333333332
1,1,2003,converter,delay,0,0,46112.41013657407,46112.41013657407
1,1,2003,converter,maintenance,103740,0,30416.149999999994,134156.15
1,1,2003,converter,repair,36400,0,4002.125,40402.125
1,1,2003,drivetrain,delay,0,0,3351992.596855324,3351992.596855324
1,1,2003,drivetrain,maintenance,414960,0,76040.375,491000.37499999994
1,1,2003,drivetrain,repair,418600,0,1229443.8930219905,1648043.8930219905
1,1,2003,generator,delay,0,0,65665.27356134259,65665.27356134259
1,1,2003,generator,maintenance,305704,0,59765.06666666666,365469.06666666665
1,1,2003,generator,repair,283920,0,1603735.3166666667,1887655.3166666667
1,1,2003,pitch_system,delay,0,0,113874.46368749999,113874.46368749999
1,1,2003,pitch_system,maintenance,207480,0,45624.225,253104.225
1,1,2003,pitch_system,repair,305704,0,59765.06666666666,365469.06666666665
1,1,2003,yaw_system,delay,0,0,57685.25865162037,57685.25865162037
1,1,2003,yaw_system,maintenance,155553,0,38020.1875,193573.1875
1,1,2003,yaw_system,repair,31850,0,6536.804166666667,38386.80416666667
1,1,2004,array cable,delay,0,0,900178.8794097222,900178.8794097222
1,1,2004,array cable,maintenance,225000,0,691571.25,916571.25
1,1,2004,array cable,repair,20000000,0,24117140.0,44117140.0
1,1,2004,blade,delay,0,0,74507.93169212963,74507.93169212963
1,1,2004,blade,maintenance,103740,0,60832.299999999996,164572.3
1,1,2004,blade,repair,27300,0,4002.125,31302.125
1,1,2004,converter,delay,0,0,44788.26261226851,44788.26261226851
1,1,2004,converter,maintenance,103740,0,30416.149999999994,134156.15
1,1,2004,converter,repair,65520,0,7203.825,72723.825
1,1,2004,drivetrain,delay,0,0,2295999.2293842593,2295999.2293842593
1,1,2004,drivetrain,maintenance,393120,0,72038.25,465158.24999999994
1,1,2004,drivetrain,repair,1183000,0,6644723.951422454,7827723.951422454
1,1,2004,generator,delay,0,0,68690.02775694443,68690.02775694443
1,1,2004,generator,maintenance,311163,0,60832.299999999996,371995.3
1,1,2004,generator,repair,14560,0,1867.6583333333333,16427.658333333333
1,1,2004,pitch_system,delay,0,0,109981.13719675924,109981.13719675924
1,1,2004,pitch_system,maintenance,207480,0,45624.225,253104.225
1,1,2004,pitch_system,repair,294786,0,57630.59999999999,352416.60000000003
1,1,2004,yaw_system,delay,0,0,54856.05273032407,54856.05273032407
1,1,2004,yaw_system,maintenance,155553,0,38020.1875,193573.1875
1,1,2004,yaw_system,repair,22750,0,4669.145833333333,27419.145833333332
1,1,2005,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2005,blade,delay,0,0,71406.54421412037,71406.54421412037
1,1,2005,blade,maintenance,103740,0,60832.299999999996,164572.3
1,1,2005,blade,repair,18200,0,2668.083333333333,20868.083333333332
1,1,2005,converter,delay,0,0,48660.83734375,48660.83734375
1,1,2005,converter,maintenance,103740,0,30416.149999999994,134156.15
1,1,2005,converter,repair,72800,0,8004.25,80804.25
1,1,2005,drivetrain,delay,0,0,1641538.4905046294,1641538.4905046294
1,1,2005,drivetrain,maintenance,400400,0,73372.29166666666,473772.2916666666
1,1,2005,drivetrain,repair,582400,0,1811210.8222222223,2393610.8222222226
1,1,2005,generator,delay,0,0,394774.943505787,394774.943505787
1,1,2005,generator,maintenance,300245,0,58697.83333333333,358942.8333333334
1,1,2005,generator,repair,283920,0,1603735.3166666667,1887655.3166666667
1,1,2005,pitch_system,delay,0,0,146566.08114699073,146566.08114699073
1,1,2005,pitch_system,maintenance,207480,0,45624.225,253104.225
1,1,2005,pitch_system,repair,393048,0,76840.79999999999,469888.8
1,1,2005,yaw_system,delay,0,0,42667.54398611111,42667.54398611111
1,1,2005,yaw_system,maintenance,155553,0,38020.1875,193573.1875
1,1,2005,yaw_system,repair,31850,0,6536.804166666667,38386.80416666667
1,1,2006,array cable,delay,0,0,919766.6389756944,919766.6389756944
1,1,2006,array cable,maintenance,225000,0,691571.25,916571.25
1,1,2006,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2006,blade,delay,0,0,68857.2647025463,68857.2647025463
1,1,2006,blade,maintenance,103740,0,60832.299999999996,164572.3
1,1,2006,blade,repair,18200,0,2668.083333333333,20868.083333333332
1,1,2006,converter,delay,0,0,40626.05261226851,40626.05261226851
1,1,2006,converter,maintenance,103740,0,30416.149999999994,134156.15
1,1,2006,converter,repair,72800,0,8004.25,80804.25
1,1,2006,drivetrain,delay,0,0,1834360.600642361,1834360.600642361
1,1,2006,drivetrain,maintenance,400400,0,73372.29166666666,473772.2916666666
1,1,2006,drivetrain,repair,491400,0,2414941.2666666666,2906341.2666666666
1,1,2006,export cable,delay,0,0,16648.9375,16648.9375
1,1,2006,export cable,maintenance,10000,0,15368.250000000002,25368.25
1,1,2006,generator,delay,0,0,79662.52046527776,79662.52046527776
1,1,2006,generator,maintenance,311163,0,60832.299999999996,371995.3
1,1,2006,generator,repair,43680,0,5602.974999999999,49282.975
1,1,2006,pitch_system,delay,0,0,141681.04290393516,141681.04290393516
1,1,2006,pitch_system,maintenance,207480,0,45624.225,253104.225
1,1,2006,pitch_system,repair,365753,0,71504.63333333333,437257.63333333336
1,1,2006,yaw_system,delay,0,0,47043.38593634259,47043.38593634259
1,1,2006,yaw_system,maintenance,155553,0,38020.1875,193573.1875
1,1,2006,yaw_system,repair,31850,0,6536.804166666667,38386.80416666667
1,1,2007,array cable,delay,0,0,18020.34036458333,18020.34036458333
1,1,2007,array cable,maintenance,5000,0,15368.25,20368.25
1,1,2007,array cable,repair,15000000,0,24117140.0,39117140.0
1,1,2007,blade,delay,0,0,76584.03403587962,76584.03403587962
