run,random_seed,year,windfarm
1,1,2002,3202422.407
1,1,2003,3162274.663
1,1,2004,3176302.285
1,1,2005,3164192.459
1,1,2006,3162186.525
1,1,2007,3157210.752
1,1,2008,3176714.729
1,1,2009,3162437.076
1,1,2010,3164252.835
1,1,2011,3166361.077
1,1,2012,3179367.412
1,1,2013,3158721.901
1,1,2014,3154192.422
1,1,2015,3158675.927
1,1,2016,3179792.471
1,1,2017,3158060.639
1,1,2018,3167305.708
1,1,2019,3158812.818
1,1,2020,3178053.582
1,1,2021,3161618.662
2,2,2002,3200068.891
2,2,2003,3164158.247
2,2,2004,3174250.739
2,2,2005,3158019.474
2,2,2006,3152988.734
2,2,2007,3157489.664
2,2,2008,3179215.903
2,2,2009,3156141.361
2,2,2010,3165630.716
2,2,2011,3161107.784
2,2,2012,3177327.689
2,2,2013,3154893.058
2,2,2014,3164484.47
2,2,2015,3161274.586
2,2,2016,3171551.99
2,2,2017,3157905.071
2,2,2018,3159619.633
2,2,2019,3161079.724
2,2,2020,3168489.656
2,2,2021,3163006.658
3,3,2002,3198302.943
3,3,2003,3161277.961
3,3,2004,3174860.885
3,3,2005,3159576.097
3,3,2006,3161255.306
3,3,2007,3166364.564
3,3,2008,3182162.039
3,3,2009,3158615.866
3,3,2010,3157853.853
3,3,2011,3160822.732
3,3,2012,3168274.545
3,3,2013,3162721.82
3,3,2014,3160680.694
3,3,2015,3158266.534
3,3,2016,3178855.721
3,3,2017,3159908.012
3,3,2018,3152919.622
3,3,2019,3161678.472
3,3,2020,3181440.84
3,3,2021,3160398.907
4,4,2002,3202734.877
4,4,2003,3160859.531
4,4,2004,3176802.701
4,4,2005,3161928.988
4,4,2006,3153163.446
4,4,2007,3156376.579
4,4,2008,3173191.029
4,4,2009,3161737.368
4,4,2010,3160944.192
4,4,2011,3166592.878
4,4,2012,3180188.237
4,4,2013,3164308.525
4,4,2014,3161719.826
4,4,2015,3162777.95
4,4,2016,3178569.876
4,4,2017,3158235.359
4,4,2018,3154102.463
4,4,2019,3162999.404
4,4,2020,3177107.402
4,4,2021,3165061.06
5,5,2002,3194010.185
5,5,2003,3157878.005
5,5,2004,3175982.941
5,5,2005,3157732.245
5,5,2006,3156769.275
5,5,2007,3164018.913
5,5,2008,3174429.65
5,5,2009,3159401.288
5,5,2010,3166175.095
5,5,2011,3164835.698
5,5,2012,3183319.895
5,5,2013,3160608.631
5,5,2014,3160525.54
5,5,2015,3162761.167
5,5,2016,3170860.156
5,5,2017,3153764.895
5,5,2018,3160794.293
5,5,2019,3156664.237
5,5,2020,3175195.946
5,5,2021,3166242.689
6,6,2002,3200946.545
6,6,2003,3160008.209
6,6,2004,3177689.707
6,6,2005,3163070.554
6,6,2006,3162898.674
6,6,2007,3161159.785
6,6,2008,3181872.118
6,6,2009,3155950.982
6,6,2010,3156549.032
6,6,2011,3158382.856
6,6,2012,3180736.949
6,6,2013,3155961.157
6,6,2014,3158938.904
6,6,2015,3157825.193
6,6,2016,3181230.581
6,6,2017,3159483.612
6,6,2018,3162129.269
6,6,2019,3157590.415
6,6,2020,3177688.457
6,6,2021,3159562.078
7,7,2002,3204132.731
7,7,2003,3164183.284
7,7,2004,3175261.32
7,7,2005,3162522.744
7,7,2006,3159369.391
7,7,2007,3162047.535
7,7,2008,3179306.817
7,7,2009,3162088.899
7,7,2010,3155488.205
7,7,2011,3163270.577
7,7,2012,3165909.091
7,7,2013,3161499.5
7,7,2014,3169277.798
7,7,2015,3159654.571
7,7,2016,3176201.594
7,7,2017,3162094.796
7,7,2018,3160168.825
7,7,2019,3153469.567
7,7,2020,3177300.975
7,7,2021,3153778.954
8,8,2002,3203293.608
8,8,2003,3158882.068
8,8,2004,3173586.905
8,8,2005,3166072.517
8,8,2006,3163143.217
8,8,2007,3159398.562
8,8,2008,3176705.124
8,8,2009,3162691.902
8,8,2010,3161242.34
8,8,2011,3166367.013
8,8,2012,3178692.888
8,8,2013,3158337.593
8,8,2014,3158218.198
8,8,2015,3162573.57
8,8,2016,3179812.465
8,8,2017,3158288.742
8,8,2018,3161811.596
8,8,2019,3157986.702
8,8,2020,3175175.495
8,8,2021,3162735.928
9,9,2002,3196173.996
9,9,2003,3159867.283
9,9,2004,3173301.81
9,9,2005,3164633.019
9,9,2006,3163161.41
9,9,2007,3161741.177
9,9,2008,3180214.064
9,9,2009,3156959.804
9,9,2010,3160353.162
9,9,2011,3162348.091
9,9,2012,3173961.156
9,9,2013,3162295.285
9,9,2014,3159621.808
9,9,2015,3157076.143
9,9,2016,3181480.535
9,9,2017,3163767.592
9,9,2018,3160970.908
9,9,2019,3162640.832
9,9,2020,3177147.566
9,9,2021,3162928.771
10,10,2002,3201953.854
10,10,2003,3156462.463
10,10,2004,3173550.115
10,10,2005,3165826.964
10,10,2006,3156900.739
10,10,2007,3161667.135
10,10,2008,3178280.895
10,10,2009,3158158.403
10,10,2010,3164135.183
10,10,2011,3164758.666
10,10,2012,3175099.228
10,10,2013,3164178.335
10,10,2014,3160395.545
10,10,2015,3160558.94
10,10,2016,3172595.747
10,10,2017,3165276.491
10,10,2018,3159351.373
10,10,2019,3159328.036
10,10,2020,3180838.089
10,10,2021,3164280.77
11,11,2002,3201314.223
11,11,2003,3164255.004
11,11,2004,3173409.691
11,11,2005,3156036.367
11,11,2006,3161473.173
11,11,2007,3163457.792
11,11,2008,3173519.568
11,11,2009,3163412.735
11,11,2010,3157440.235
11,11,2011,3158015.548
11,11,2012,3176080.843
11,11,2013,3158139.516
11,11,2014,3155401.406
11,11,2015,3162071.111
11,11,2016,3176346.726
11,11,2017,3158647.052
11,11,2018,3159607.005
11,11,2019,3160249.09
11,11,2020,3173816.614
11,11,2021,3157827.032
12,12,2002,3202305.017
12,12,2003,3162185.683
12,12,2004,3169882.744
12,12,2005,3159683.38
12,12,2006,3159987.974
12,12,2007,3160174.281
12,12,2008,3179734.867
12,12,2009,3160966.739
12,12,2010,3164453.285
12,12,2011,3166953.041
12,12,2012,3176087.961
12,12,2013,3162833.481
12,12,2014,3163202.061
12,12,2015,3153913.874
12,12,2016,3168293.394
12,12,2017,3164599.11
12,12,2018,3160267.723
12,12,2019,3156029.293
12,12,2020,3177473.446
12,12,2021,3157955.563
13,13,2002,3203969.327
13,13,2003,3156740.407
13,13,2004,3178970.807
13,13,2005,3156187.965
13,13,2006,3161030.51
13,13,2007,3163455.856
13,13,2008,3175951.708
13,13,2009,3164998.078
13,13,2010,3160584.904
13,13,2011,3160011.456
13,13,2012,3172108.847
13,13,2013,3164815.894
13,13,2014,3158963.851
13,13,2015,3160212.55
13,13,2016,3174002.834
13,13,2017,3156448.679
13,13,2018,3160021.661
13,13,2019,3161526.388
13,13,2020,3169023.607
13,13,2021,3162159.854
