run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,9671978.020833332,1165334.2023046191,0.0,8008333.333333332
1,1,2003,24144774.222916666,1168526.799208966,0.0,24033333.333333332
1,1,2004,33786247.746243976,1171728.325718594,1610618.1453448606,18930965.557690512
1,1,2005,14495406.020833332,1168521.2230887571,135693.82107638888,21281048.87292307
1,1,2006,19305143.731010802,1168526.5232851582,1591545.91480531,8025055.555555554
1,1,2007,14495406.020833332,1168527.547237935,261307.20854166668,24051953.7037037
1,1,2008,19343956.041666668,1171732.3084111814,1591542.8148408078,24033124.999999996
1,1,2009,19343956.041666668,1168527.116840486,384801.7696875,8021544.989822244
1,1,2010,19304691.11268139,1168529.418213176,1576739.9437785158,8008333.333333332
1,1,2011,24167384.041666668,1168528.1964482847,249102.96815972222,25190902.777777776
1,1,2012,9671978.020833332,1171731.1585328525,1609480.9012643609,25061161.33186289
1,1,2013,0.0,1168526.4871167107,373459.5031423611,13858875.061001077
1,1,2014,9671978.020833332,1168534.8604575929,1609471.4134872258,16024999.999999998
1,1,2015,43449186.13917851,1168530.953863086,373472.31001736113,37263289.76285375
1,1,2016,33825668.4002272,1171731.9410152293,1468267.3542142115,10822754.629629629
1,1,2017,9671978.020833332,1168530.3151152371,375115.3229512748,36223195.902900346
1,1,2018,38623589.42183979,1168526.6251641288,1468611.2774337765,4099999.9999999995
1,1,2019,9674490.222916666,1168528.9828601626,375114.25571169145,8008333.333333332
1,1,2020,43716608.10886293,1171730.1210339207,1458390.7879459644,16024999.999999998
1,1,2021,28990812.041666668,1168528.9793696923,501064.89088530256,24040481.241587996
2,2,2002,24129160.033234388,1165338.2908473674,0.0,40086195.15982117
2,2,2003,14472796.202083332,1168525.8467975147,0.0,8019064.003423731
2,2,2004,9659437.638270704,1171733.1037073235,1590496.6422156766,34928977.65346543
2,2,2005,33804786.505286716,1168527.8027284278,0.0,29176476.24773921
2,2,2006,0.0,1168531.4365112141,1591235.6237129206,32077263.888888884
2,2,2007,24131730.97644387,1168525.855943062,124720.81942708333,9636591.604521865
2,2,2008,19306031.76776903,1171731.1811049797,1584088.2627877234,41258545.27332011
2,2,2009,24127877.133291006,1168529.9450935272,264263.4621875,16017511.630089335
2,2,2010,24169896.243750002,1168531.6165704874,1606372.6629144447,40058333.33333333
2,2,2011,48259969.14604865,1168527.314601193,139547.26746527778,24042986.11111111
2,2,2012,9671978.020833332,1171731.213881947,1606373.0117807435,8007966.774428089
2,2,2013,14495406.020833332,1168529.8786015133,389397.30333333334,24002212.96296296
2,2,2014,0.0,1168531.5166059078,1626133.8939452872,8007148.673590124
2,2,2015,28979754.607865803,1168528.9358712218,389411.53319444443,16008333.333333332
2,2,2016,24715214.36730787,1171730.5205496012,1626116.5889384116,32072527.22962702
2,2,2017,14495406.020833332,1168530.3804107534,389415.8021527778,16048680.555555554
2,2,2018,14495406.020833332,1168528.132704393,1730478.7508523143,24033333.333333332
2,2,2019,0.0,1168527.2718450257,404367.13023336156,22224800.925925925
2,2,2020,19343956.041666668,1171727.9128345062,1730481.6963151933,9841666.666666666
2,2,2021,9671978.020833332,1168525.2520796868,404377.09113613935,8004203.703703703
3,3,2002,24144774.222916666,1165332.8564478843,0.0,32063194.44444444
3,3,2003,38609288.525445506,1168529.2876841433,0.0,14057069.444444442
3,3,2004,33778157.30446722,1171728.9722251953,1591551.825888673,21240435.185185183
3,3,2005,14518015.839583334,1168530.3843351246,393898.5641493056,24022863.78648142
3,3,2006,19305732.043720484,1168531.5689204321,1470176.0319921612,8008333.333333332
3,3,2007,19321346.222916666,1168527.5884493934,518196.9105301417,16033333.333333332
3,3,2008,9671978.020833334,1171731.5227228329,1468102.0604682367,8008333.333333332
3,3,2009,22609.81875,1168527.141724234,518217.188082225,32043152.777777776
3,3,2010,19307538.558822528,1168527.4072587776,1467965.3325314254,28797828.7037037
3,3,2011,14495406.020833332,1168525.4828235814,527328.5681516695,11291666.666666666
3,3,2012,43463608.24375,1171729.0365128971,1458410.4922757105,16068593.820694815
3,3,2013,9694587.839583334,1168527.429527117,656064.6986377805,8008333.333333332
3,3,2014,43488730.264583334,1168527.6342902,1582048.4514819717,8008333.333333332
3,3,2015,24167384.041666668,1168531.633405846,649426.1126829195,32030366.968781814
3,3,2016,24152564.578154027,1171729.5304413035,1590656.39533202,12799999.999999998
3,3,2017,33801138.05406772,1168524.6042978638,649424.3339502806,20422239.073908385
3,3,2018,0.0,1168524.488124871,1590661.4810431742,23778722.22222222
3,3,2019,33781501.42197401,1168527.610994443,773838.8556169472,16299736.11111111
3,3,2020,9694587.839583334,1171727.539969938,1590210.6579308773,5932754.629629629
3,3,2021,38626412.14289144,1168530.5821965002,898094.3585856972,18127328.7037037
4,4,2002,19343956.041666668,1165330.544889632,0.0,0.0
4,4,2003,24144774.222916666,1168530.0575583444,0.0,16037356.48148148
4,4,2004,38623977.61039302,1171728.577922734,1589007.5160915928,32030902.777777776
4,4,2005,22609.81875,1168531.0643351167,0.0,0.0
4,4,2006,24129954.759404026,1168527.0178627667,1580849.4351897428,24039697.09791737
4,4,2007,34047183.74073919,1168530.5184327757,0.0,24044044.537879135
4,4,2008,24387732.077731483,1171730.3740735985,1593348.102034156,24043824.07407407
4,4,2009,22609.81875,1168525.923719788,124256.21446180556,24035578.7037037
4,4,2010,19343956.041666668,1168527.280290221,1591566.6871691386,16049999.999999998
4,4,2011,28952156.681422517,1168526.418030265,259045.72786458334,16045828.539109368
4,4,2012,24167384.041666668,1171728.3810494544,1468382.1509120162,8024999.999999999
4,4,2013,33802944.58196545,1168531.129352871,383944.5947755857,16402777.777777776
4,4,2014,19307538.56113211,1168527.277815522,1486315.6735216696,24401631.132213276
4,4,2015,38662790.0625,1168528.3623606577,509347.380296419,10298590.29480669
4,4,2016,0.0,1171726.8391160853,1458399.7954397646,16020106.48148148
4,4,2017,24167384.041666668,1168525.7043437334,642335.6689589856,24066013.63364793
4,4,2018,9671978.020833332,1168529.2077980486,1458376.4778039714,24032786.218872532
4,4,2019,28956329.65941994,1168529.7882965996,651924.9322752693,22006495.37037037
4,4,2020,24151399.163871236,1171731.06730692,1332962.5976680368,10049915.848502163
4,4,2021,9671978.020833332,1168526.7374460981,651916.0386120748,0.0
5,5,2002,14495406.020833332,1165329.9544271103,0.0,25145948.61728688
5,5,2003,43449670.54220014,1168528.6699077294,0.0,24016811.344049275
