run,random_seed,time_based_availability,production_based_availability
1,1,0.9846324133982497,0.98528729014759
2,2,0.9842695190250497,0.9847310000203046
3,3,0.9846236961846586,0.9852220444756286
4,4,0.9845321116319915,0.9851460988812828
5,5,0.9841954765194857,0.9846153715870785
6,6,0.9844309489063664,0.9851669968099361
7,7,0.9846132570523334,0.9851860745813632
8,8,0.9845675185859604,0.9850836184071121
9,9,0.9842837248546055,0.984828678929145
10,10,0.9844395585000366,0.9850102629960018
11,11,0.9842202291012876,0.9845946728537778
12,12,0.9846834252407458,0.9853232441846355
13,13,0.9845921635478414,0.9851881669590724
14,14,0.9845471784209144,0.9851966028098463
15,15,0.9845130629059962,0.9852364665877967
16,16,0.9844856198261723,0.9850666527764053
17,17,0.9844834674277547,0.9849242911331738
18,18,0.984476256893056,0.9847629571602499
19,19,0.9846914967348116,0.9852415716032166
20,20,0.9840032673407979,0.984384383240116
21,21,0.9846139027718587,0.9851731330712676
22,22,0.9844372984816981,0.9849840220180903
23,23,0.9844027524870964,0.9848749701034721
24,24,0.9845138162454423,0.9850317747482721
25,25,0.9845362011889849,0.9850443316915302
26,26,0.9844286888880279,0.9850153726925197
27,27,0.9844179268959401,0.9850155886959402
28,28,0.9846442515895463,0.9852217335775725
29,29,0.9846146561113048,0.9851732951689178
30,30,0.9846451125489133,0.9852463963964013
