run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,blade,repair,39000,0,5336.166666666667,44336.166666666664
1,1,2002,converter,delay,0,0,4078.2394884259256,4078.2394884259256
1,1,2002,converter,repair,70200,0,7203.825,77403.825
1,1,2002,drivetrain,delay,0,0,1207476.5694166669,1207476.5694166669
1,1,2002,drivetrain,repair,604500,0,2423479.1333333333,3027979.1333333333
1,1,2002,pitch_system,delay,0,0,17855.14717708333,17855.14717708333
1,1,2002,pitch_system,repair,298299,0,54428.89999999999,352727.9
1,1,2002,yaw_system,delay,0,0,4078.2394884259256,4078.2394884259256
1,1,2002,yaw_system,repair,58500,0,11205.95,69705.95
1,1,2003,array cable,repair,15000000,0,28940568.0,43940568.0
1,1,2003,blade,delay,0,0,68343.36220717592,68343.36220717592
1,1,2003,blade,maintenance,103350,0,56563.36666666666,159913.36666666667
1,1,2003,blade,repair,19500,0,2668.083333333333,22168.083333333332
1,1,2003,converter,delay,0,0,42913.41527662036,42913.41527662036
1,1,2003,converter,maintenance,103350,0,28281.683333333327,131631.68333333335
1,1,2003,converter,repair,85800,0,8804.675,94604.67499999999
1,1,2003,drivetrain,delay,0,0,162607.42294560184,162607.42294560184
1,1,2003,drivetrain,maintenance,397800,0,68036.125,465836.12499999994
1,1,2003,drivetrain,repair,721500,0,3614941.2666666666,4336441.266666667
1,1,2003,generator,delay,0,0,386715.03681944445,386715.03681944445
1,1,2003,generator,maintenance,304148,0,55496.133333333324,359644.13333333336
1,1,2003,generator,repair,475800,0,1624279.5583333333,2100079.5583333336
1,1,2003,pitch_system,delay,0,0,119968.40307754629,119968.40307754629
1,1,2003,pitch_system,maintenance,206700,0,42422.525,249122.52500000002
1,1,2003,pitch_system,repair,356789,0,65101.23333333332,421890.23333333334
1,1,2003,yaw_system,delay,0,0,45307.79772800925,45307.79772800925
1,1,2003,yaw_system,maintenance,154972,0,35352.104166666664,190324.10416666666
1,1,2003,yaw_system,repair,48750,0,9338.291666666666,58088.291666666664
1,1,2004,array cable,delay,0,0,849082.6498784722,849082.6498784722
1,1,2004,array cable,maintenance,215000,0,660834.75,875834.75
1,1,2004,blade,delay,0,0,75550.26291435184,75550.26291435184
1,1,2004,blade,maintenance,103350,0,56563.36666666666,159913.36666666667
1,1,2004,blade,repair,68250,0,9338.291666666666,77588.29166666666
1,1,2004,converter,delay,0,0,40803.59132407407,40803.59132407407
