run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,41673900.0,2000000.0,18845645.58132718,0,6031485,68551030.58132719
1,1,2003,41673900.0,2000000.0,49346635.934784696,0,12375921,105396456.9347847
1,1,2004,41788075.06849315,2000000.0,55732213.38239628,0,28252805,127773093.45088944
1,1,2005,41673900.0,2000000.0,36978088.60743789,0,12488168,93140156.60743788
1,1,2006,41673900.0,2000000.0,38089973.64993433,0,12699134,94463007.64993432
1,1,2007,41673900.0,2000000.0,43195928.17874163,0,12499013,99368841.17874163
1,1,2008,41788075.06849315,2000000.0,54153751.372419655,0,13005169,110946995.44091281
1,1,2009,41673900.0,2000000.0,35255679.901076876,0,7577130,86506709.90107688
1,1,2010,41673900.0,2000000.0,39766984.90372052,0,17422104,100862988.90372053
1,1,2011,41673900.0,2000000.0,38071531.673900634,0,7565438,89310869.67390063
1,1,2012,41788075.06849315,2000000.0,53027748.65447344,0,17619914,114435737.72296658
1,1,2013,41673900.0,2000000.0,35259700.88979816,0,7792614,86726214.88979816
1,1,2014,41673900.0,2000000.0,28475023.13817155,0,7771130,79920053.13817155
1,1,2015,41673900.0,2000000.0,53320577.175774254,0,17867688,114862165.17577425
1,1,2016,41788075.06849315,2000000.0,40897794.61261623,0,17366302,102052171.68110938
1,1,2017,41673900.0,2000000.0,48172676.250918634,0,8061820,99908396.25091863
1,1,2018,41673900.0,2000000.0,47078326.71814373,0,17222110,107974336.71814373
1,1,2019,41673900.0,2000000.0,19239283.303236336,0,17083919,79997102.30323634
1,1,2020,41788075.06849315,2000000.0,54123273.531352825,0,27301085,125212433.59984598
1,1,2021,41673900.0,2000000.0,54718181.57265429,0,22613466,121005547.57265429
2,2,2002,41673900.0,2000000.0,65384108.449643604,0,16908027,125966035.44964361
2,2,2003,41673900.0,2000000.0,23662555.25277703,0,2361286,69697741.25277703
2,2,2004,41788075.06849315,2000000.0,47009375.552916005,0,18467566,109265016.62140915
2,2,2005,41673900.0,2000000.0,64515273.61594329,0,22961880,131151053.61594328
2,2,2006,41673900.0,2000000.0,34853317.464345045,0,2968233,81495450.46434504
2,2,2007,41673900.0,2000000.0,36335656.683178335,0,17380917,97390473.68317834
2,2,2008,41788075.06849315,2000000.0,46112583.38988311,0,13079384,102980042.45837626
2,2,2009,41673900.0,2000000.0,36811218.51878888,0,12582863,93067981.51878887
2,2,2010,41673900.0,2000000.0,50953650.70158621,0,17770185,112397735.70158622
2,2,2011,41673900.0,2000000.0,65717274.897185445,0,32414180,141805354.89718544
2,2,2012,41788075.06849315,2000000.0,20884925.290340748,0,2897910,67570910.3588339
2,2,2013,41673900.0,2000000.0,72267574.53595138,0,32725335,148666809.53595138
2,2,2014,41673900.0,2000000.0,34872477.106685854,0,8256711,86803088.10668585
2,2,2015,41673900.0,2000000.0,64234750.822345205,0,22432963,130341613.8223452
2,2,2016,41788075.06849315,2000000.0,81474768.34153712,0,18623301,143886144.41003028
2,2,2017,41673900.0,2000000.0,40110240.48344561,0,12463180,96247320.48344561
2,2,2018,41673900.0,2000000.0,42926177.45665893,0,27505463,114105540.45665893
2,2,2019,41673900.0,2000000.0,35270797.680580676,0,7492556,86437253.68058068
2,2,2020,41788075.06849315,2000000.0,20416367.64188449,0,7228941,71433383.71037763
2,2,2021,41673900.0,2000000.0,41772989.11538871,0,17217622,102664511.1153887
3,3,2002,41673900.0,2000000.0,57373301.531180374,0,6408824,107456025.53118038
3,3,2003,41673900.0,2000000.0,54097056.047217675,0,37269637,135040593.04721767
3,3,2004,41788075.06849315,2000000.0,54298497.48284745,0,12521566,110608138.55134061
3,3,2005,41673900.0,2000000.0,40095159.86571962,0,22828683,106597742.86571962
3,3,2006,41673900.0,2000000.0,37980388.98200967,0,12507790,94162078.98200968
3,3,2007,41673900.0,2000000.0,19336814.14870123,0,2252705,65263419.14870123
3,3,2008,41788075.06849315,2000000.0,28324682.369465645,0,7609185,79721942.43795879
3,3,2009,41673900.0,2000000.0,33744795.0170468,0,7773364,85192059.01704681
3,3,2010,41673900.0,2000000.0,76565378.62688532,0,23152255,143391533.62688532
3,3,2011,41673900.0,2000000.0,24066717.013435148,0,12302311,80042928.01343516
3,3,2012,41788075.06849315,2000000.0,62245304.096855424,0,22703626,128737005.16534857
3,3,2013,41673900.0,2000000.0,28419979.547306288,0,17592973,89686852.54730628
3,3,2014,41673900.0,2000000.0,54373387.86648315,0,22389689,120436976.86648315
3,3,2015,41673900.0,2000000.0,40214680.51704028,0,7741190,91629770.51704028
3,3,2016,41788075.06849315,2000000.0,39776551.12951474,0,27525202,111089828.19800788
3,3,2017,41673900.0,2000000.0,47392242.99508246,0,13074639,104140781.99508247
3,3,2018,41673900.0,2000000.0,31078563.141106926,0,7772873,82525336.14110693
3,3,2019,41673900.0,2000000.0,43908280.576018624,0,17307439,104889619.57601863
3,3,2020,41788075.06849315,2000000.0,24830371.47598372,0,3127638,71746084.54447687
3,3,2021,41673900.0,2000000.0,68328032.36064012,0,32437228,144439160.3606401
4,4,2002,41673900.0,2000000.0,20509286.587437708,0,10755572,74938758.5874377
4,4,2003,41673900.0,2000000.0,41350729.25352293,0,12299869,97324498.25352293
