run,random_seed,year,windfarm
1,1,2002,1913433.113
1,1,2003,2200037.48
1,1,2004,2693914.938
1,1,2005,3085218.521
1,1,2006,3347545.6
1,1,2007,3355932.435
1,1,2008,3380553.633
1,1,2009,3359837.98
1,1,2010,3362084.779
1,1,2011,3363254.354
1,1,2012,3377752.976
1,1,2013,3353478.732
1,1,2014,3352802.977
1,1,2015,3355586.47
1,1,2016,3381907.266
1,1,2017,3354076.857
1,1,2018,3361316.966
1,1,2019,3361725.323
1,1,2020,3382650.003
1,1,2021,3357072.821
2,2,2002,1913552.563
2,2,2003,2210311.12
2,2,2004,2691244.359
2,2,2005,3076860.739
2,2,2006,3341167.748
2,2,2007,3360681.891
2,2,2008,3374594.431
2,2,2009,3360256.296
2,2,2010,3361659.068
2,2,2011,3359524.099
2,2,2012,3371550.109
2,2,2013,3357778.934
2,2,2014,3357624.588
2,2,2015,3366223.242
2,2,2016,3365674.036
2,2,2017,3361787.648
2,2,2018,3364031.601
2,2,2019,3355531.425
2,2,2020,3384120.17
2,2,2021,3360018.183
3,3,2002,1911605.994
3,3,2003,2204675.525
3,3,2004,2691852.447
3,3,2005,3085781.435
3,3,2006,3349126.994
3,3,2007,3363492.6
3,3,2008,3378500.244
3,3,2009,3361503.181
3,3,2010,3356101.846
3,3,2011,3366219.732
3,3,2012,3373433.895
3,3,2013,3358701.642
3,3,2014,3364484.895
3,3,2015,3363109.781
3,3,2016,3380775.572
3,3,2017,3360879.15
3,3,2018,3364753.881
3,3,2019,3359728.016
3,3,2020,3377997.009
3,3,2021,3355862.342
4,4,2002,6008614.041
4,4,2003,3467467.014
4,4,2004,3371876.84
4,4,2005,3367500.904
4,4,2006,3355147.658
4,4,2007,3356730.856
4,4,2008,3374809.892
4,4,2009,3362146.998
4,4,2010,3361788.598
4,4,2011,3364875.294
4,4,2012,3379249.865
4,4,2013,3362328.947
4,4,2014,3356998.062
4,4,2015,3360444.929
4,4,2016,3382079.505
4,4,2017,3361642.347
4,4,2018,3355184.341
4,4,2019,3361691.366
4,4,2020,3377951.49
4,4,2021,3363560.097
5,5,2002,1909326.029
5,5,2003,2206074.499
5,5,2004,2694540.463
5,5,2005,3075182.023
5,5,2006,3345784.875
5,5,2007,3356515.791
5,5,2008,3375639.076
5,5,2009,3360143.664
5,5,2010,3363205.488
5,5,2011,3362640.424
5,5,2012,3377731.706
5,5,2013,3366865.857
5,5,2014,3361115.669
5,5,2015,3364364.799
5,5,2016,3372321.735
5,5,2017,3352526.649
5,5,2018,3352782.24
5,5,2019,3354314.057
5,5,2020,3373211.213
5,5,2021,3362585.903
6,6,2002,1914337.775
6,6,2003,2205077.558
6,6,2004,2696376.767
6,6,2005,3083021.788
6,6,2006,3347101.777
6,6,2007,3356936.242
6,6,2008,3377234.858
6,6,2009,3359848.868
6,6,2010,3355123.223
6,6,2011,3359434.56
6,6,2012,3376844.408
6,6,2013,3352060.485
6,6,2014,3362071.388
6,6,2015,3354312.791
6,6,2016,3380857.008
6,6,2017,3364861.598
6,6,2018,3361859.248
6,6,2019,3352023.722
6,6,2020,3384426.553
6,6,2021,3364144.104
7,7,2002,1916146.623
7,7,2003,2204293.861
7,7,2004,2691360.812
7,7,2005,3081895.937
7,7,2006,3352128.516
7,7,2007,3363873.115
7,7,2008,3373745.96
7,7,2009,3360864.806
7,7,2010,3360862.186
7,7,2011,3363977.672
7,7,2012,3376456.974
7,7,2013,3362694.123
7,7,2014,3364879.286
7,7,2015,3362505.496
7,7,2016,3378857.53
7,7,2017,3359337.753
7,7,2018,3361934.244
7,7,2019,3358493.112
7,7,2020,3377380.938
7,7,2021,3360211.465
8,8,2002,1914644.422
8,8,2003,2201445.5
8,8,2004,2690800.333
8,8,2005,3081428.796
8,8,2006,3353036.301
8,8,2007,3361739.058
8,8,2008,3370986.277
8,8,2009,3360164.828
8,8,2010,3360266.773
8,8,2011,3359834.383
8,8,2012,3377603.348
8,8,2013,3355351.759
8,8,2014,3359078.466
8,8,2015,3365716.08
8,8,2016,3373369.447
8,8,2017,3362997.139
8,8,2018,3364816.024
8,8,2019,3355206.874
8,8,2020,3373201.492
8,8,2021,3354738.653
9,9,2002,1912639.433
