run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,33816752.24375,1165332.5849861167,0.0,8033180.555555555
1,1,2003,67587215.54834685,1168528.4258122616,0.0,32030805.555555552
1,1,2004,38630028.948471464,1171727.9539831912,1918062.1351972837,19440727.547246855
1,1,2005,33803941.79693363,1168529.7634314955,128925.74338541666,29528182.38965
1,1,2006,9671978.020833332,1168526.4732402738,2061435.9112517086,16024185.29781484
1,1,2007,33839362.0625,1168529.3344020392,128921.11868055555,24066613.02999858
1,1,2008,24127278.80989092,1171729.6781490864,2054763.4227416625,26740041.666666664
1,1,2009,24147286.425,1168534.6324407593,254094.09194444446,26705977.03646189
1,1,2010,33788046.30152506,1168529.7429293466,2149814.16955082,10249999.999999998
1,1,2011,9671978.020833332,1168530.8232731677,254111.52352430555,34158333.33333333
1,1,2012,9671978.020833332,1171732.9020865725,2134983.2132742736,30375435.185185183
1,1,2013,0.0,1168530.9573983436,254104.40859375,21373514.50507374
1,1,2014,28968202.222916666,1168532.1210109987,2139691.574500774,24024999.999999996
1,1,2015,48283392.7600702,1168534.2592996834,254100.13963541668,35820212.96296296
1,1,2016,9671978.020833332,1171730.3856263803,2001864.847816513,20279152.777777776
1,1,2017,9671978.020833332,1168530.2557121369,551992.4327430773,54296420.21926621
1,1,2018,48274044.87258166,1168526.804604461,1942116.5211771172,9557074.074074073
1,1,2019,58180332.32542017,1168530.1196016234,563968.8836979166,14476259.259259257
1,1,2020,9694587.839583334,1171729.428884904,2086702.9342736767,16014194.444444442
1,1,2021,19304613.588701863,1168530.9068933295,726939.4633033689,24023558.021625835
2,2,2002,24167384.041666668,1165331.6701717682,0.0,40077742.66483584
2,2,2003,0.0,1168523.7811146753,0.0,8025723.672660848
2,2,2004,24167384.041666668,1171734.3351193261,2049430.222757534,34888689.540203266
2,2,2005,33803472.29651475,1168530.1213751836,0.0,29247378.94674906
2,2,2006,9671978.020833332,1168528.7272056371,2042327.2959457436,32035296.29629629
2,2,2007,19343956.041666668,1168525.8093872117,0.0,10124439.163549444
2,2,2008,24129288.809419703,1171729.4188144626,2041965.9261765794,43729530.59928678
2,2,2009,33798807.360735804,1168530.7472190748,0.0,37284580.55351007
2,2,2010,9674490.222916666,1168531.792016617,2052885.991504589,19741666.666666664
2,2,2011,9649368.202083332,1168531.2645386986,135831.77008884618,36367314.06416391
2,2,2012,24130292.659515075,1171731.1446223734,2020263.027912624,16036525.826076487
2,2,2013,38611254.93849578,1168532.813991046,135833.90456801283,35153725.84833645
2,2,2014,19343956.041666668,1168527.535736805,2024114.9322044891,8003780.644851684
2,2,2015,14495406.020833332,1168531.9800584489,390095.19738051284,32046037.190934587
2,2,2016,33816752.24375,1171729.0106472212,2021541.8907302045,18910952.35877182
2,2,2017,48276701.23291915,1168528.9085875556,514335.4032485684,16015280.770379152
2,2,2018,19346468.243750002,1168531.00554132,1897875.4179576966,24033333.333333332
2,2,2019,9671978.020833332,1168528.1830934552,653924.7937838577,40942496.602593794
2,2,2020,43452034.19702574,1171727.336337516,1872092.7501605076,0.0
2,2,2021,44283377.04770999,1168532.438682242,653922.659304691,40072017.846921116
3,3,2002,19307374.767809182,1165329.5212560764,0.0,33291963.168418903
3,3,2003,38624061.79796552,1168528.731247645,0.0,13935004.629629629
3,3,2004,14472796.202083332,1171729.501870062,1921032.2054685485,18111115.74074074
3,3,2005,9694587.839583334,1168529.736418735,139587.46682291667,24051575.435623333
3,3,2006,24167384.041666668,1168532.0063740332,1912316.4332812782,8008333.333333332
3,3,2007,57909860.24072684,1168528.9659973045,278546.6852777778,8008333.333333332
3,3,2008,28956566.459226884,1171735.140638469,1812787.7269774878,8008333.333333332
3,3,2009,0.0,1168531.3679517298,465191.9470486111,32048030.878585257
3,3,2010,9671978.020833332,1168530.540611061,1935312.5409580297,25120658.783722006
3,3,2011,24167384.041666668,1168528.1287541755,465193.0142881944,7999999.999999999
3,3,2012,19303635.811515354,1171730.894612047,1964759.8317250158,24080412.051483832
