run,random_seed,time_based_availability,production_based_availability
1,1,0.9187423516478957,0.918634031761563
2,2,0.9638004791238878,
3,3,0.985877685133332,0.9857077835222168
4,4,0.9754758398495564,324.01690355269307
5,5,0.977496992512393,113176.9384760211
6,6,0.9188302428805509,0.9187972860523931
7,7,0.9188093287425936,0.9187667480120971
8,8,0.9187305118259944,0.9185226567262929
9,9,0.918803365620614,0.9187476025147372
10,10,0.9189435421981623,0.9189246157447346
11,11,0.9187251536584186,0.918575214974198
12,12,0.9187688832196019,0.9187069697125219
13,13,0.9188755280387724,0.9187618839227722
14,14,0.9188208228762643,0.9187693558912794
15,15,0.9186489294035495,0.9184289667632829
16,16,0.9189666168875614,0.9189173989887751
17,17,0.9187667226681601,0.9186681393906905
18,18,0.9188261810438402,0.9187565458889839
19,19,0.9189813086373662,0.918949232167444
20,20,0.9185767669853913,0.9182947537437056
21,21,0.9187416602714344,0.9185224482763871
22,22,0.9186446947227235,0.9186000725912938
23,23,0.9188989484164022,0.918770988862782
24,24,0.9187000048396352,0.9186406792100749
25,25,0.9189272948513195,0.9188623129611269
26,26,0.9187044123645767,0.9186453744283977
27,27,0.9187151286997283,0.9185407118901601
28,28,0.9188300700364356,0.9186711958662201
29,29,0.9188176252601304,0.9186822202160001
30,30,0.9186904119912334,0.9185282526608354
