run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,array cable,repair,15000000,0,33763996.0,48763996.0
1,1,2002,blade,repair,15600,0,2668.0833333333335,18268.083333333332
1,1,2002,converter,delay,0,0,2718.8139733796293,2718.8139733796293
1,1,2002,converter,repair,93600,0,12006.375,105606.375
1,1,2002,drivetrain,delay,0,0,78571.79005439814,78571.79005439814
1,1,2002,drivetrain,repair,358800,0,1227748.0666666667,1586548.0666666667
1,1,2002,generator,delay,0,0,6797.016405092591,6797.016405092591
1,1,2002,generator,repair,62400,0,9338.291666666666,71738.29166666666
1,1,2002,pitch_system,delay,0,0,42141.89451273147,42141.89451273147
1,1,2002,pitch_system,repair,327600,0,74706.33333333333,402306.3333333334
1,1,2002,yaw_system,delay,0,0,8156.516033564814,8156.516033564814
1,1,2002,yaw_system,repair,54600,0,13073.608333333334,67673.60833333334
1,1,2003,array cable,repair,35000000,0,67527992.0,102527992.0
1,1,2003,blade,delay,0,0,73015.95431481481,73015.95431481481
1,1,2003,blade,maintenance,92040,0,62966.76666666666,155006.76666666666
1,1,2003,blade,repair,15600,0,2668.083333333333,18268.083333333332
1,1,2003,converter,delay,0,0,45695.15154861111,45695.15154861111
1,1,2003,converter,maintenance,90480,0,30949.766666666663,121429.76666666668
1,1,2003,converter,repair,49920,0,6403.4,56323.4
1,1,2003,drivetrain,delay,0,0,2759881.4238414355,2759881.4238414355
1,1,2003,drivetrain,maintenance,361920,0,77374.41666666666,439294.4166666666
1,1,2003,drivetrain,repair,421200,0,1236285.9333333333,1657485.9333333333
1,1,2003,generator,delay,0,0,603822.6497881945,603822.6497881945
1,1,2003,generator,maintenance,262080,0,59765.06666666666,321845.06666666665
1,1,2003,generator,repair,365040,0,2405602.975,2770642.975
1,1,2003,pitch_system,delay,0,0,120936.6949872685,120936.6949872685
1,1,2003,pitch_system,maintenance,184080,0,47225.075,231305.075
1,1,2003,pitch_system,repair,266760,0,60832.29999999999,327592.3
1,1,2003,yaw_system,delay,0,0,59222.63050231481,59222.63050231481
1,1,2003,yaw_system,maintenance,135720,0,38687.208333333336,174407.20833333334
1,1,2003,yaw_system,repair,35100,0,8404.4625,43504.462499999994
1,1,2004,array cable,delay,0,0,1014683.0143055556,1014683.0143055556
1,1,2004,array cable,maintenance,255000,0,783780.75,1038780.75
1,1,2004,array cable,repair,35000000,0,38587424.0,73587424.0
1,1,2004,blade,delay,0,0,78459.5483923611,78459.5483923611
1,1,2004,blade,maintenance,88920,0,60832.299999999996,149752.3
1,1,2004,blade,repair,23400,0,4002.125,27402.125
1,1,2004,converter,delay,0,0,44687.838920138885,44687.838920138885
1,1,2004,converter,maintenance,88920,0,30416.149999999994,119336.15000000001
1,1,2004,converter,repair,62400,0,8004.25,70404.25
1,1,2004,drivetrain,delay,0,0,2226378.5868437504,2226378.5868437504
1,1,2004,drivetrain,maintenance,330720,0,70704.20833333333,401424.2083333333
1,1,2004,drivetrain,repair,967200,0,6349451.562962963,7316651.562962963
1,1,2004,export cable,delay,0,0,34431.99493055556,34431.99493055556
1,1,2004,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2004,generator,delay,0,0,75910.12065393517,75910.12065393517
1,1,2004,generator,maintenance,257400,0,58697.83333333333,316097.8333333334
1,1,2004,generator,repair,37440,0,5602.975,43042.975
1,1,2004,pitch_system,delay,0,0,142953.3851435185,142953.3851435185
1,1,2004,pitch_system,maintenance,174720,0,45201.70435879629,219921.7043587963
1,1,2004,pitch_system,repair,351000,0,80042.49999999999,431042.5
1,1,2004,yaw_system,delay,0,0,51805.28472222222,51805.28472222222
1,1,2004,yaw_system,maintenance,133380,0,38020.1875,171400.1875
1,1,2004,yaw_system,repair,39000,0,9338.291666666666,48338.291666666664
1,1,2005,array cable,delay,0,0,21344.791666666664,21344.791666666664
1,1,2005,array cable,maintenance,5000,0,15368.25,20368.25
1,1,2005,array cable,repair,15000000,0,24117140.0,39117140.0
1,1,2005,blade,delay,0,0,74740.01788541666,74740.01788541666
1,1,2005,blade,maintenance,90480,0,61899.533333333326,152379.53333333333
1,1,2005,blade,repair,23400,0,4002.1249999999995,27402.125
1,1,2005,converter,delay,0,0,53945.754576388885,53945.754576388885
1,1,2005,converter,maintenance,90480,0,30949.766666666663,121429.76666666668
1,1,2005,converter,repair,74880,0,9605.099999999999,84485.1
1,1,2005,drivetrain,delay,0,0,987500.8328194446,987500.8328194446
1,1,2005,drivetrain,maintenance,355680,0,76040.375,431720.375
1,1,2005,drivetrain,repair,639600,0,3299641.17037037,3939241.17037037
1,1,2005,generator,delay,0,0,829226.4866030092,829226.4866030092
1,1,2005,generator,maintenance,257400,0,58697.83333333333,316097.8333333334
1,1,2005,generator,repair,243360,0,1603735.3166666667,1847095.3166666667
1,1,2005,pitch_system,delay,0,0,134883.2112511574,134883.2112511574
1,1,2005,pitch_system,maintenance,180960,0,46046.7456412037,227006.7456412037
1,1,2005,pitch_system,repair,332280,0,75773.56666666665,408053.5666666667
1,1,2005,yaw_system,delay,0,0,49225.28519560185,49225.28519560185
1,1,2005,yaw_system,maintenance,135720,0,38687.208333333336,174407.20833333334
1,1,2005,yaw_system,repair,27300,0,6536.804166666667,33836.80416666667
1,1,2006,array cable,delay,0,0,1016856.26984375,1016856.26984375
1,1,2006,array cable,maintenance,255000,0,783780.75,1038780.75
1,1,2006,array cable,repair,15000000,0,24117140.0,39117140.0
1,1,2006,blade,delay,0,0,79465.3787523148,79465.3787523148
1,1,2006,blade,maintenance,92040,0,62966.76666666666,155006.76666666666
