run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,41516640.0,2000000.0,40929462.65026818,0,6279200,90725302.65026818
1,1,2003,41516640.0,2000000.0,73498791.44634429,0,27552160,144567591.4463443
1,1,2004,41630384.21917808,2000000.0,80286115.5317478,0,37538380,161454879.7509259
1,1,2005,41516640.0,2000000.0,67178302.68617521,0,32633600,143328542.68617523
1,1,2006,41516640.0,2000000.0,36917347.84610467,0,7471620,87905607.84610467
1,1,2007,41516640.0,2000000.0,49642324.90106566,0,17312560,110471524.90106566
1,1,2008,41630384.21917808,2000000.0,70236277.94781914,0,22860520,136727182.16699722
1,1,2009,41516640.0,2000000.0,50819990.71632847,0,22319120,116655750.71632847
1,1,2010,41516640.0,2000000.0,36207966.18159811,0,7917780,87642386.18159811
1,1,2011,41516640.0,2000000.0,15402263.187481659,0,1964220,60883123.18748166
1,1,2012,41630384.21917808,2000000.0,65309675.6485766,0,12861300,121801359.86775468
1,1,2013,41516640.0,2000000.0,51322196.77361384,0,12739540,107578376.77361384
1,1,2014,41516640.0,2000000.0,53103870.548984215,0,17530580,114151090.54898421
1,1,2015,41516640.0,2000000.0,64703717.3405832,0,32151880,140372237.3405832
1,1,2016,41630384.21917808,2000000.0,90025490.97500977,0,17892180,151548055.19418785
1,1,2017,41516640.0,2000000.0,35281174.15152377,0,17771840,96569654.15152377
1,1,2018,41516640.0,2000000.0,66098221.07319366,0,27384400,136999261.07319367
1,1,2019,41516640.0,2000000.0,51362694.08831207,0,17269060,112148394.08831206
1,1,2020,41630384.21917808,2000000.0,49945486.3772819,0,22161460,115737330.59645998
1,1,2021,41516640.0,2000000.0,38718584.68199854,0,26924620,109159844.68199855
2,2,2002,41516640.0,2000000.0,50340270.021234214,0,26014780,119871690.02123421
2,2,2003,41516640.0,2000000.0,42043035.70522648,0,12176200,97735875.70522648
2,2,2004,41630384.21917808,2000000.0,66722327.6232806,0,12764760,123117471.84245868
2,2,2005,41516640.0,2000000.0,65395523.40366905,0,17873520,126785683.40366906
2,2,2006,41516640.0,2000000.0,59661811.947221056,0,22853360,126031811.94722106
2,2,2007,41516640.0,2000000.0,57472007.18239949,0,26940640,127929287.18239948
2,2,2008,41630384.21917808,2000000.0,43665527.57826418,0,12847120,100143031.79744226
2,2,2009,41516640.0,2000000.0,25188369.58320283,0,2193360,70898369.58320284
2,2,2010,41516640.0,2000000.0,45028432.04754983,0,17192700,105737772.04754983
2,2,2011,41516640.0,2000000.0,75070280.42111397,0,22457000,141043920.42111397
2,2,2012,41630384.21917808,2000000.0,48021622.21216605,0,12910300,104562306.43134412
2,2,2013,41516640.0,2000000.0,45217604.34681861,0,12330960,101065204.34681861
2,2,2014,41516640.0,2000000.0,28915125.173315432,0,7340900,79772665.17331544
2,2,2015,41516640.0,2000000.0,25474441.291693643,0,2807080,71798161.29169364
2,2,2016,41630384.21917808,2000000.0,60612674.977694765,0,7856480,112099539.19687285
2,2,2017,41516640.0,2000000.0,56443065.66359579,0,27328160,127287865.6635958
2,2,2018,41516640.0,2000000.0,46595507.98519539,0,7905300,98017447.9851954
2,2,2019,41516640.0,2000000.0,29804590.351271253,0,12376060,85697290.35127126
2,2,2020,41630384.21917808,2000000.0,59630435.844522364,0,22411240,125672060.06370044
2,2,2021,41516640.0,2000000.0,36892157.455164105,0,12382300,92791097.4551641
