run,random_seed,year,windfarm
1,1,2002,3277764.536
1,1,2003,3239042.792
1,1,2004,3256905.179
1,1,2005,3239374.445
1,1,2006,3238246.36
1,1,2007,3237544.475
1,1,2008,3257126.254
1,1,2009,3236401.498
1,1,2010,3242445.538
1,1,2011,3240897.453
1,1,2012,3256064.216
1,1,2013,3238382.846
1,1,2014,3242753.383
1,1,2015,3237855.128
1,1,2016,3257674.402
1,1,2017,3231320.521
1,1,2018,3240728.231
1,1,2019,3240931.393
1,1,2020,3254561.514
1,1,2021,3238765.643
2,2,2002,3276319.122
2,2,2003,3240308.138
2,2,2004,3257263.853
2,2,2005,3237853.922
2,2,2006,3238460.263
2,2,2007,3239123.909
2,2,2008,3252486.871
2,2,2009,3238912.905
2,2,2010,3242659.311
2,2,2011,3236722.415
2,2,2012,3251130.437
2,2,2013,3236061.28
2,2,2014,3242741.726
2,2,2015,3239082.861
2,2,2016,3254190.842
2,2,2017,3241544.396
2,2,2018,3241161.237
2,2,2019,3238489.398
2,2,2020,3258042.637
2,2,2021,3234783.087
3,3,2002,3276679.843
3,3,2003,3240441.109
3,3,2004,3257448.368
3,3,2005,3242351.759
3,3,2006,3242542.369
3,3,2007,3243258.792
3,3,2008,3258517.609
3,3,2009,3238936.15
3,3,2010,3238322.517
3,3,2011,3240314.889
3,3,2012,3254728.468
3,3,2013,3240527.972
3,3,2014,3241538.383
3,3,2015,3233728.772
3,3,2016,3254919.331
3,3,2017,3241538.253
3,3,2018,3237268.155
3,3,2019,3238404.006
3,3,2020,3258479.069
3,3,2021,3241235.298
4,4,2002,3275944.629
4,4,2003,3240325.238
4,4,2004,3251487.356
4,4,2005,3239401.91
4,4,2006,3233318.817
4,4,2007,3235887.047
4,4,2008,3256093.189
4,4,2009,3238137.426
4,4,2010,3238867.71
4,4,2011,3238380.2
4,4,2012,3259169.243
4,4,2013,3241193.407
4,4,2014,3242477.997
4,4,2015,3239754.924
4,4,2016,3259067.358
4,4,2017,3239692.228
4,4,2018,3240403.341
4,4,2019,3236348.85
4,4,2020,3258419.097
4,4,2021,3239293.778
5,5,2002,3268912.602
5,5,2003,3237700.711
5,5,2004,3257161.777
5,5,2005,3238622.548
5,5,2006,3239069.352
5,5,2007,3241696.987
5,5,2008,3250099.292
5,5,2009,3240977.71
5,5,2010,3243147.273
5,5,2011,3240104.729
5,5,2012,3256588.093
5,5,2013,3241903.506
5,5,2014,3240170.481
5,5,2015,3241633.0
5,5,2016,3254469.795
5,5,2017,3237505.676
5,5,2018,3240302.004
5,5,2019,3241733.171
5,5,2020,3254097.31
5,5,2021,3239063.367
