run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,33799121.81555316,1165330.062553718,0.0,8033138.888888888
1,1,2003,38626215.33581762,1168531.7322407032,0.0,32058115.74074074
1,1,2004,24169896.243750002,1171732.6674632996,1891194.2706930498,29580174.4812369
1,1,2005,14495406.020833332,1168527.6796170513,136069.84515625,21131956.17582956
1,1,2006,19343956.041666668,1168526.6421157978,2018248.192952636,8016666.666666666
1,1,2007,24167384.041666668,1168527.1794647747,260475.82890625,24061380.035788056
1,1,2008,19343956.041666668,1171732.5489297425,1894490.5635044149,26104023.148148146
1,1,2009,38622456.65784885,1168530.860670238,384390.1709548611,25602833.496687703
1,1,2010,24169896.243750002,1168527.2093521685,1769942.6173658632,8008333.333333332
1,1,2011,53080868.79526845,1168532.9596524846,520149.8051388889,32054152.777777776
1,1,2012,19307707.230440065,1171730.7976621827,1874212.9065898708,29099999.999999996
1,1,2013,38625104.7541352,1168533.3037629346,520155.08938110765,10957523.148148147
1,1,2014,28953736.007707603,1168531.894322392,1874247.2779324383,16019578.225445932
1,1,2015,24130774.353660543,1168531.6499015645,633866.2652665243,19794814.814814813
1,1,2016,38627258.36223487,1171731.5487729607,2009667.4701485247,28283894.66189952
1,1,2017,24152894.533840172,1168528.7277072845,761370.0897804132,38902231.610063314
1,1,2018,24129656.2132098,1168527.3025427924,1984230.6281541158,13376514.018803421
1,1,2019,0.0,1168535.1976371417,889708.139901941,29558333.33333333
1,1,2020,9671978.020833332,1171731.9359383495,1984316.4525091173,24040314.814814813
1,1,2021,9671978.020833332,1168535.3946698594,889712.7646068021,39934452.07401109
2,2,2002,14495406.020833332,1165336.3016839966,0.0,40073715.32373569
2,2,2003,19343956.041666668,1168524.1811731253,0.0,8024282.944815544
2,2,2004,0.0,1171730.6846183648,1918069.2153047707,35845415.247884914
2,2,2005,0.0,1168526.009328434,0.0,36275667.58220523
2,2,2006,9671978.020833332,1168525.6347941712,1921027.6859309555,32049999.999999996
2,2,2007,38602194.11791543,1168532.098931826,0.0,11745795.308079036
2,2,2008,43471938.26208157,1171731.1440543993,1770321.957320356,48908146.68629187
2,2,2009,33802403.56455822,1168527.3035204,249276.21671875,24050882.27166321
2,2,2010,34081613.70939583,1168529.0890158082,1885301.7700029504,16033086.243353605
2,2,2011,19343956.041666668,1168527.773142638,373011.2625173611,16010768.518518517
