run,random_seed,time_based_availability,production_based_availability
1,1,0.9851736869361783,0.9850315112598205
2,2,0.985108228400494,0.9849693040463645
3,3,0.9854076355616397,0.9853734250441457
4,4,0.9854157839270775,0.9852952646446917
5,5,0.9850856845894491,0.9849074909313026
6,6,0.9853230736358731,0.9851889405644334
7,7,0.9853601034299186,0.9852512365558532
8,8,0.9852544462914072,0.9850892399297068
9,9,0.9851724194126659,0.9850146830096911
10,10,0.9853286869542859,0.9852545467221223
11,11,0.9850116250013581,0.9848336070273137
12,12,0.9853295923282234,0.9853439781017553
13,13,0.9853410000398365,0.9852722207511846
14,14,0.9851193644999258,0.9849445987696168
15,15,0.985174592310116,0.9849511221711127
16,16,0.9852085438327738,0.9850263571801817
17,17,0.9850730093543235,0.9848790912394694
18,18,0.9853886227089512,0.9852960230127424
19,19,0.9853577494576811,0.9852187216347972
20,20,0.9850323580645278,0.984820452010737
21,21,0.9852002143925485,0.9849129258556655
22,22,0.9850067359820953,0.9848027503600336
23,23,0.9852390549344691,0.985020181132764
24,24,0.9852105356554364,0.9850660435818703
25,25,0.9851979509577046,0.9849856956044424
26,26,0.9851608306262652,0.9850180531628515
27,27,0.9852464790007569,0.9851404845469944
28,28,0.9852386022475003,0.985102766100762
29,29,0.9851721478004846,0.9849345267366643
30,30,0.9852086343701676,0.9849717852175125
