run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,array cable,repair,10000000,0,28940568.0,38940568.0
1,1,2002,blade,repair,32500,0,6670.208333333334,39170.208333333336
1,1,2002,converter,delay,0,0,5437.5908900462955,5437.5908900462955
1,1,2002,converter,repair,67600,0,10405.525,78005.52500000001
1,1,2002,drivetrain,delay,0,0,6015111.956408565,6015111.956408565
1,1,2002,drivetrain,repair,689000,0,7219414.733333333,7908414.733333333
1,1,2002,generator,delay,0,0,2718.8139733796293,2718.8139733796293
1,1,2002,generator,repair,20800,0,3735.3166666666666,24535.316666666666
1,1,2002,pitch_system,delay,0,0,20574.368774305553,20574.368774305553
1,1,2002,pitch_system,repair,210546,0,57630.59999999999,268176.60000000003
1,1,2002,yaw_system,delay,0,0,4078.1653749999996,4078.1653749999996
1,1,2002,yaw_system,repair,29250,0,8404.4625,37654.462499999994
1,1,2003,array cable,repair,30000000,0,57881136.0,87881136.0
1,1,2003,blade,delay,0,0,68376.71324884259,68376.71324884259
1,1,2003,blade,maintenance,70200,0,57630.59999999999,127830.6
1,1,2003,blade,repair,19500,0,4002.1249999999995,23502.125
1,1,2003,converter,delay,0,0,53434.520164351845,53434.520164351845
1,1,2003,converter,maintenance,68900,0,28281.683333333327,97181.68333333333
1,1,2003,converter,repair,57200,0,8804.675,66004.675
1,1,2003,drivetrain,delay,0,0,179506.13636111107,179506.13636111107
1,1,2003,drivetrain,maintenance,270400,0,69370.16666666666,339770.1666666666
1,1,2003,drivetrain,repair,559000,0,3627748.0666666664,4186748.0666666664
1,1,2003,generator,delay,0,0,1069282.133096065,1069282.133096065
1,1,2003,generator,maintenance,202748,0,55496.13333333333,258244.13333333333
1,1,2003,generator,repair,317200,0,1624279.5583333333,1941479.5583333333
1,1,2003,pitch_system,delay,0,0,137729.12975,137729.12975
1,1,2003,pitch_system,maintenance,137800,0,42422.524999999994,180222.52500000002
1,1,2003,pitch_system,repair,284627,0,78093.61335185185,362720.6133518519
1,1,2003,yaw_system,delay,0,0,42652.38779050925,42652.38779050925
1,1,2003,yaw_system,maintenance,103297,0,35352.104166666664,138649.10416666666
1,1,2003,yaw_system,repair,22750,0,6536.804166666667,29286.804166666665
1,1,2004,array cable,delay,0,0,984413.9652430556,984413.9652430556
1,1,2004,array cable,maintenance,245000,0,753044.25,998044.25
1,1,2004,array cable,repair,25000000,0,24117140.0,49117140.0
1,1,2004,blade,delay,0,0,80616.54554050925,80616.54554050925
1,1,2004,blade,maintenance,74100,0,60832.299999999996,134932.3
1,1,2004,blade,repair,52000,0,10672.333333333332,62672.33333333333
1,1,2004,converter,delay,0,0,56104.93807060184,56104.93807060184
1,1,2004,converter,maintenance,74100,0,30416.149999999994,104516.15
1,1,2004,converter,repair,62400,0,9605.099999999999,72005.1
1,1,2004,drivetrain,delay,0,0,6248183.094443287,6248183.094443287
1,1,2004,drivetrain,maintenance,270400,0,69370.16666666666,339770.1666666666
1,1,2004,drivetrain,repair,429000,0,4802236.733333333,5231236.733333333
1,1,2004,export cable,delay,0,0,16648.9375,16648.9375
1,1,2004,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2004,generator,delay,0,0,78999.2423599537,78999.2423599537
1,1,2004,generator,maintenance,218344,0,60033.57960879629,278377.5796087963
1,1,2004,generator,repair,101400,0,801867.6583333333,903267.6583333333
1,1,2004,pitch_system,delay,0,0,137729.94499768518,137729.94499768518
1,1,2004,pitch_system,maintenance,150800,0,46424.649999999994,197224.65000000002
1,1,2004,pitch_system,repair,308021,0,84125.8533148148,392146.85331481486
1,1,2004,yaw_system,delay,0,0,63072.15595833333,63072.15595833333
1,1,2004,yaw_system,maintenance,113042,0,38687.208333333336,151729.20833333334
1,1,2004,yaw_system,repair,65000,0,18676.583333333332,83676.58333333333
1,1,2005,array cable,delay,0,0,21328.783072916667,21328.783072916667
1,1,2005,array cable,maintenance,5000,0,15368.25,20368.25
1,1,2005,array cable,repair,15000000,0,24117140.0,39117140.0
1,1,2005,blade,delay,0,0,72624.89482291666,72624.89482291666
1,1,2005,blade,maintenance,76700,0,62966.766666666656,139666.76666666666
1,1,2005,blade,repair,13000,0,2668.083333333333,15668.083333333332
1,1,2005,converter,delay,0,0,54649.498612268515,54649.498612268515
1,1,2005,converter,maintenance,76700,0,31483.383333333328,108183.38333333333
1,1,2005,converter,repair,57200,0,8804.675,66004.675
1,1,2005,drivetrain,delay,0,0,4073477.710851852,4073477.710851852
1,1,2005,drivetrain,maintenance,301600,0,78283.89957291666,379883.8995729167
1,1,2005,drivetrain,repair,442000,0,2429882.533333333,2871882.533333333
1,1,2005,generator,delay,0,0,102079.24261342591,102079.24261342591
1,1,2005,generator,maintenance,214445,0,58429.3203912037,272874.32039120374
1,1,2005,generator,repair,202800,0,1603735.3166666667,1806535.3166666667
1,1,2005,pitch_system,delay,0,0,120648.09730671295,120648.09730671295
1,1,2005,pitch_system,maintenance,153400,0,47225.075,200625.075
1,1,2005,pitch_system,repair,249536,0,68302.93333333332,317838.93333333335
1,1,2005,yaw_system,delay,0,0,62115.12928935185,62115.12928935185
1,1,2005,yaw_system,maintenance,114991,0,39354.229166666664,154345.22916666666
1,1,2005,yaw_system,repair,22750,0,6536.804166666666,29286.804166666665
1,1,2006,array cable,delay,0,0,966405.7202604166,966405.7202604166
1,1,2006,array cable,maintenance,245000,0,753044.25,998044.25
1,1,2006,array cable,repair,10000000,0,19293712.0,29293712.0
1,1,2006,blade,delay,0,0,75285.04801967592,75285.04801967592
1,1,2006,blade,maintenance,79300,0,65101.23333333333,144401.23333333334
1,1,2006,blade,repair,19500,0,4002.125,23502.125
1,1,2006,converter,delay,0,0,51855.8300787037,51855.8300787037
1,1,2006,converter,maintenance,79300,0,32550.61666666666,111850.61666666667
1,1,2006,converter,repair,46800,0,7203.825,54003.825000000004
1,1,2006,drivetrain,delay,0,0,3640946.784701389,3640946.784701389
1,1,2006,drivetrain,maintenance,296400,0,75130.89209375,371530.89209375
1,1,2006,drivetrain,repair,585000,0,4810672.333333333,5395672.333333333
1,1,2006,export cable,delay,0,0,16648.9375,16648.9375
1,1,2006,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2006,generator,delay,0,0,77772.92455787036,77772.92455787036
