run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,33024600.0,2000000.0,55680147.43125999,0,11049696,101754443.43125999
1,1,2003,33024600.0,2000000.0,83150862.04212925,0,32113622,150289084.04212925
1,1,2004,33115078.356164385,2000000.0,52193623.44385209,0,27173607,114482308.80001648
1,1,2005,33024600.0,2000000.0,49507728.579233214,0,16930122,101462450.57923321
1,1,2006,33024600.0,2000000.0,46602781.30061571,0,12203512,93830893.30061571
1,1,2007,33024600.0,2000000.0,49503373.60886236,0,16915170,101443143.60886237
1,1,2008,33115078.356164385,2000000.0,51361187.566521205,0,12216708,98692973.9226856
1,1,2009,33024600.0,2000000.0,35991245.799039505,0,21758308,92774153.79903951
1,1,2010,33024600.0,2000000.0,68371797.7814936,0,22094324,125490721.7814936
1,1,2011,33024600.0,2000000.0,30368933.219980262,0,2121466,67514999.21998027
1,1,2012,33115078.356164385,2000000.0,39316556.70688356,0,7403717,81835352.06304795
1,1,2013,33024600.0,2000000.0,43892099.96464288,0,7297619,86214318.96464288
1,1,2014,33024600.0,2000000.0,64325205.919156015,0,12339368,111689173.91915601
1,1,2015,33024600.0,2000000.0,32052391.458054934,0,21726258,88803249.45805493
1,1,2016,33115078.356164385,2000000.0,110502183.37938082,0,37720863,183338124.73554522
1,1,2017,33024600.0,2000000.0,59566904.00893381,0,12606625,107198129.00893381
1,1,2018,33024600.0,2000000.0,68077034.13454053,0,32007358,135108992.13454053
1,1,2019,33024600.0,2000000.0,64435395.484330855,0,21890312,121350307.48433086
1,1,2020,33115078.356164385,2000000.0,27228657.773091573,0,7180717,69524453.12925595
1,1,2021,33024600.0,2000000.0,47514378.01404231,0,16663719,99202697.01404232
2,2,2002,33024600.0,2000000.0,35944255.68659651,0,15776688,86745543.68659651
2,2,2003,33024600.0,2000000.0,32269517.015742995,0,6813316,74107433.01574299
2,2,2004,33115078.356164385,2000000.0,54848219.34681461,0,12299965,102263262.702979
2,2,2005,33024600.0,2000000.0,65372939.16733639,0,12403524,112801063.16733639
2,2,2006,33024600.0,2000000.0,37148965.33976234,0,12237127,84410692.33976233
2,2,2007,33024600.0,2000000.0,28519602.985732656,0,11709983,75254185.98573266
2,2,2008,33115078.356164385,2000000.0,61007624.39271433,0,22112516,118235218.74887872
2,2,2009,33024600.0,2000000.0,33299188.31275263,0,16662519,84986307.31275263
2,2,2010,33024600.0,2000000.0,20862254.23686963,0,1861413,57748267.23686963
2,2,2011,33024600.0,2000000.0,51038263.58978942,0,7233023,93295886.58978942
2,2,2012,33115078.356164385,2000000.0,59382617.923672944,0,17343265,111840961.27983733
2,2,2013,33024600.0,2000000.0,62168890.39380355,0,26952414,124145904.39380355
2,2,2014,33024600.0,2000000.0,36790551.02638696,0,7193316,79008467.02638696
2,2,2015,33024600.0,2000000.0,35126021.39554038,0,7111734,77262355.39554039
2,2,2016,33115078.356164385,2000000.0,53385332.04331788,0,12049871,100550281.39948227
2,2,2017,33024600.0,2000000.0,60276828.9247735,0,27334662,122636090.9247735
2,2,2018,33024600.0,2000000.0,28634461.01544398,0,7081068,70740129.01544398
2,2,2019,33024600.0,2000000.0,19312169.984986782,0,6767920,61104689.98498678
2,2,2020,33115078.356164385,2000000.0,67193688.55739158,0,32038770,134347536.91355598
2,2,2021,33024600.0,2000000.0,59674087.18725816,0,17055876,111754563.18725815
