run,random_seed,year,windfarm
1,1,2002,1778988.033
1,1,2003,2047733.033
1,1,2004,2363865.303
1,1,2005,2582530.83
1,1,2006,2855643.866
1,1,2007,2987154.816
1,1,2008,2997548.58
1,1,2009,2987104.149
1,1,2010,2986354.913
1,1,2011,2984804.186
1,1,2012,2993965.852
1,1,2013,2983283.717
1,1,2014,2984950.536
1,1,2015,2987555.874
1,1,2016,2995232.437
1,1,2017,2984739.38
1,1,2018,2987129.371
1,1,2019,2987371.212
1,1,2020,3000390.09
1,1,2021,2988377.304
2,2,2002,1780385.836
2,2,2003,2046420.628
2,2,2004,2362012.557
2,2,2005,2579114.857
2,2,2006,2857606.51
2,2,2007,2985113.728
2,2,2008,2996617.505
2,2,2009,2985401.14
2,2,2010,2987223.625
2,2,2011,2982590.86
2,2,2012,2993387.194
2,2,2013,2986329.883
2,2,2014,2985108.152
2,2,2015,2986153.162
2,2,2016,2998402.498
2,2,2017,2981665.756
2,2,2018,2985728.212
2,2,2019,2987855.09
2,2,2020,2998869.527
2,2,2021,2987087.3
