run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,0.0,1165328.2032418146,0.0,8008333.333333332
1,1,2003,0.0,1168533.2645357498,0.0,24024999.999999996
1,1,2004,43437132.62929298,1171730.5964871198,1334216.0229505976,18504744.46940786
1,1,2005,9674490.222916666,1168527.5763263102,0.0,21573821.773984298
1,1,2006,48262154.66292866,1168529.0673542456,1432651.298131499,0.0
1,1,2007,33816752.24375,1168525.863404585,0.0,0.0
1,1,2008,38893793.414217316,1171729.4309951994,1435224.950243122,24196861.141648427
1,1,2009,24167384.041666668,1168526.6058457678,0.0,16037995.37037037
1,1,2010,9671978.020833332,1168533.0404165024,1471953.7338689466,8008333.333333332
1,1,2011,24144774.222916666,1168531.7171641078,219773.44567708333,32054564.81481481
1,1,2012,61215677.20295442,1171731.6368028054,1502960.270961049,16016666.666666664
1,1,2013,43452062.43180245,1168529.2847061828,189036.69727526745,8008333.333333332
1,1,2014,19366565.86041667,1168529.3117411365,1625890.668238923,24020953.7037037
1,1,2015,9649368.202083332,1168533.4713296364,189139.42831552858,26025083.333333332
1,1,2016,48315285.53158024,1171734.0409393064,1656166.585769289,22045472.22222222
1,1,2017,9674490.222916666,1168529.2284111807,158403.63980858412,36674015.54392401
1,1,2018,14472796.202083332,1168525.1190169905,1658737.5133574526,4933333.333333333
1,1,2019,28999050.002920005,1168530.5261120768,283843.67137012223,16028462.96296296
1,1,2020,14497918.222916666,1171730.4959630452,1683570.6902136789,11945302.898104258
1,1,2021,9671978.020833332,1168528.1783151764,253123.39698672236,16029508.7229186
2,2,2002,24167384.041666668,1165334.403001156,0.0,40059182.79238155
2,2,2003,14495406.020833332,1168531.2601518284,0.0,7999999.999999999
2,2,2004,14472796.202083332,1171733.1957830356,1438226.566756151,33922751.09425817
2,2,2005,19343956.041666668,1168529.3479501032,131195.0504861111,30230857.90102277
2,2,2006,9694587.839583334,1168530.1641278283,1440776.589583826,32092291.666666664
2,2,2007,28977769.880232003,1168526.9036722484,254612.41463541667,19446977.833998974
2,2,2008,9671978.020833332,1171731.2429019588,1440767.440650775,16036166.19145566
2,2,2009,9671978.020833332,1168528.1934587408,254624.8657638889,16033333.333333332
2,2,2010,24128684.895420842,1168531.458562054,1443346.8767269638,16034017.39418627
2,2,2011,38642692.44583333,1168524.0168537744,254602.45373263888,16016666.666666664
2,2,2012,44086517.39798319,1171730.624687278,1290852.0399883687,32072496.594398595
2,2,2013,14495406.020833332,1168529.8850164101,379879.8531301162,24643629.909299772
2,2,2014,26291333.66702778,1168527.440464471,1290948.8440778167,16021410.657424068
2,2,2015,28978258.40098781,1168529.4698797541,513612.79934539396,8008333.333333332
2,2,2016,24167384.041666668,1171730.852905198,1413052.9673677543,32090122.91548715
2,2,2017,24167384.041666668,1168528.0929389917,513631.2981648384,8008333.333333332
2,2,2018,33803174.882711425,1168529.5078894214,1291041.0088769326,8001847.262045056
2,2,2019,31426908.358553242,1168526.9983087638,638013.802644005,16016666.666666664
2,2,2020,14495406.020833332,1171726.000053631,1325062.7402339233,16026324.074074073
2,2,2021,6947743.290331018,1168527.0737259209,513629.5194321995,8029986.11111111
3,3,2002,19343956.041666668,1165335.3010005427,0.0,16046490.740740739
3,3,2003,43447857.124326706,1168530.687808044,0.0,14459759.259259257
3,3,2004,24167384.041666668,1171727.4931294653,1307326.182932268,17600000.0
3,3,2005,14495406.020833332,1168530.4034498315,255763.25465277777,29316818.47655877
3,3,2006,33801489.52556339,1168526.6195095843,1315909.9086334696,10781689.814814813
3,3,2007,24167384.041666668,1168530.4301638273,379091.3264236111,16039791.666666666
3,3,2008,33839362.0625,1171730.9448207873,1263966.7029158608,8033009.259259258
3,3,2009,9671978.020833332,1168526.796989656,372224.2500552646,16016666.666666664
3,3,2010,9671978.020833332,1168530.7583864757,1417070.651357775,19510287.037037037
3,3,2011,24144774.222916666,1168527.1341368235,372219.98109693127,13447199.074074073
3,3,2012,9694587.839583334,1171733.1358679873,1419311.9005452008,16033962.96296296
3,3,2013,24131132.497181173,1168529.2751833661,372227.4517740146,8008333.333333332
3,3,2014,14495406.020833332,1168527.620729073,1416764.0078556936,19033333.333333332
3,3,2015,14495406.020833332,1168529.0795377041,372238.1241698479,29029948.130232893
3,3,2016,14495406.020833332,1171732.5067953516,1425975.6320165247,10541666.666666666
3,3,2017,29221962.387638073,1168527.3261995816,502828.7613052646,39117292.40060573
3,3,2018,14495406.020833332,1168526.6436166118,1544312.8229632336,22488295.594408058
3,3,2019,33816752.24375,1168530.3162497398,503715.9931455424,16033333.333333332
3,3,2020,14479488.792581093,1171729.081442677,1394478.3046055187,12699999.999999998
3,3,2021,24196896.833474535,1168526.45902028,503721.68508998683,22464947.25427486
4,4,2002,9671978.020833332,1165333.909490053,0.0,0.0
4,4,2003,14495406.020833332,1168527.0747346515,0.0,16011458.333333332
4,4,2004,0.0,1171726.2525486436,1304739.8037582578,24020772.44625991
4,4,2005,33800628.15313013,1168531.4262623023,135860.66619791667,0.0
4,4,2006,19343956.041666668,1168532.6945014903,1307302.227670623,24046392.097635984
4,4,2007,24144774.222916666,1168528.4850311999,274482.63694444444,32764781.438318986
4,4,2008,43436641.41376171,1171730.7270686189,1180545.6884441604,0.0
4,4,2009,22609.81875,1168529.6044375103,274491.1748611111,16016666.666666664
4,4,2010,19343956.041666668,1168530.3952616432,1307300.8433847816,8008333.333333332
4,4,2011,29015934.0625,1168531.292283034,274496.86680555553,24068576.46415052
4,4,2012,0.0,1171730.1880942106,1307304.0160528647,8029166.666666666
4,4,2013,9671978.020833332,1168528.2160434872,274493.66508680553,16017287.037037035
4,4,2014,19343956.041666668,1168533.4898150573,1307320.7489837958,16021217.592592591
4,4,2015,28953136.306114614,1168529.7837573509,274490.1076215278,8008333.333333332
4,4,2016,9671978.020833332,1171732.3921601304,1184333.0060762665,0.0
4,4,2017,43434638.681296356,1168529.0924373511,516989.7087326389,16026499.999999998
