run,random_seed,time_based_availability,production_based_availability
1,1,0.9848806700306151,0.986266940396455
2,2,0.9848437939395869,0.9861208696352962
3,3,0.9850594792777592,0.9864953156028677
4,4,0.9847671235057224,0.9861040124056198
5,5,0.9844142803325746,0.9858301011250873
6,6,0.9847372777485952,0.9860174187529035
7,7,0.9849175461216434,0.9863740735070017
8,8,0.9847907348158053,0.9861618176813709
9,9,0.984771102940006,0.9861039801542831
10,10,0.9850692952156588,0.9863350179008964
11,11,0.984615374411707,0.9858824516710807
12,12,0.9849249743989728,0.9863325964746041
13,13,0.9848675378974792,0.9861676275317325
14,14,0.9846838206813853,0.9860616001014054
15,15,0.9847955101369456,0.9861702706330033
16,16,0.9849438103879152,0.9863568318203768
17,17,0.9845483872679327,0.9857133685050091
18,18,0.9849045466363169,0.9860324501298422
19,19,0.9851260684781051,0.9863247290465826
20,20,0.9847592972849646,0.9858187051669532
21,21,0.985009736349214,0.9862070720689603
22,22,0.9846709538438683,0.9860827618761479
23,23,0.9851636078081807,0.9862705720698337
24,24,0.9851950453390212,0.9862922260714932
25,25,0.9850939677082172,0.9863138477201303
26,26,0.9848367636056858,0.98641545256516
27,27,0.9848683337843359,0.9863043636239477
28,28,0.9847707049965777,0.9860167812678641
29,29,0.9849553507473378,0.9861899195777033
30,30,0.9848294679761659,0.9859922022580841
