run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,blade,repair,36075,0,4002.125,40077.125
1,1,2002,converter,delay,0,0,2718.7769166666662,2718.7769166666662
1,1,2002,converter,repair,76960,0,6403.4,83363.4
1,1,2002,drivetrain,delay,0,0,1068496.494599537,1068496.494599537
1,1,2002,drivetrain,repair,745550,0,2423479.1333333333,3169029.1333333333
1,1,2002,pitch_system,delay,0,0,4078.2024317129626,4078.2024317129626
1,1,2002,pitch_system,repair,288560,0,42689.33333333333,331249.3333333334
1,1,2002,yaw_system,delay,0,0,1359.4255150462961,1359.4255150462961
1,1,2002,yaw_system,repair,42084,0,6536.804166666667,48620.80416666667
1,1,2003,array cable,repair,10000000,0,19293712.0,29293712.0
1,1,2003,blade,delay,0,0,52374.58700347222,52374.58700347222
1,1,2003,blade,maintenance,103415,0,45891.033333333326,149306.03333333333
1,1,2003,blade,repair,12025,0,1334.0416666666665,13359.041666666666
1,1,2003,converter,delay,0,0,35409.94969560185,35409.94969560185
1,1,2003,converter,maintenance,103415,0,22945.516666666663,126360.51666666668
1,1,2003,converter,repair,57720,0,4802.549999999999,62522.549999999996
1,1,2003,drivetrain,delay,0,0,80881.76043518518,80881.76043518518
1,1,2003,drivetrain,maintenance,404040,0,56029.74999999999,460069.75
1,1,2003,drivetrain,repair,673400,0,2417075.7333333334,3090475.7333333334
1,1,2003,generator,delay,0,0,362497.0911736111,362497.0911736111
1,1,2003,generator,maintenance,302988,0,44823.799999999996,347811.8
1,1,2003,generator,repair,509860,0,1616808.9249999998,2126668.925
1,1,2003,pitch_system,delay,0,0,76352.46663657407,76352.46663657407
1,1,2003,pitch_system,maintenance,206830,0,34418.275,241248.275
1,1,2003,pitch_system,repair,339058,0,50159.96666666666,389217.9666666667
1,1,2003,yaw_system,delay,0,0,37873.51703009259,37873.51703009259
1,1,2003,yaw_system,maintenance,155101,0,28681.895833333332,183782.8958333333
1,1,2003,yaw_system,repair,30060,0,4669.145833333333,34729.14583333333
1,1,2004,array cable,delay,0,0,695669.8057465277,695669.8057465277
1,1,2004,array cable,maintenance,175000,0,537888.75,712888.75
1,1,2004,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2004,blade,delay,0,0,61766.75913078703,61766.75913078703
1,1,2004,blade,maintenance,103415,0,45891.033333333326,149306.03333333333
1,1,2004,blade,repair,60125,0,6670.208333333333,66795.20833333333
1,1,2004,converter,delay,0,0,30902.44524421296,30902.44524421296
1,1,2004,converter,maintenance,103415,0,22945.516666666663,126360.51666666668
1,1,2004,converter,repair,105820,0,8804.675,114624.67499999999
1,1,2004,drivetrain,delay,0,0,2720032.8049467597,2720032.8049467597
1,1,2004,drivetrain,maintenance,394420,0,54695.70833333333,449115.7083333333
1,1,2004,drivetrain,repair,577200,0,2408537.8666666667,2985737.8666666667
1,1,2004,export cable,delay,0,0,16648.9375,16648.9375
1,1,2004,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2004,generator,delay,0,0,55933.40254629629,55933.40254629629
1,1,2004,generator,maintenance,310202,0,45891.033333333326,356093.0333333333
1,1,2004,generator,repair,226070,0,805602.975,1031672.975
1,1,2004,pitch_system,delay,0,0,90123.55642129628,90123.55642129628
1,1,2004,pitch_system,maintenance,206830,0,34418.275,241248.275
1,1,2004,pitch_system,repair,382342,0,56563.36666666666,438905.3666666667
1,1,2004,yaw_system,delay,0,0,38903.58248032407,38903.58248032407
1,1,2004,yaw_system,maintenance,155101,0,28681.895833333336,183782.8958333333
1,1,2004,yaw_system,repair,78156,0,12139.779166666667,90295.77916666666
1,1,2005,array cable,repair,5000000,0,19293712.0,24293712.0
1,1,2005,blade,delay,0,0,52434.063027777775,52434.063027777775
1,1,2005,blade,maintenance,103415,0,45891.033333333326,149306.03333333333
1,1,2005,blade,repair,36075,0,4002.125,40077.125
1,1,2005,converter,delay,0,0,28008.27890509259,28008.27890509259
1,1,2005,converter,maintenance,103415,0,22945.516666666663,126360.51666666668
1,1,2005,converter,repair,38480,0,3201.7,41681.7
1,1,2005,drivetrain,delay,0,0,88177.81959374998,88177.81959374998
1,1,2005,drivetrain,maintenance,413660,0,57363.791666666664,471023.7916666666
1,1,2005,drivetrain,repair,264550,0,23479.13333333333,288029.13333333336
1,1,2005,generator,delay,0,0,202629.90775578702,202629.90775578702
1,1,2005,generator,maintenance,302988,0,44823.799999999996,347811.8
1,1,2005,generator,repair,375180,0,1603735.3166666667,1978915.3166666667
1,1,2005,pitch_system,delay,0,0,77148.1483773148,77148.1483773148
1,1,2005,pitch_system,maintenance,206830,0,34418.275,241248.275
1,1,2005,pitch_system,repair,324630,0,48025.49999999999,372655.5
1,1,2005,yaw_system,delay,0,0,45204.409498842586,45204.409498842586
1,1,2005,yaw_system,maintenance,155101,0,28681.895833333332,183782.8958333333
1,1,2005,yaw_system,repair,36072,0,5602.974999999999,41674.975
1,1,2006,array cable,delay,0,0,694381.2918229167,694381.2918229167
1,1,2006,array cable,maintenance,175000,0,537888.75,712888.75
1,1,2006,array cable,repair,30000000,0,43410852.0,73410852.0
1,1,2006,blade,delay,0,0,52119.080967592585,52119.080967592585
1,1,2006,blade,maintenance,103415,0,45891.033333333326,149306.03333333333
1,1,2006,converter,delay,0,0,36734.319560185184,36734.319560185184
1,1,2006,converter,maintenance,103415,0,22945.516666666663,126360.51666666668
1,1,2006,converter,repair,57720,0,4802.549999999999,62522.549999999996
1,1,2006,drivetrain,delay,0,0,5206202.47925926,5206202.47925926
1,1,2006,drivetrain,maintenance,394420,0,54695.70833333333,449115.7083333333
1,1,2006,drivetrain,repair,913900,0,3617075.7333333334,4530975.733333333
1,1,2006,export cable,delay,0,0,16648.9375,16648.9375
1,1,2006,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2006,generator,delay,0,0,54856.312127314806,54856.312127314806
1,1,2006,generator,maintenance,310202,0,45891.033333333326,356093.0333333333
1,1,2006,generator,repair,38480,0,3735.3166666666666,42215.316666666666
1,1,2006,pitch_system,delay,0,0,76774.13497337962,76774.13497337962
1,1,2006,pitch_system,maintenance,206830,0,34418.274999999994,241248.275
