run,random_seed,year,windfarm
1,1,2002,1705665.337
1,1,2003,2012086.278
1,1,2004,2499344.293
1,1,2005,2852463.693
1,1,2006,2896033.461
1,1,2007,2902138.563
1,1,2008,2911080.098
1,1,2009,2900754.98
1,1,2010,2905834.774
1,1,2011,2904192.603
1,1,2012,2919847.035
1,1,2013,2893384.015
1,1,2014,2902651.254
1,1,2015,2904554.821
1,1,2016,2921074.262
1,1,2017,2901697.553
1,1,2018,2899386.421
1,1,2019,2910543.576
1,1,2020,2923369.785
1,1,2021,2909448.399
2,2,2002,3178770705.481154
2,2,2003,1398384999.69
2,2,2004,166874621.451
2,2,2005,2886107.955
2,2,2006,2900104.789
2,2,2007,2894880.718
2,2,2008,2911977.938
2,2,2009,2903476.835
2,2,2010,2906617.197
2,2,2011,2897491.816
2,2,2012,2917895.23
2,2,2013,2907837.716
2,2,2014,2906207.385
2,2,2015,2905498.335
2,2,2016,2922802.527
2,2,2017,2904624.711
2,2,2018,2909812.904
2,2,2019,2908517.189
2,2,2020,2922449.84
2,2,2021,2906380.083
