run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,24167384.041666668,1165330.8578733832,0.0,8008333.333333332
1,1,2003,38652407.13711593,1168530.1801476956,0.0,24038990.74074074
1,1,2004,14495406.020833332,1171727.2751056969,1767473.1988140068,24306701.08265306
1,1,2005,53083843.328136176,1168530.1738239396,0.0,23790694.3870796
1,1,2006,9671978.020833332,1168524.5410698988,1740612.4317618622,16033333.333333332
1,1,2007,24144774.222916666,1168529.0472691306,397377.6722453448,24052019.192592654
1,1,2008,9671978.020833334,1171733.1059945135,1736927.7211327362,24030241.499528397
1,1,2009,38625877.785364896,1168529.1469984755,400085.6190550786,24057763.888888888
1,1,2010,9694587.839583334,1168528.4630207475,1610099.01543339,16010101.85185185
1,1,2011,19343956.041666668,1168528.2136626444,403617.59132410935,24024999.999999996
1,1,2012,14495406.020833332,1171733.3922823512,1632505.8095188465,19150587.962962963
1,1,2013,29015934.0625,1168531.5391768718,406276.32023291156,12890870.37037037
1,1,2014,0.0,1168530.7510650337,1725635.3070535394,16008333.333333332
1,1,2015,43473212.71019542,1168532.0647448932,406375.0150844289,16033333.333333332
1,1,2016,2512.202083333333,1171730.9116015222,1726817.2011584346,40057875.0
1,1,2017,9671978.020833332,1168527.7825651888,542065.0373216022,33351603.615826197
1,1,2018,33800311.85527753,1168527.538674495,1724035.1135548076,7017361.11111111
1,1,2019,24167384.041666668,1168527.4375780746,541777.9889898589,24053504.629629627
1,1,2020,33777701.97330069,1171731.2601519127,1717683.575595974,8024999.999999999
1,1,2021,19366565.86041667,1168529.2167989172,666409.807296777,33235741.767556854
2,2,2002,9671978.020833332,1165332.205054855,0.0,40080249.988779955
2,2,2003,9671978.020833332,1168527.432457341,0.0,12218295.992321957
2,2,2004,28990812.041666668,1171734.588032335,1767282.3480256132,46772059.2333275
2,2,2005,38613819.06816708,1168526.7904130048,0.0,29170381.681716852
2,2,2006,19304698.863594882,1168532.0786382046,1901723.504240785,32036606.481481478
2,2,2007,24167384.041666668,1168531.7086163363,0.0,9911512.752330737
2,2,2008,9671978.020833332,1171731.0124533486,1902230.6661672394,25951391.829910774
2,2,2009,28954583.88282424,1168527.9275861226,127590.2709201389,24057532.127370108
2,2,2010,28977035.864667095,1168530.1063476847,1874900.699607839,24036407.407407403
2,2,2011,43454828.614058465,1168530.6955102435,255477.59019097223,16049999.999999998
2,2,2012,43431888.2364633,1171727.1110881323,1867172.0759571083,16034902.945704868
2,2,2013,19323858.425,1168532.1365846365,255482.21489583334,32020073.553605825
2,2,2014,28976883.813177858,1168532.2829659372,1867168.9244743949,8004158.742338831
2,2,2015,43432602.54498927,1168530.8419523067,505525.776875,24895536.27814136
2,2,2016,38626958.29429528,1171732.5748024632,1717766.7719339496,24038712.96296296
2,2,2017,82056926.66187435,1168525.2801377873,1214629.63875,16729781.754152773
2,2,2018,28978097.247099284,1168527.6861431825,1732463.4366231072,29683108.53582941
2,2,2019,28968202.222916666,1168525.9205165664,762942.9167033484,17633157.407407407
2,2,2020,38644982.51902622,1171731.8285273754,1736580.6160363837,8780162.037037035
2,2,2021,2512.202083333333,1168528.166100993,747103.9944791667,40091726.85185185
3,3,2002,9671978.020833332,1165331.7060940596,0.0,33292381.70646059
3,3,2003,24129176.497135837,1168527.1640727138,0.0,14062930.555555554
3,3,2004,9649368.202083332,1171725.9387313796,1767223.0656436558,17983333.333333332
3,3,2005,48526969.9737266,1168527.3081126737,124076.20671875,24052566.383157894
3,3,2006,9671978.020833332,1168529.913817636,1744179.6199374946,10633333.333333332
3,3,2007,53098017.08981803,1168528.8856547717,381047.2208333333,13408333.333333332
3,3,2008,19343956.041666668,1171733.233519417,1619253.1504053033,8008333.333333332
3,3,2009,14481601.986975132,1168528.1174322593,643735.7931423611,35015609.45804363
3,3,2010,0.0,1168532.6250674808,1616229.6962705594,24074742.87899442
3,3,2011,48296754.427794725,1168530.8488897276,646050.9250531037,8009800.925925925
3,3,2012,19321346.222916666,1171730.5253310704,1593348.0297572317,16061150.886239765
3,3,2013,28980429.110878505,1168528.8646034684,729810.0702562558,24024999.999999996
3,3,2014,9694587.839583334,1168528.4189637,1545231.1078451576,8008333.333333332
3,3,2015,34039581.080947824,1168527.9543684574,729790.7367140781,32050683.684632946
3,3,2016,62760381.417148754,1171727.5112914157,1516020.3381413277,16028791.666666666
3,3,2017,48298936.52089935,1168526.5370729116,762488.1461495874,24062692.48149068
3,3,2018,19328996.37773585,1168528.9144556455,1363052.1880956464,16017004.629629629
3,3,2019,19321346.222916666,1168526.1220454639,758898.637981963,16033583.333333332
3,3,2020,33839362.0625,1171727.0797870338,1485281.3271155478,8802417.514120776
3,3,2021,29000022.753047362,1168527.038815851,789645.4499783532,16021171.296296295
4,4,2002,14495406.020833332,1165331.3327749618,0.0,0.0
4,4,2003,19343956.041666668,1168528.469387915,0.0,16056369.821807276
