run,random_seed,time_based_availability,production_based_availability
1,1,0.9845358962658758,0.9844242689881294
2,2,0.9844756255228535,0.9843698819971999
3,3,0.9847577762567495,0.9847148968751894
4,4,0.9848882044261921,0.9848471606119285
5,5,0.9843040345273405,0.9841604377397916
6,6,0.9848302152254924,0.9847841909351499
7,7,0.9845236329758917,0.9843680500452114
8,8,0.9846556772378128,0.9845845376004883
9,9,0.9845442619210586,0.9844430832366217
10,10,0.9845774393489999,0.9845131858807517
11,11,0.9843793254239867,0.9842158357392944
12,12,0.9844406418739068,0.9843216033067829
13,13,0.9844284736481862,0.9842388335491803
14,14,0.9845282911248003,0.9845143931031767
15,15,0.9844593695338049,0.9843208612324286
16,16,0.9845196402768271,0.98446258511198
17,17,0.9844059434177505,0.9841588713940569
18,18,0.9845484447486501,0.9843583502889133
19,19,0.984735721347631,0.9846735596518583
20,20,0.9843062210053997,0.9840954433241108
21,21,0.9844504334930413,0.9841524169356897
22,22,0.9841284508327629,0.9838931721180944
23,23,0.9846097611985702,0.9844576928177408
24,24,0.9845183093771389,0.984388999610122
25,25,0.9844610806905468,0.9842848854226965
26,26,0.9843544185869648,0.9841943767854092
27,27,0.9844298045478743,0.98421974348785
28,28,0.9845708799148224,0.9844254172969125
29,29,0.9844973952391817,0.9843508209473123
30,30,0.9846347630998555,0.9845402656191945
