run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,array cable,repair,25000000,0,48234280.0,73234280.0
1,1,2002,blade,delay,0,0,1359.4255150462961,1359.4255150462961
1,1,2002,blade,repair,46800,0,8004.25,54804.25
1,1,2002,converter,delay,0,0,5437.739116898148,5437.739116898148
1,1,2002,converter,repair,81120,0,10405.525,91525.52500000001
1,1,2002,drivetrain,delay,0,0,3845382.4394548615,3845382.4394548615
1,1,2002,drivetrain,repair,639600,0,3623479.1333333333,4263079.133333333
1,1,2002,generator,delay,0,0,1359.4255150462961,1359.4255150462961
1,1,2002,generator,repair,12480,0,1867.6583333333333,14347.658333333333
1,1,2002,pitch_system,delay,0,0,28730.847751157402,28730.847751157402
1,1,2002,pitch_system,repair,266760,0,60832.29999999999,327592.3
1,1,2002,yaw_system,delay,0,0,2718.8510300925923,2718.8510300925923
1,1,2002,yaw_system,repair,39000,0,9338.291666666666,48338.291666666664
1,1,2003,array cable,repair,30000000,0,57881136.0,87881136.0
1,1,2003,blade,delay,0,0,71714.11493171296,71714.11493171296
1,1,2003,blade,maintenance,88920,0,60832.299999999996,149752.3
1,1,2003,blade,repair,7800,0,1334.0416666666665,9134.041666666666
1,1,2003,converter,delay,0,0,48152.97509259259,48152.97509259259
1,1,2003,converter,maintenance,87360,0,29882.53333333333,117242.53333333334
1,1,2003,converter,repair,81120,0,10405.525,91525.52500000001
1,1,2003,drivetrain,delay,0,0,181362.5294537037,181362.5294537037
1,1,2003,drivetrain,maintenance,343200,0,73372.29166666666,416572.2916666666
1,1,2003,drivetrain,repair,795600,0,4824771.856765046,5620371.856765046
1,1,2003,generator,delay,0,0,587879.2907141204,587879.2907141204
1,1,2003,generator,maintenance,257400,0,58697.83333333333,316097.8333333334
1,1,2003,generator,repair,368160,0,1622411.9000000001,1990571.9000000001
1,1,2003,pitch_system,delay,0,0,121086.36705092591,121086.36705092591
1,1,2003,pitch_system,maintenance,177840,0,45624.225,223464.225
1,1,2003,pitch_system,repair,280800,0,64033.99999999999,344834.0
1,1,2003,yaw_system,delay,0,0,60407.704182870366,60407.704182870366
1,1,2003,yaw_system,maintenance,133380,0,38020.1875,171400.1875
1,1,2003,yaw_system,repair,27300,0,6536.804166666667,33836.80416666667
1,1,2004,array cable,delay,0,0,933352.243125,933352.243125
1,1,2004,array cable,maintenance,230000,0,706939.5,936939.5
1,1,2004,array cable,repair,20000000,0,14470284.0,34470284.0
1,1,2004,blade,delay,0,0,88211.80059953703,88211.80059953703
1,1,2004,blade,maintenance,93600,0,64459.92985879629,158059.9298587963
