run,random_seed,year,operations_management_administration,insurance,annual_leases_fees,operating_facilities,environmental_health_safety_monitoring,onshore_electrical_maintenance,labor
1,1,2002,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2003,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2004,17327342.465753425,13717479.452054795,1963765.4794520547,1227353.424657534,0.0,0.0,3609863.01369863
1,1,2005,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2006,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2007,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2008,17327342.465753425,13717479.452054795,1963765.4794520547,1227353.424657534,0.0,0.0,3609863.01369863
1,1,2009,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2010,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2011,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2012,17327342.465753425,13717479.452054795,1963765.4794520547,1227353.424657534,0.0,0.0,3609863.01369863
1,1,2013,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2014,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2015,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2016,17327342.465753425,13717479.452054795,1963765.4794520547,1227353.424657534,0.0,0.0,3609863.01369863
1,1,2017,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2018,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2019,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
1,1,2020,17327342.465753425,13717479.452054795,1963765.4794520547,1227353.424657534,0.0,0.0,3609863.01369863
1,1,2021,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2002,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2003,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2004,17327342.465753425,13717479.452054795,1963765.4794520547,1227353.424657534,0.0,0.0,3609863.01369863
2,2,2005,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2006,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2007,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2008,17327342.465753425,13717479.452054795,1963765.4794520547,1227353.424657534,0.0,0.0,3609863.01369863
2,2,2009,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2010,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2011,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2012,17327342.465753425,13717479.452054795,1963765.4794520547,1227353.424657534,0.0,0.0,3609863.01369863
2,2,2013,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2014,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2015,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2016,17327342.465753425,13717479.452054795,1963765.4794520547,1227353.424657534,0.0,0.0,3609863.01369863
2,2,2017,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2018,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2019,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
2,2,2020,17327342.465753425,13717479.452054795,1963765.4794520547,1227353.424657534,0.0,0.0,3609863.01369863
2,2,2021,17280000.0,13680000.0,1958400.0,1224000.0,0.0,0.0,3599999.9999999995
