run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,39000480.0,2000000.0,33341050.85030165,0,15859560,90201090.85030165
1,1,2003,39000480.0,2000000.0,84716828.60585102,0,27393820,153111128.60585102
1,1,2004,39107330.63013698,2000000.0,37030429.22965463,0,12768160,90905919.8597916
1,1,2005,39000480.0,2000000.0,46712251.960625514,0,17281820,104994551.96062551
1,1,2006,39000480.0,2000000.0,43773187.08258444,0,17466760,102240427.08258444
1,1,2007,39000480.0,2000000.0,40955873.91628188,0,12232220,94188573.91628188
1,1,2008,39107330.63013698,2000000.0,62914393.79976758,0,17536960,121558684.42990457
1,1,2009,39000480.0,2000000.0,41448480.14178234,0,7421760,89870720.14178234
1,1,2010,39000480.0,2000000.0,46799320.084416434,0,32164900,119964700.08441643
1,1,2011,39000480.0,2000000.0,58790679.41804811,0,12399920,112191079.41804811
1,1,2012,39107330.63013698,2000000.0,30705854.55065196,0,2774400,74587585.18078893
1,1,2013,39000480.0,2000000.0,23506242.895250533,0,7047360,71554082.89525053
1,1,2014,39000480.0,2000000.0,32711017.596642334,0,2591560,76303057.59664233
1,1,2015,39000480.0,2000000.0,47316071.4525197,0,17221300,105537851.4525197
1,1,2016,39107330.63013698,2000000.0,52756801.0444903,0,22311680,116175811.67462727
1,1,2017,39000480.0,2000000.0,49525901.46749488,0,2820660,93347041.46749488
1,1,2018,39000480.0,2000000.0,75847570.41121288,0,42082360,158930410.41121286
1,1,2019,39000480.0,2000000.0,57147663.43838717,0,27216940,125365083.43838717
1,1,2020,39107330.63013698,2000000.0,68002957.02713302,0,22283280,131393567.65727
1,1,2021,39000480.0,2000000.0,45037635.67936842,0,22357980,108396095.67936842
2,2,2002,39000480.0,2000000.0,79898661.00737828,0,36654380,157553521.00737828
2,2,2003,39000480.0,2000000.0,25955497.559567012,0,7358720,74314697.559567
2,2,2004,39107330.63013698,2000000.0,69070001.61848065,0,22813860,132991192.24861763
2,2,2005,39000480.0,2000000.0,72043182.80371203,0,27497560,140541222.803712
2,2,2006,39000480.0,2000000.0,72249299.19862844,0,17724800,130974579.19862844
2,2,2007,39000480.0,2000000.0,23677966.181295663,0,12106000,76784446.18129566
2,2,2008,39107330.63013698,2000000.0,67962234.39683296,0,18091860,127161425.02696994
2,2,2009,39000480.0,2000000.0,55829157.85234969,0,37162160,133991797.8523497
2,2,2010,39000480.0,2000000.0,36761600.05630261,0,7428080,85190160.0563026
2,2,2011,39000480.0,2000000.0,18967223.859215744,0,1958900,61926603.859215744
2,2,2012,39107330.63013698,2000000.0,57706366.51727037,0,22382060,121195757.14740735
2,2,2013,39000480.0,2000000.0,81889562.2998545,0,37770880,160660922.29985452
2,2,2014,39000480.0,2000000.0,62181620.0269394,0,17469560,120651660.02693939
2,2,2015,39000480.0,2000000.0,38534670.08307688,0,21892000,101427150.08307688
2,2,2016,39107330.63013698,2000000.0,52714917.007638946,0,17226020,111048267.63777593
2,2,2017,39000480.0,2000000.0,67764043.83906063,0,32019780,140784303.83906063
2,2,2018,39000480.0,2000000.0,30223129.678403914,0,22194820,93418429.67840391
2,2,2019,39000480.0,2000000.0,27520247.864005923,0,7332880,75853607.86400592
2,2,2020,39107330.63013698,2000000.0,64175850.27131967,0,37195280,142478460.90145665
2,2,2021,39000480.0,2000000.0,50794387.961599596,0,12350500,104145367.96159959
3,3,2002,39000480.0,2000000.0,50908792.41148602,0,6377480,98286752.41148603
3,3,2003,39000480.0,2000000.0,43935346.66183018,0,21985880,106921706.66183019
3,3,2004,39107330.63013698,2000000.0,30964822.273252964,0,2330720,74402872.90338995
3,3,2005,39000480.0,2000000.0,74037675.18079354,0,37525500,152563655.18079352
3,3,2006,39000480.0,2000000.0,44751049.68135648,0,22134160,107885689.68135649
3,3,2007,39000480.0,2000000.0,72311982.81266509,0,31934900,145247362.8126651
3,3,2008,39107330.63013698,2000000.0,25340031.35688701,0,22109020,88556381.987024
3,3,2009,39000480.0,2000000.0,38551360.2869715,0,2653140,82204980.28697151
3,3,2010,39000480.0,2000000.0,27026594.11369702,0,2458780,70485854.11369702
3,3,2011,39000480.0,2000000.0,58215287.22189429,0,31981560,131197327.2218943
3,3,2012,39107330.63013698,2000000.0,31439180.217725,0,7545820,80092330.84786198
3,3,2013,39000480.0,2000000.0,45282409.11011973,0,7149120,93432009.11011973
3,3,2014,39000480.0,2000000.0,30167992.61666805,0,17171100,88339572.61666805
3,3,2015,39000480.0,2000000.0,88621635.3331716,0,23044560,152666675.3331716
3,3,2016,39107330.63013698,2000000.0,36598919.13149105,0,12524120,90230369.76162803
3,3,2017,39000480.0,2000000.0,78840475.50747108,0,27233220,147074175.50747108
3,3,2018,39000480.0,2000000.0,66934519.41424172,0,37342520,145277519.41424173
3,3,2019,39000480.0,2000000.0,45562789.4289731,0,12353660,98916929.42897311
3,3,2020,39107330.63013698,2000000.0,49115582.420138024,0,17355320,107578233.050275
3,3,2021,39000480.0,2000000.0,31400072.340769533,0,17066620,89467172.34076953
4,4,2002,39000480.0,2000000.0,15660735.111060053,0,10715260,67376475.11106005
4,4,2003,39000480.0,2000000.0,26879904.321838334,0,7199600,75079984.32183833
4,4,2004,39107330.63013698,2000000.0,36867214.626806565,0,2763800,80738345.25694355
4,4,2005,39000480.0,2000000.0,31579969.125213362,0,11840800,84421249.12521335
4,4,2006,39000480.0,2000000.0,44828628.51364965,0,12711220,98540328.51364964
4,4,2007,39000480.0,2000000.0,59319743.021821514,0,12491640,112811863.02182151
4,4,2008,39107330.63013698,2000000.0,23261978.895815488,0,12439460,76808769.52595247
4,4,2009,39000480.0,2000000.0,54952776.70332474,0,12066540,108019796.70332474
4,4,2010,39000480.0,2000000.0,48134586.9488666,0,27354900,116489966.9488666
4,4,2011,39000480.0,2000000.0,51100178.25203049,0,12175740,104276398.25203049
4,4,2012,39107330.63013698,2000000.0,17586080.047290757,0,21987840,80681250.67742774
4,4,2013,39000480.0,2000000.0,36654927.9264424,0,12047040,89702447.9264424
4,4,2014,39000480.0,2000000.0,62669259.91164865,0,27463960,131133699.91164866
4,4,2015,39000480.0,2000000.0,52764094.52109226,0,21918340,115682914.52109227
4,4,2016,39107330.63013698,2000000.0,30578665.45019221,0,17243220,88929216.0803292
4,4,2017,39000480.0,2000000.0,17426186.549853165,0,2034100,60460766.54985316
4,4,2018,39000480.0,2000000.0,27230288.328161497,0,2705760,70936528.3281615
4,4,2019,39000480.0,2000000.0,56073543.20701222,0,27077000,124151023.20701222
4,4,2020,39107330.63013698,2000000.0,22536868.12855461,0,11993760,75637958.7586916
4,4,2021,39000480.0,2000000.0,29185176.542265393,0,12105720,82291376.54226539
5,5,2002,39000480.0,2000000.0,89291327.28088737,0,31379820,161671627.28088737
5,5,2003,39000480.0,2000000.0,59374363.88329023,0,17416440,117791283.88329023
5,5,2004,39107330.63013698,2000000.0,40168657.2448403,0,22291260,103567247.87497729
5,5,2005,39000480.0,2000000.0,81513006.11236854,0,27296320,149809806.11236852
