run,random_seed,year,windfarm
1,1,2002,4021539.716
1,1,2003,3972297.445
1,1,2004,3989821.083
1,1,2005,3971944.232
1,1,2006,3972240.179
1,1,2007,3967596.202
1,1,2008,3991531.837
1,1,2009,3970845.19
1,1,2010,3972087.612
1,1,2011,3974460.373
1,1,2012,3985696.913
1,1,2013,3975142.418
1,1,2014,3973616.818
1,1,2015,3974116.857
1,1,2016,3985010.175
1,1,2017,3968854.685
1,1,2018,3974853.126
1,1,2019,3971605.897
1,1,2020,3990607.865
1,1,2021,3967317.412
2,2,2002,4022290.256
2,2,2003,3971790.92
2,2,2004,3983876.604
2,2,2005,3967479.941
2,2,2006,3970872.012
2,2,2007,3972949.94
2,2,2008,3986890.23
2,2,2009,3972265.172
2,2,2010,3973881.291
2,2,2011,3972854.815
2,2,2012,3987851.081
2,2,2013,3971501.501
2,2,2014,3973694.316
2,2,2015,3971366.008
2,2,2016,3991363.09
2,2,2017,3973236.45
2,2,2018,3971150.855
2,2,2019,3973092.633
2,2,2020,3990338.065
2,2,2021,3968044.745
3,3,2002,4023156.693
3,3,2003,3973149.746
3,3,2004,3991057.255
3,3,2005,3974928.465
3,3,2006,3974314.515
3,3,2007,3976310.656
3,3,2008,3992370.335
3,3,2009,3967863.169
3,3,2010,3969807.154
3,3,2011,3974543.129
3,3,2012,3984140.982
3,3,2013,3974000.071
3,3,2014,3975965.899
3,3,2015,3970584.171
3,3,2016,3988827.234
3,3,2017,3974398.797
3,3,2018,3972886.869
3,3,2019,3974751.779
3,3,2020,3987438.694
3,3,2021,3974181.925
4,4,2002,4024864.324
4,4,2003,3973887.851
4,4,2004,3991372.223
4,4,2005,3975950.22
4,4,2006,3970824.438
4,4,2007,3969540.302
4,4,2008,3991097.575
4,4,2009,3972081.237
4,4,2010,3972076.727
4,4,2011,3974656.227
4,4,2012,3993029.825
4,4,2013,3974246.465
4,4,2014,3974765.893
4,4,2015,3973557.864
4,4,2016,3992572.825
4,4,2017,3970692.377
4,4,2018,3971964.071
4,4,2019,3969610.383
4,4,2020,3993076.295
4,4,2021,3975501.317
5,5,2002,4015971.907
5,5,2003,3970282.751
5,5,2004,3988702.149
5,5,2005,3964832.098
5,5,2006,3970736.176
5,5,2007,3973933.137
5,5,2008,3983296.755
5,5,2009,3972184.493
5,5,2010,3974088.377
5,5,2011,3974989.152
5,5,2012,3991170.288
5,5,2013,3975407.498
5,5,2014,3966061.525
5,5,2015,3971709.93
5,5,2016,3986360.581
5,5,2017,3970223.382
5,5,2018,3973864.633
5,5,2019,3970056.201
5,5,2020,3984566.828
5,5,2021,3971422.648
6,6,2002,4022594.665
6,6,2003,3974093.283
6,6,2004,3991532.487
6,6,2005,3973238.891
6,6,2006,3975130.234
6,6,2007,3973682.756
6,6,2008,3991856.065
6,6,2009,3972101.536
6,6,2010,3973650.091
6,6,2011,3972110.484
6,6,2012,3992228.434
6,6,2013,3970889.778
6,6,2014,3971785.262
6,6,2015,3972062.827
6,6,2016,3991144.045
6,6,2017,3973909.449
6,6,2018,3971113.469
6,6,2019,3970422.008
6,6,2020,3991484.421
6,6,2021,3975248.404
7,7,2002,4025999.671
7,7,2003,3971059.324
7,7,2004,3989475.398
7,7,2005,3974601.957
7,7,2006,3974341.712
7,7,2007,3974315.184
7,7,2008,3983324.735
7,7,2009,3971526.322
7,7,2010,3968257.951
7,7,2011,3973614.214
7,7,2012,3988460.873
7,7,2013,3968538.472
7,7,2014,3969381.925
7,7,2015,3964248.376
7,7,2016,3991348.903
7,7,2017,3969776.306
7,7,2018,3975030.035
7,7,2019,3972739.526
7,7,2020,3988238.878
7,7,2021,3972362.086
8,8,2002,4026207.912
8,8,2003,3973171.336
8,8,2004,3981490.453
8,8,2005,3975859.238
8,8,2006,3974325.049
8,8,2007,3967681.041
8,8,2008,3987388.855
8,8,2009,3973742.329
8,8,2010,3974114.144
8,8,2011,3976894.303
8,8,2012,3990094.789
8,8,2013,3968331.607
8,8,2014,3969567.502
8,8,2015,3973236.463
8,8,2016,3989007.182
8,8,2017,3973528.625
8,8,2018,3973208.652
8,8,2019,3974734.375
8,8,2020,3988108.826
8,8,2021,3973447.894
9,9,2002,4018785.716
9,9,2003,3974047.214
9,9,2004,3984241.365
9,9,2005,3972014.944
9,9,2006,3973912.758
9,9,2007,3974958.715
9,9,2008,3989900.266
9,9,2009,3968670.464
9,9,2010,3966401.558
9,9,2011,3973103.89
9,9,2012,3986616.789
9,9,2013,3973537.28
9,9,2014,3974936.178
9,9,2015,3972194.942
9,9,2016,3990915.188
9,9,2017,3973245.131
9,9,2018,3971057.101
9,9,2019,3971798.798
9,9,2020,3987319.27
9,9,2021,3975049.227
10,10,2002,4021902.467
10,10,2003,3972993.951
10,10,2004,3982587.087
10,10,2005,3968780.792
10,10,2006,3974781.259
10,10,2007,3976895.456
10,10,2008,3987361.2
10,10,2009,3969821.985
10,10,2010,3973508.049
10,10,2011,3971028.771
10,10,2012,3990376.16
10,10,2013,3972174.35
10,10,2014,3969086.159
