run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,24167384.041666668,1165330.8778080903,0.0,8008333.333333332
1,1,2003,38650876.009098284,1168529.7014074738,0.0,24033333.333333332
1,1,2004,14495406.020833332,1171727.242626193,1767321.5622841208,26298952.112669397
1,1,2005,53081872.24248692,1168524.895825712,0.0,22171895.402826197
1,1,2006,9671978.020833332,1168523.248790286,1741366.0461336693,8862379.629629629
1,1,2007,24144774.222916666,1168530.6818380286,397617.6959214079,23222043.27218529
1,1,2008,9671978.020833334,1171732.5330015768,1735140.8744604727,26392761.893182933
1,1,2009,24129400.03601693,1168531.1413208612,400392.5912447648,21678953.7037037
1,1,2010,19366565.86041667,1168530.8478840617,1734149.3425666245,16027944.444444442
1,1,2011,19343956.041666668,1168528.2792018917,400557.40274457604,24024999.999999996
1,1,2012,24128658.381875873,1171733.6544599514,1734072.0387092393,20233333.333333332
1,1,2013,19307551.79778248,1168531.1582240856,400609.961407331,27856734.896063108
1,1,2014,0.0,1168527.1470683299,1857116.014919501,32075370.370370366
1,1,2015,34043158.469116345,1168526.75415596,400611.1277884344,24824370.37037037
1,1,2016,14495406.020833332,1171731.3733665869,1847263.061437732,33499692.763610445
1,1,2017,0.0,1168526.1961860384,534239.4248863346,45868252.911281876
1,1,2018,33799938.06129017,1168528.152870287,1722877.060887933,17931804.349310655
1,1,2019,24167384.041666668,1168529.4508897355,529257.0774318298,16033333.333333332
1,1,2020,24144774.222916666,1171732.809721758,1847359.944917479,12199999.999999998
1,1,2021,19326756.244336832,1168528.0436386566,659505.1793852508,28298555.521065854
2,2,2002,9671978.020833332,1165332.208995047,0.0,40071180.25772733
2,2,2003,9671978.020833332,1168527.503278685,0.0,12215043.91328242
2,2,2004,28990812.041666668,1171734.3410728802,1769926.9232252284,39071276.77429021
2,2,2005,38611763.306197375,1168528.4605974625,0.0,28812197.47857718
2,2,2006,9671978.020833332,1168527.24612975,1899303.6479059164,32057995.370370366
2,2,2007,24167384.041666668,1168530.0258488464,0.0,10836555.042024594
2,2,2008,9671978.020833332,1171730.9354661503,1902001.9817491835,32923033.465508237
2,2,2009,28953357.908790376,1168529.994541989,127586.00196180555,31151873.617753938
2,2,2010,28975792.35298554,1168528.8584867902,1874906.4399832361,24932597.22222222
2,2,2011,33819264.44583333,1168525.6186143674,256762.19090277777,14441157.407407407
2,2,2012,28973392.043569334,1171732.4727199632,1868611.576751565,17640059.180632755
2,2,2013,19323858.425,1168526.9256909832,256753.65298611112,32050765.953577816
2,2,2014,19327141.840107765,1168530.1870076936,1868627.6617372544,8019467.778112498
2,2,2015,43447319.17137644,1168527.5436623849,504401.97359375,24605904.692789014
2,2,2016,38624768.685932964,1171731.4904516726,1712461.0626036536,9423100.52869543
2,2,2017,67579917.21187916,1168527.775529011,672132.4531151514,8014055.555555555
2,2,2018,19304160.90358436,1168528.6121118728,1717216.4571778583,16014995.37037037
2,2,2019,9674490.222916666,1168530.538847898,682020.60343132,32029972.22222222
2,2,2020,24126604.644778628,1171728.5448478851,1696705.8004538368,16027312.731635649
2,2,2021,2512.202083333333,1168534.1325844764,654297.7036331495,32061208.33333333
3,3,2002,9671978.020833332,1165333.1952647795,0.0,33291011.77525887
3,3,2003,24128527.62243005,1168527.177126134,0.0,14062939.814814813
3,3,2004,14472796.202083332,1171728.0652739466,1769865.0278776407,17997685.185185183
3,3,2005,48523473.976785846,1168529.7106007575,0.0,24049008.125620496
3,3,2006,9671978.020833332,1168530.532146848,1741349.865623181,24039259.259259257
3,3,2007,53097159.874455005,1168530.8382754182,397679.79399305553,8008333.333333332
3,3,2008,19328266.119602308,1171732.215975554,1618995.1879954368,8024999.999999999
3,3,2009,14495406.020833332,1168527.1174696607,663030.4175694444,37147274.61749094
3,3,2010,14495406.020833332,1168530.1039439258,1619064.8407784353,24040496.30661287
3,3,2011,48296042.283286005,1168526.877268309,520332.33917318104,8017023.148148147
3,3,2012,28951388.021357764,1171730.7037428229,1715048.6060001568,32705370.645281356
3,3,2013,38870068.4297541,1168531.444781265,571372.0005374891,16041080.359373413
3,3,2014,22609.81875,1168527.9091105373,1699806.6255574976,8008333.333333332
3,3,2015,33797425.868732736,1168527.1858232652,571361.4133256847,32039837.96296296
3,3,2016,43452589.68803827,1171727.8705237734,1672755.544277545,20737013.888888888
3,3,2017,43471587.06080146,1168525.7273751092,734311.3046945442,35350471.24825272
3,3,2018,48259447.02812085,1168527.9804635267,1641167.887783404,28492087.96296296
3,3,2019,38894192.194756016,1168526.6603827982,734328.7792530266,19611861.722590797
3,3,2020,28973889.9432855,1171727.5483157176,1642053.3458452397,16051480.158325057
3,3,2021,28977281.30293916,1168531.226802116,895633.6125537186,16042175.925925924
4,4,2002,14495406.020833332,1165331.3144495818,0.0,0.0
4,4,2003,19343956.041666668,1168530.6333546375,0.0,16052993.374664417
4,4,2004,9671978.020833332,1171725.5605478922,1893776.3009066249,33938555.55555555
4,4,2005,24144774.222916666,1168526.9969373264,0.0,22191773.148148146
4,4,2006,9694587.839583334,1168530.9663367423,1753734.3813954596,24068306.186547387
4,4,2007,33777820.67356424,1168527.8074813248,125768.13720486111,25662967.10790146
4,4,2008,22609.81875,1171729.3636479906,1867832.0482809506,26255104.853193033
4,4,2009,24144774.222916666,1168529.5991729954,125775.60788194445,16009879.629629627
4,4,2010,19366565.86041667,1168529.8457765456,1865053.8179559903,14477115.740740739
4,4,2011,43432120.9440412,1168531.8888539502,125766.35847222223,17603868.352188602
4,4,2012,24169896.243750002,1171729.9757629104,1863762.5557280504,0.0
4,4,2013,9671978.020833332,1168530.4472885153,125769.20444444445,16018953.703703701
4,4,2014,33800316.68162148,1168525.9948247317,1993173.6138428925,8008333.333333332
4,4,2015,62752589.43653494,1168528.5910308247,125768.4929513889,20041893.518518515
4,4,2016,19321346.222916666,1171729.2586445299,1867971.582394428,12009787.037037035
4,4,2017,29242017.271107122,1168532.5433987183,509440.0559201389,16037754.629629629
4,4,2018,9671978.020833332,1168530.9016856628,1865400.6174192533,16033353.445466852
4,4,2019,53120300.534084894,1168528.2174531587,509425.4703125,16033333.333333332
4,4,2020,24128527.627229806,1171728.362961799,1718586.5904820184,0.0
4,4,2021,57931063.360502236,1168528.6002716925,651254.4790329273,8030740.740740741
5,5,2002,53349857.112264715,1165333.7660411373,0.0,25143687.403046645
5,5,2003,33798746.32285205,1168531.095043592,0.0,24916825.56392637
5,5,2004,28956728.182876304,1171731.3859616606,1857737.12718114,16010620.37037037
5,5,2005,28971100.027923286,1168527.0982837607,0.0,32066334.608287323
5,5,2006,9651880.404166667,1168530.1756171107,1869582.3778420372,32046336.525244605
5,5,2007,38609632.723237045,1168530.5999387323,123962.3678298611,16019847.22222222
5,5,2008,19306069.561057113,1171730.1241456938,1868026.658123391,16013998.077099023
5,5,2009,9671978.020833332,1168529.929557873,378742.6948263889,16037018.518518517
5,5,2010,38624894.42988923,1168528.230983622,1868084.1165185967,18123009.259259257
5,5,2011,9671978.020833332,1168529.8928206086,378758.34767361113,21964359.76832099
5,5,2012,9671978.020833332,1171734.481357153,2009792.4892046507,8008333.333333332
5,5,2013,53349627.99078121,1168526.5751081798,378749.8097569444,16032638.888888888
5,5,2014,24144774.222916666,1168527.8061404908,2009663.8198969814,39511796.29629629
5,5,2015,14518015.839583334,1168527.2553632061,511146.21626736113,17193999.778329372
5,5,2016,9671978.020833332,1171730.1027929378,1982254.0540686168,32032319.861590028
5,5,2017,38640180.24375,1168525.1716912936,634764.9329513889,32047289.624821573
5,5,2018,48280627.70687659,1168525.0750472513,1858253.0423864645,16013750.292646544
5,5,2019,43511340.083333336,1168529.2625879662,634764.92756121,32041958.333333332
5,5,2020,38602662.63860129,1171732.099941923,1993509.6138302034,43503344.53494729
5,5,2021,9694587.839583334,1168529.9500722147,644145.2520056545,31402966.61269753
6,6,2002,24167384.041666668,1165329.938100797,0.0,8024472.222222221
6,6,2003,9671978.020833332,1168527.1458851085,0.0,16030473.807339786
6,6,2004,0.0,1171731.8521338413,1891209.1060365038,16016666.666666664
6,6,2005,57930762.531507,1168530.1422468377,0.0,40040333.33333333
6,6,2006,43450834.46482971,1168531.1768401025,1741387.9691538552,16020659.774442187
6,6,2007,19366565.86041667,1168530.3388041796,249333.84765625,24038710.25568507
6,6,2008,24167384.041666668,1171730.4215146196,1868849.211290671,0.0
6,6,2009,14495406.020833332,1168526.997791853,249341.6740798611,24046254.629629627
6,6,2010,24127631.019134793,1168529.3476267979,1867426.3057603496,24058310.92530289
6,6,2011,0.0,1168529.5683419588,261907.22716490368,24019453.7037037
6,6,2012,33801389.267594814,1171730.9707909666,1867398.469935876,8008333.333333332
6,6,2013,28951955.62243005,1168527.085183501,261929.99494268146,17972028.027031377
6,6,2014,28976370.660250623,1168528.6606030022,1743553.3443150842,38099615.74074074
6,6,2015,0.0,1168527.5576413632,400328.25435293786,32064639.418857243
6,6,2016,9671978.020833332,1171728.2538361975,1726708.3815141853,24034553.01143872
6,6,2017,33800505.63845573,1168528.2038532465,400317.5819571045,32039276.488679003
6,6,2018,24144774.222916666,1168526.4971306124,1743650.595617622,8024999.999999999
6,6,2019,38612032.690167755,1168530.0259728604,400329.955494904,40594288.45760268
6,6,2020,43455215.07004394,1171733.9566267917,1717869.8047665549,16025392.91981597
6,6,2021,38624805.97008402,1168528.3850620538,388142.79094629287,8027703.703703702
7,7,2002,24130101.300585743,1165328.956608333,0.0,24048965.652443096
7,7,2003,9671978.020833332,1168522.2541387489,0.0,24023189.814814813
7,7,2004,46251264.28451953,1171728.6404064735,1883322.0368685366,24029662.037037034
7,7,2005,33841874.264583334,1168528.3950989132,0.0,8008333.333333332
7,7,2006,19343956.041666668,1168529.439526846,1767235.0625336969,7249944.444444444
7,7,2007,24144774.222916666,1168524.69619883,256859.3097048611,25148978.632410802
7,7,2008,14518015.839583334,1171731.5519424027,1744048.7020039593,16050337.962962963
7,7,2009,19549390.243462335,1168525.661232063,256876.74128472223,8021490.74074074
7,7,2010,0.0,1168526.5463606175,1869517.914648221,29440449.15391139
7,7,2011,9671978.020833332,1168533.6576869814,256861.0884375,34747933.46683743
7,7,2012,14495406.020833332,1171726.751727892,1866974.3004837201,24033148.148148146
7,7,2013,38623366.042191096,1168527.3362306124,256878.16427083334,32025597.22222222
7,7,2014,9649368.202083332,1168524.605255167,1744742.9658059706,32049999.999999996
7,7,2015,9694587.839583334,1168529.433613508,530466.841732913,22773375.35575256
7,7,2016,0.0,1171727.3055747678,1740694.5479063473,17279967.59259259
7,7,2017,33800051.32024069,1168527.2351014542,532298.5806044408,24064597.22222222
7,7,2018,57929514.67239243,1168531.5970766009,1740421.9615846719,15256342.57393806
7,7,2019,38623241.783730954,1168529.908149265,655551.2025694444,10039206.895614978
7,7,2020,24131170.44370267,1171731.7331148847,1855525.3797471975,16045531.894565973
7,7,2021,48256166.27160705,1168528.5140067579,780397.8251076707,16051325.608268533
8,8,2002,53106607.14853422,1165335.17671797,0.0,0.0
8,8,2003,19346468.243750002,1168530.5335954956,0.0,16008333.333333332
8,8,2004,19343956.041666668,1171727.0302357997,1893398.28627643,26537888.241906743
8,8,2005,28977208.21554428,1168525.6756345958,0.0,0.0
8,8,2006,43470946.286972545,1168526.2260518437,1893204.3768846563,690226.8518518518
8,8,2007,24147286.425,1168527.9380737864,0.0,23340214.736875672
8,8,2008,38624427.02359065,1171731.0435590139,1890479.8386600714,30209657.1554509
8,8,2009,19328317.02151886,1168529.6286434617,0.0,18151773.581231456
8,8,2010,9671978.020833332,1168530.0291643008,1988491.581405694,16054231.92446693
8,8,2011,24167384.041666668,1168532.8453731968,124325.94078125,8008333.333333332
8,8,2012,0.0,1171729.5854831818,1989739.2054367284,24080847.83370191
8,8,2013,24167384.041666668,1168528.0625348822,247805.2048263889,44309891.36211438
8,8,2014,0.0,1168530.4238327965,1989762.5813597948,27773365.864180755
8,8,2015,0.0,1168524.8148592801,385478.75532986113,16031671.04433979
8,8,2016,33801480.46822254,1171728.1195160684,1863382.635128897,24031634.259259257
8,8,2017,24144774.222916666,1168532.6200273542,385474.84211805556,48068641.66171929
8,8,2018,38624137.22647986,1168529.270613532,1866164.9836958149,8011898.148148147
8,8,2019,9657091.91030992,1168531.4127953413,508795.08746527776,16103888.888888888
8,8,2020,38625784.78906287,1171730.2069388467,1863431.409384381,43272343.45325463
8,8,2021,33839362.0625,1168527.5878257127,502978.11705694115,5223296.296296296
9,9,2002,24367267.98223655,1165331.2929843427,0.0,16017958.973393964
9,9,2003,2512.202083333333,1168529.207299176,0.0,8010628.349159278
9,9,2004,19306353.550549403,1171730.6222910136,1903811.873645428,25578770.876873374
9,9,2005,14495406.020833332,1168525.5047125784,0.0,24025812.108132318
9,9,2006,9671978.020833332,1168529.3254307841,1903671.7725634368,24017009.259259257
9,9,2007,0.0,1168529.9884568404,127321.68229166667,24038710.41370656
9,9,2008,28968202.222916666,1171733.0794889918,1903599.7807252598,19574999.999999996
