run,random_seed,time_based_availability,production_based_availability
1,1,0.9845400790934672,0.9844773175066073
2,2,0.9844093657312343,0.9843418819747555
3,3,0.9846254468020382,0.984607275262404
4,4,0.9848591147615788,0.9847123273779886
5,5,0.9843749524678683,0.9842447896519986
6,6,0.9845087078865313,0.9844175707404277
7,7,0.9844598448551221,0.984292244598874
8,8,0.9844653585824017,0.9843033328582625
9,9,0.9844764811012244,0.9844077260938502
10,10,0.9846056734352422,0.9845531892528476
11,11,0.9843909232641266,0.9841184415894241
12,12,0.9848416229371055,0.9848098204270059
13,13,0.9846795383679368,0.9845804118050886
14,14,0.9846095710700433,0.9845823937723122
15,15,0.9844021408472127,0.9841612209625238
16,16,0.9845672674728116,0.9845043644969445
17,17,0.9846500684462697,0.9844066150304738
18,18,0.9844811392501331,0.9843262469816937
19,19,0.9847590120921743,0.9847824613003102
20,20,0.9843799908738307,0.9840993551811342
21,21,0.9841350102669405,0.9836741574696833
22,22,0.9842318807513879,0.9840281549441884
23,23,0.9846595748726139,0.9845220381231984
24,24,0.9844721081451061,0.9843427441577258
25,25,0.9844884591984181,0.9842581229649701
26,26,0.9844446345729714,0.9842512422721242
27,27,0.9843890219788577,0.9842162591655478
28,28,0.9846063388850863,0.9844218964136863
29,29,0.9844701117955738,0.9842119582343243
30,30,0.9847316335843029,0.9846620365282645
