run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,array cable,repair,15000000,0,24117140.0,39117140.0
1,1,2002,blade,repair,8840,0,2668.0833333333335,11508.083333333334
1,1,2002,converter,delay,0,0,6796.979348379628,6796.979348379628
1,1,2002,converter,repair,45968,0,10405.525,56373.525
1,1,2002,drivetrain,delay,0,0,84339.01307870369,84339.01307870369
1,1,2002,drivetrain,repair,194480,0,1225613.5999999999,1420093.5999999999
1,1,2002,generator,delay,0,0,6797.016405092591,6797.016405092591
1,1,2002,generator,repair,35360,0,9338.291666666666,44698.291666666664
1,1,2002,pitch_system,delay,0,0,50298.33643287036,50298.33643287036
1,1,2002,pitch_system,repair,220033,0,88580.36666666665,308613.36666666664
1,1,2002,yaw_system,delay,0,0,8156.367806712962,8156.367806712962
1,1,2002,yaw_system,repair,30940,0,13073.608333333334,44013.60833333333
1,1,2003,array cable,repair,20000000,0,38587424.0,58587424.0
1,1,2003,blade,delay,0,0,76819.82590046295,76819.82590046295
1,1,2003,blade,maintenance,52156,0,62966.76666666666,115122.76666666666
1,1,2003,blade,repair,8840,0,2668.083333333333,11508.083333333332
1,1,2003,converter,delay,0,0,49667.26061111111,49667.26061111111
1,1,2003,converter,maintenance,51272,0,30949.766666666663,82221.76666666666
1,1,2003,converter,repair,28288,0,6403.4,34691.4
1,1,2003,drivetrain,delay,0,0,3350878.4867800926,3350878.4867800926
1,1,2003,drivetrain,maintenance,201552,0,76040.375,277592.375
1,1,2003,drivetrain,repair,203320,0,1227748.0666666667,1431068.0666666667
1,1,2003,generator,delay,0,0,71778.74183912037,71778.74183912037
1,1,2003,generator,maintenance,151107,0,60832.299999999996,211939.3
1,1,2003,generator,repair,137904,0,1603735.3166666667,1741639.3166666667
1,1,2003,pitch_system,delay,0,0,130250.67745023147,130250.67745023147
1,1,2003,pitch_system,maintenance,104312,0,47225.075,151537.075
1,1,2003,pitch_system,repair,182919,0,73849.91564004628,256768.9156400463
1,1,2003,yaw_system,delay,0,0,56805.60639930555,56805.60639930555
1,1,2003,yaw_system,maintenance,78175,0,39354.229166666664,117529.22916666667
1,1,2003,yaw_system,repair,15470,0,6536.804166666667,22006.804166666665
1,1,2004,array cable,delay,0,0,948630.1335069444,948630.1335069444
1,1,2004,array cable,maintenance,235000,0,722307.75,957307.75
1,1,2004,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2004,blade,delay,0,0,80802.57023958332,80802.57023958332
1,1,2004,blade,maintenance,51272,0,62043.12809606481,113315.1280960648
1,1,2004,blade,repair,13260,0,4002.1249999999995,17262.125
1,1,2004,converter,delay,0,0,53706.849947916664,53706.849947916664
1,1,2004,converter,maintenance,52156,0,31483.383333333328,83639.38333333333
1,1,2004,converter,repair,70720,0,16008.499999999998,86728.5
1,1,2004,drivetrain,delay,0,0,2324239.749886574,2324239.749886574
1,1,2004,drivetrain,maintenance,201552,0,76040.375,277592.375
1,1,2004,drivetrain,repair,609960,0,7515043.533333333,8125003.533333333
1,1,2004,export cable,delay,0,0,16648.9375,16648.9375
1,1,2004,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2004,generator,delay,0,0,67687.71778472222,67687.71778472222
1,1,2004,generator,maintenance,151107,0,60832.29999999999,211939.3
1,1,2004,generator,repair,7072,0,1867.6583333333333,8939.658333333333
1,1,2004,pitch_system,delay,0,0,134256.7675185185,134256.7675185185
1,1,2004,pitch_system,maintenance,102544,0,46424.649999999994,148968.65
1,1,2004,pitch_system,repair,182919,0,73428.2843599537,256347.28435995372
1,1,2004,yaw_system,delay,0,0,50863.45130555555,50863.45130555555
1,1,2004,yaw_system,maintenance,76850,0,38687.208333333336,115537.20833333334
1,1,2004,yaw_system,repair,19890,0,8404.4625,28294.462499999998
1,1,2005,array cable,repair,35000000,0,53057708.0,88057708.0
1,1,2005,blade,delay,0,0,68573.74379166665,68573.74379166665
1,1,2005,blade,maintenance,51272,0,61755.938570601844,113027.93857060184
