run,random_seed,year,windfarm
1,1,2002,711818.546
1,1,2003,779798.981
1,1,2004,944789.006
1,1,2005,1057268.284
1,1,2006,1200529.679
1,1,2007,1243704.432
1,1,2008,1252083.999
1,1,2009,1243751.563
1,1,2010,1245888.785
1,1,2011,1245201.9
1,1,2012,1251170.301
1,1,2013,1244475.745
1,1,2014,1245499.47
1,1,2015,1244584.084
1,1,2016,1251314.839
1,1,2017,1243741.389
1,1,2018,1245821.0
1,1,2019,1244663.108
1,1,2020,1251899.088
1,1,2021,1244395.486
2,2,2002,1890187.129
2,2,2003,2006157.143
2,2,2004,2120377.888
2,2,2005,2131582.855
2,2,2006,1244670.189
2,2,2007,1244837.602
2,2,2008,1251081.31
2,2,2009,1244569.076
2,2,2010,1245458.305
2,2,2011,1245201.475
2,2,2012,1251431.402
2,2,2013,1244055.82
2,2,2014,1245796.013
2,2,2015,1246086.035
2,2,2016,1252438.733
2,2,2017,1245964.34
2,2,2018,1246155.442
2,2,2019,1245204.201
2,2,2020,1250770.807
2,2,2021,1244405.559
3,3,2002,395357556.107
3,3,2003,409487554.951
3,3,2004,189905633.211
3,3,2005,96807565.286
3,3,2006,4660023.391
3,3,2007,1245761.804
3,3,2008,1253029.733
3,3,2009,1243176.096
3,3,2010,1242656.509
3,3,2011,1245263.404
3,3,2012,1249777.537
3,3,2013,1246245.124
3,3,2014,1245840.43
3,3,2015,1243543.307
3,3,2016,1252198.762
3,3,2017,1244966.082
3,3,2018,1243563.434
3,3,2019,1244656.889
3,3,2020,1252490.993
3,3,2021,1246000.945
4,4,2002,711567.553
4,4,2003,778984.273
4,4,2004,943507.783
4,4,2005,1056039.419
4,4,2006,1199466.74
4,4,2007,1244476.018
4,4,2008,1251031.755
4,4,2009,1245859.881
4,4,2010,1244480.311
4,4,2011,1245009.645
4,4,2012,1251964.008
4,4,2013,1245826.69
4,4,2014,1245998.933
4,4,2015,1245763.569
4,4,2016,1252673.425
4,4,2017,1245793.741
4,4,2018,1246152.581
4,4,2019,1244761.436
4,4,2020,1252133.584
4,4,2021,1245949.418
5,5,2002,2213234.416
5,5,2003,2238817.45
5,5,2004,2224181.955
5,5,2005,2172176.258
5,5,2006,1244741.882
5,5,2007,1245500.789
5,5,2008,1248885.684
5,5,2009,1245162.743
5,5,2010,1245587.644
5,5,2011,1245632.868
5,5,2012,1252738.69
5,5,2013,1245393.591
5,5,2014,1244879.772
5,5,2015,1244787.892
5,5,2016,1251153.124
5,5,2017,1243203.512
5,5,2018,1243668.324
5,5,2019,1245000.275
5,5,2020,1251763.171
5,5,2021,1244993.108
6,6,2002,712065.477
6,6,2003,780675.813
6,6,2004,942716.4
6,6,2005,1057547.931
6,6,2006,1199873.705
6,6,2007,1245988.191
6,6,2008,1253252.283
6,6,2009,1244787.137
6,6,2010,1244503.391
6,6,2011,1245068.12
6,6,2012,1253045.666
6,6,2013,1244205.919
6,6,2014,1245009.784
6,6,2015,1243992.661
6,6,2016,1252323.158
6,6,2017,1245307.29
6,6,2018,1244972.383
6,6,2019,1242971.927
6,6,2020,1252457.592
6,6,2021,1245479.229
7,7,2002,2217287.273
7,7,2003,2242037.54
7,7,2004,2221610.669
7,7,2005,2173367.778
7,7,2006,1243382.363
7,7,2007,1245389.811
7,7,2008,1249714.597
7,7,2009,1244116.404
7,7,2010,1244718.776
7,7,2011,1243761.431
7,7,2012,1252604.303
7,7,2013,1242041.322
7,7,2014,1245760.715
7,7,2015,1243111.641
7,7,2016,1251318.083
7,7,2017,1246167.364
7,7,2018,1245170.254
7,7,2019,1244933.75
7,7,2020,1251699.77
7,7,2021,1245029.022
8,8,2002,711895.298
8,8,2003,777041.643
8,8,2004,941079.836
8,8,2005,1057761.807
8,8,2006,1199231.752
8,8,2007,1245142.866
8,8,2008,1251903.685
8,8,2009,1244019.246
8,8,2010,1245579.788
8,8,2011,1246059.443
8,8,2012,1252405.486
8,8,2013,1243899.468
8,8,2014,1242785.584
8,8,2015,1245492.108
8,8,2016,1252700.327
8,8,2017,1244031.759
8,8,2018,1245302.482
8,8,2019,1244885.385
8,8,2020,1251961.2
8,8,2021,1245801.9
9,9,2002,2213552.898
9,9,2003,2240594.07
9,9,2004,2223199.281
9,9,2005,2173629.835
9,9,2006,1245061.364
9,9,2007,1245486.647
9,9,2008,1252377.912
9,9,2009,1244635.433
9,9,2010,1242896.885
9,9,2011,1245750.711
9,9,2012,1249290.575
9,9,2013,1245874.548
9,9,2014,1244880.517
9,9,2015,1242470.261
9,9,2016,1250089.873
9,9,2017,1246383.466
9,9,2018,1245311.112
9,9,2019,1245243.915
9,9,2020,1250630.207
9,9,2021,1246203.88
10,10,2002,711107.489
10,10,2003,780096.836
10,10,2004,941517.684
10,10,2005,1056762.651
10,10,2006,1200107.652
10,10,2007,1245911.772
10,10,2008,1252167.455
10,10,2009,1245073.697
10,10,2010,1244214.369
10,10,2011,1245956.904
10,10,2012,1252202.729
10,10,2013,1244830.192
10,10,2014,1242944.694
10,10,2015,1245223.071
10,10,2016,1252617.919
10,10,2017,1244596.788
10,10,2018,1245424.226
10,10,2019,1246318.29
10,10,2020,1252208.993
10,10,2021,1245795.466
11,11,2002,2214415.752
11,11,2003,2242428.567
11,11,2004,2221360.549
11,11,2005,2170443.495
11,11,2006,1245356.704
11,11,2007,1245150.136
11,11,2008,1251638.492
11,11,2009,1246014.009
11,11,2010,1243629.233
11,11,2011,1242610.513
11,11,2012,1251887.586
11,11,2013,1243371.271
11,11,2014,1242349.275
11,11,2015,1245278.301
11,11,2016,1250960.409
11,11,2017,1246100.379
11,11,2018,1244918.605
11,11,2019,1246073.476
11,11,2020,1251956.903
11,11,2021,1245189.947
12,12,2002,711738.497
12,12,2003,779881.904
12,12,2004,940004.16
12,12,2005,1057046.513
12,12,2006,1200599.631
12,12,2007,1244650.237
12,12,2008,1253370.812
12,12,2009,1245711.163
12,12,2010,1243908.566
12,12,2011,1244961.944
12,12,2012,1251550.752
12,12,2013,1245184.018
12,12,2014,1246140.605
12,12,2015,1244791.701
12,12,2016,1250422.693
12,12,2017,1246030.784
12,12,2018,1244662.628
12,12,2019,1245297.493
12,12,2020,1251455.381
12,12,2021,1246035.246
13,13,2002,712119.801
13,13,2003,780971.728
13,13,2004,942559.837
13,13,2005,1055119.732
13,13,2006,1200031.808
13,13,2007,1245924.922
13,13,2008,1252527.693
13,13,2009,1245511.202
13,13,2010,1245799.068
13,13,2011,1244274.545
13,13,2012,1248131.747
13,13,2013,1244125.213
13,13,2014,1243948.556
13,13,2015,1244025.598
13,13,2016,1248437.251
13,13,2017,1245240.759
13,13,2018,1244953.6
13,13,2019,1245582.858
13,13,2020,1250909.813
13,13,2021,1245006.678
14,14,2002,710674.833
14,14,2003,779567.339
14,14,2004,941219.835
14,14,2005,1056991.343
14,14,2006,1198211.952
14,14,2007,1241889.063
14,14,2008,1250878.791
14,14,2009,1245197.718
14,14,2010,1245034.75
14,14,2011,1245718.132
14,14,2012,1250379.577
14,14,2013,1245723.7
14,14,2014,1243863.884
14,14,2015,1245637.222
14,14,2016,1252723.374
14,14,2017,1244854.163
14,14,2018,1245849.595
14,14,2019,1243481.233
14,14,2020,1252746.876
14,14,2021,1245003.968
15,15,2002,711631.591
15,15,2003,776223.744
15,15,2004,941467.899
15,15,2005,1056053.391
15,15,2006,1197939.631
15,15,2007,1245680.748
15,15,2008,1250445.869
15,15,2009,1246424.707
15,15,2010,1243565.612
15,15,2011,1245716.466
15,15,2012,1252345.709
15,15,2013,1244671.153
15,15,2014,1245481.052
15,15,2015,1244365.858
15,15,2016,1251293.092
15,15,2017,1245142.293
15,15,2018,1245362.6
15,15,2019,1244121.051
15,15,2020,1252497.565
15,15,2021,1244578.893
16,16,2002,710533.432
16,16,2003,778955.163
