run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,14495406.020833332,1165331.8677282664,0.0,8008333.333333332
1,1,2003,9671978.020833332,1168529.41502319,0.0,24033333.333333332
1,1,2004,9913590.45186574,1171730.3169374424,1593033.439199572,18843598.53635427
1,1,2005,24167384.041666668,1168526.5113549242,0.0,30093604.768522076
1,1,2006,9671978.020833332,1168526.6944915198,1591541.474389241,8012657.407407407
1,1,2007,9671978.020833332,1168527.0813229342,122959.87411458333,32042564.814814813
1,1,2008,0.0,1171730.876263042,1588992.6718237714,25715359.490857963
1,1,2009,28968202.222916666,1168525.9074470848,122969.12352430556,7999999.999999999
1,1,2010,24150883.675671846,1168525.2752500148,1487856.5810705419,8008333.333333332
1,1,2011,9671978.020833332,1168529.9293276707,246641.2021875,32049999.999999996
1,1,2012,38662790.0625,1171732.9871032606,1465335.9280902029,26906189.814814813
1,1,2013,19343956.041666668,1168527.764245323,246641.91368055556,13154166.666666664
1,1,2014,24128779.280403916,1168531.9572559074,1591061.9759308328,24045842.88730941
1,1,2015,38625742.95409365,1168529.5102708351,246639.06770833334,24296231.481481478
1,1,2016,24144774.222916666,1171729.8973117277,1705482.9013757706,15766666.666666664
1,1,2017,24153356.91933325,1168526.4605155191,371913.4287326389,54321305.55555555
1,1,2018,38602377.23841718,1168531.9783419182,1705486.0087895421,9741666.666666666
1,1,2019,9656494.698239118,1168524.1110936704,381359.56476244325,34059398.68739197
1,1,2020,9671978.020833332,1171724.3674093923,1705890.01631696,8002879.62962963
1,1,2021,0.0,1168521.5105824093,504595.14243605436,24035522.65448964
2,2,2002,14472796.202083332,1165328.9189765397,0.0,40058308.53739944
2,2,2003,24189993.86041667,1168529.558188198,0.0,8019940.217605448
2,2,2004,0.0,1171732.7729784476,1591550.6768445745,34805144.3314976
2,2,2005,24127964.064623877,1168527.9475066764,125388.55565972222,29287922.39791314
2,2,2006,9649368.202083332,1168530.4784286343,1609471.91514002,32065498.20360286
2,2,2007,62782343.40963324,1168530.5035617182,263198.3570833333,24033310.185185183
2,2,2008,22609.81875,1171732.8758559965,1465526.4769002253,40058333.33333333
2,2,2009,14737766.529819444,1168529.4043431869,263200.4915625,16038604.63132737
2,2,2010,19321346.222916666,1168528.8865911847,1467921.4860262205,24016666.666666664
2,2,2011,24151380.735380612,1168529.4725184555,397341.47904513887,32036499.999999996
2,2,2012,0.0,1171733.2322068987,1468019.1142640745,8028335.165825541
2,2,2013,14495406.020833332,1168530.0766076373,531912.9198263889,40027852.149520405
2,2,2014,0.0,1168525.8999092928,1458402.6178359461,32040303.299496125
2,2,2015,9671978.020833332,1168530.9477755208,657772.1281423611,8008333.333333332
2,2,2016,24131393.01250012,1171730.012645778,1458397.1882231226,11227732.074553235
2,2,2017,38625749.83744411,1168528.6592142836,657791.3384548611,23616666.666666664
2,2,2018,19321346.222916666,1168526.865401382,1474132.780036798,24049999.999999996
2,2,2019,14738877.481407408,1168524.5274597218,662554.3057234914,8008333.333333332
2,2,2020,9694587.839583334,1171730.941428031,1477004.1832852813,8587329.15608407
2,2,2021,24167384.041666668,1168526.0073663443,662557.8631887691,8028504.472036933
3,3,2002,24128739.320171613,1165336.0991392452,0.0,25284907.93867108
3,3,2003,24130474.196266085,1168529.2650984055,0.0,21719004.629629627
3,3,2004,19306963.38632549,1171731.7819286326,1589005.1903700444,18364254.629629627
3,3,2005,24128917.29778675,1168530.0215313241,0.0,24052656.44470844
3,3,2006,0.0,1168528.4247576874,1599336.7022261505,8008333.333333332
3,3,2007,19343956.041666668,1168528.324226548,126158.03539930556,16008333.333333332
3,3,2008,19305236.608602304,1171729.4253346561,1599342.5124081143,8008333.333333332
3,3,2009,28953409.952380754,1168528.4080545097,126149.14173611111,24047305.555555552
3,3,2010,38665302.264583334,1168528.4877356535,1475602.179478482,32066092.59259259
