run,random_seed,time_based_availability,production_based_availability
1,1,0.9394837352357887,0.9403772819340643
2,2,0.9786794257533478,0.9397744056258547
3,3,0.984824343179066,0.9862320611695122
4,4,0.9748849356780568,26.993232445908653
5,5,0.9389611742922831,0.9398043834139495
6,6,0.9393539725161901,0.9404288427985965
7,7,0.9393251241685533,0.9406077675255177
8,8,0.9391412845083277,0.9398404122242341
9,9,0.9391297671071799,0.9400647265088857
10,10,0.9391602607978378,0.9399799435889167
11,11,0.9390489259200758,0.9395337176363906
12,12,0.9394840643043928,0.9406420661813862
13,13,0.9391829665315291,0.9399893679338135
14,14,0.93943656873585,0.9404370912551008
15,15,0.9392284876884466,0.9400855412521779
16,16,0.9392440636023798,0.940247966674067
17,17,0.9388484134505695,0.9395446328953819
18,18,0.9389329840818548,0.9395064189146495
19,19,0.9394091463521649,0.9403426482809957
20,20,0.9393288536127345,0.9401195979719522
21,21,0.9391025641025641,0.9397115588146212
22,22,0.9389640262201864,0.9398620247643265
23,23,0.9393496946243353,0.9402104815391074
24,24,0.9391782498815353,0.9400544248229142
25,25,0.9395099510345917,0.94046245361481
26,26,0.9392538259709717,0.9402502841272127
27,27,0.9392120342582355,0.9402201406060591
28,28,0.9392578844837571,0.9402327390522744
29,29,0.9390341178328858,0.9397686368244726
30,30,0.9394937169834501,0.9405184439373905
