run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,array cable,repair,15000000,0,24117140.0,39117140.0
1,1,2002,blade,repair,14300,0,2668.0833333333335,16968.083333333332
1,1,2002,converter,delay,0,0,6797.0905185185175,6797.0905185185175
1,1,2002,converter,repair,74360,0,10405.525,84765.52500000001
1,1,2002,drivetrain,delay,0,0,84339.05013541665,84339.05013541665
1,1,2002,drivetrain,repair,314600,0,1225613.5999999999,1540213.5999999999
1,1,2002,generator,delay,0,0,6797.0905185185175,6797.0905185185175
1,1,2002,generator,repair,57200,0,9338.291666666666,66538.29166666666
1,1,2002,pitch_system,delay,0,0,50298.373489583326,50298.373489583326
1,1,2002,pitch_system,repair,356070,0,88580.36666666665,444650.3666666667
1,1,2002,yaw_system,delay,0,0,8156.478976851851,8156.478976851851
1,1,2002,yaw_system,repair,50050,0,13073.608333333334,63123.60833333333
1,1,2003,array cable,repair,20000000,0,38587424.0,58587424.0
1,1,2003,blade,delay,0,0,74794.04657291666,74794.04657291666
1,1,2003,blade,maintenance,82940,0,61899.533333333326,144839.53333333333
1,1,2003,blade,repair,14300,0,2668.083333333333,16968.083333333332
1,1,2003,converter,delay,0,0,45599.24877546296,45599.24877546296
1,1,2003,converter,maintenance,81510,0,30416.149999999994,111926.15
1,1,2003,converter,repair,51480,0,7203.825,58683.825
1,1,2003,drivetrain,delay,0,0,3046457.0563391205,3046457.0563391205
1,1,2003,drivetrain,maintenance,326040,0,76040.375,402080.375
1,1,2003,drivetrain,repair,314600,0,1227611.1791689815,1542211.1791689815
1,1,2003,generator,delay,0,0,68836.51294328703,68836.51294328703
1,1,2003,generator,maintenance,240240,0,59765.06666666666,300005.06666666665
1,1,2003,generator,repair,223080,0,1603735.3166666667,1826815.3166666667
1,1,2003,pitch_system,delay,0,0,140421.67051388888,140421.67051388888
1,1,2003,pitch_system,maintenance,165880,0,46424.649999999994,212304.65
1,1,2003,pitch_system,repair,313170,0,77908.03333333333,391078.0333333333
1,1,2003,yaw_system,delay,0,0,53679.502093749994,53679.502093749994
1,1,2003,yaw_system,maintenance,122265,0,38020.1875,160285.1875
1,1,2003,yaw_system,repair,21450,0,5602.974999999999,27052.975
1,1,2004,array cable,delay,0,0,950779.9097743055,950779.9097743055
1,1,2004,array cable,maintenance,235000,0,722307.75,957307.75
1,1,2004,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2004,blade,delay,0,0,74049.09547222221,74049.09547222221
1,1,2004,blade,maintenance,85800,0,64033.99999999999,149834.0
1,1,2004,blade,repair,21450,0,4002.1249999999995,25452.125
1,1,2004,converter,delay,0,0,58770.27920717592,58770.27920717592
1,1,2004,converter,maintenance,85800,0,32016.999999999996,117817.0
1,1,2004,converter,repair,108680,0,15208.074999999999,123888.075
1,1,2004,drivetrain,delay,0,0,165211.39816550922,165211.39816550922
1,1,2004,drivetrain,maintenance,320320,0,75328.55260069444,395648.5526006944
1,1,2004,drivetrain,repair,829400,0,6015078.1541643515,6844478.1541643515
1,1,2004,export cable,delay,0,0,16648.9375,16648.9375
1,1,2004,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2004,generator,delay,0,0,72759.29952083333,72759.29952083333
1,1,2004,generator,maintenance,248820,0,61899.533333333326,310719.5333333333
1,1,2004,generator,repair,22880,0,3735.3166666666666,26615.316666666666
1,1,2004,pitch_system,delay,0,0,134051.5474421296,134051.5474421296
1,1,2004,pitch_system,maintenance,171600,0,48025.5,219625.5
1,1,2004,pitch_system,repair,274560,0,68302.93333333332,342862.93333333335
1,1,2004,yaw_system,delay,0,0,64650.43842013888,64650.43842013888
1,1,2004,yaw_system,maintenance,130845,0,40688.270833333336,171533.27083333334
1,1,2004,yaw_system,repair,35750,0,9338.291666666666,45088.291666666664
1,1,2005,array cable,repair,35000000,0,53057708.0,88057708.0
1,1,2005,blade,delay,0,0,65769.66232175926,65769.66232175926
1,1,2005,blade,maintenance,85800,0,64033.99999999999,149834.0
1,1,2005,blade,repair,14300,0,2668.083333333333,16968.083333333332
1,1,2005,converter,delay,0,0,52169.81160763888,52169.81160763888
1,1,2005,converter,maintenance,85800,0,32016.999999999996,117817.0
1,1,2005,converter,repair,51480,0,7203.825,58683.825000000004
1,1,2005,drivetrain,delay,0,0,1407891.902207176,1407891.902207176
1,1,2005,drivetrain,maintenance,308880,0,71667.05290625,380547.05290625
1,1,2005,drivetrain,repair,443300,0,2423479.1333333333,2866779.1333333333
1,1,2005,generator,delay,0,0,220410.82794907404,220410.82794907404
1,1,2005,generator,maintenance,257400,0,64033.99999999999,321434.0
1,1,2005,generator,repair,245960,0,1607470.6333333335,1853430.6333333335
1,1,2005,pitch_system,delay,0,0,140711.676349537,140711.676349537
1,1,2005,pitch_system,maintenance,171600,0,48025.5,219625.5
1,1,2005,pitch_system,repair,274560,0,68302.93333333332,342862.93333333335
1,1,2005,yaw_system,delay,0,0,52208.68409953703,52208.68409953703
1,1,2005,yaw_system,maintenance,128700,0,40021.25,168721.25
1,1,2005,yaw_system,repair,32175,0,8404.4625,40579.462499999994
1,1,2006,array cable,delay,0,0,915175.3742881945,915175.3742881945
1,1,2006,array cable,maintenance,230000,0,706939.5,936939.5
1,1,2006,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2006,blade,delay,0,0,76376.8499537037,76376.8499537037
1,1,2006,blade,maintenance,81510,0,60832.299999999996,142342.3
1,1,2006,blade,repair,14300,0,2668.083333333333,16968.083333333332
1,1,2006,converter,delay,0,0,44662.899752314814,44662.899752314814
1,1,2006,converter,maintenance,81510,0,30697.5957349537,112207.5957349537
1,1,2006,converter,repair,62920,0,8804.675,71724.675
1,1,2006,drivetrain,delay,0,0,1082787.5824074075,1082787.5824074075
1,1,2006,drivetrain,maintenance,331760,0,77123.39449305554,408883.39449305553
1,1,2006,drivetrain,repair,257400,0,1217075.7333333332,1474475.7333333332
1,1,2006,export cable,delay,0,0,34075.89265625,34075.89265625
1,1,2006,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2006,generator,delay,0,0,71778.2971585648,71778.2971585648
1,1,2006,generator,maintenance,240240,0,59765.06666666666,300005.06666666665
1,1,2006,generator,repair,34320,0,5602.974999999999,39922.975
1,1,2006,pitch_system,delay,0,0,143213.48621180555,143213.48621180555
1,1,2006,pitch_system,maintenance,163020,0,45624.225,208644.225
1,1,2006,pitch_system,repair,338910,0,84311.43333333332,423221.43333333335
1,1,2006,yaw_system,delay,0,0,52654.328129629626,52654.328129629626
1,1,2006,yaw_system,maintenance,122265,0,38020.1875,160285.1875
1,1,2006,yaw_system,repair,21450,0,5602.974999999999,27052.975
1,1,2007,array cable,delay,0,0,70933.72315972223,70933.72315972223
1,1,2007,array cable,maintenance,15000,0,60162.78553819444,75162.78553819444
1,1,2007,array cable,repair,5000000,0,24117140.0,29117140.0
1,1,2007,blade,delay,0,0,79544.79128819444,79544.79128819444
1,1,2007,blade,maintenance,87230,0,65101.23333333332,152331.23333333334
1,1,2007,blade,repair,21450,0,4002.1249999999995,25452.125
1,1,2007,converter,delay,0,0,43595.777589120364,43595.777589120364
1,1,2007,converter,maintenance,88660,0,32802.787598379626,121462.78759837963
1,1,2007,converter,repair,40040,0,5602.974999999999,45642.975
1,1,2007,drivetrain,delay,0,0,5638785.422146991,5638785.422146991
1,1,2007,drivetrain,maintenance,331760,0,77374.41666666666,409134.4166666666
1,1,2007,drivetrain,repair,743600,0,4825613.600000001,5569213.600000001
1,1,2007,generator,delay,0,0,2601613.9190810183,2601613.9190810183
1,1,2007,generator,maintenance,261690,0,65101.23333333332,326791.23333333334
1,1,2007,generator,repair,145860,0,807470.6333333333,953330.6333333333
1,1,2007,pitch_system,delay,0,0,115540.90406944443,115540.90406944443
1,1,2007,pitch_system,maintenance,174460,0,48825.924999999996,223285.92500000002
1,1,2007,pitch_system,repair,214500,0,53361.666666666664,267861.6666666667
1,1,2007,yaw_system,delay,0,0,64959.7878599537,64959.7878599537
1,1,2007,yaw_system,maintenance,130845,0,40688.270833333336,171533.27083333334
1,1,2007,yaw_system,repair,42900,0,11205.949999999999,54105.95
1,1,2008,array cable,delay,0,0,888268.84140625,888268.84140625
1,1,2008,array cable,maintenance,230000,0,692881.4644618055,922881.4644618055
1,1,2008,array cable,repair,10000000,0,9646856.0,19646856.0
1,1,2008,blade,delay,0,0,68603.94501273148,68603.94501273148
1,1,2008,blade,maintenance,75790,0,56563.36666666666,132353.36666666667
1,1,2008,blade,repair,21450,0,4002.1249999999995,25452.125
1,1,2008,converter,delay,0,0,40708.763195601845,40708.763195601845
1,1,2008,converter,maintenance,74360,0,27748.066666666662,102108.06666666667
1,1,2008,converter,repair,62920,0,8804.675,71724.675
1,1,2008,drivetrain,delay,0,0,2554114.8611979173,2554114.8611979173
1,1,2008,drivetrain,maintenance,314600,0,73372.29166666666,387972.2916666666
1,1,2008,drivetrain,repair,643500,0,3879935.1810613424,4523435.181061342
1,1,2008,generator,delay,0,0,69511.61214004629,69511.61214004629
1,1,2008,generator,maintenance,223080,0,55496.133333333324,278576.13333333336
1,1,2008,generator,repair,34320,0,5602.974999999999,39922.975
1,1,2008,pitch_system,delay,0,0,145565.95752083333,145565.95752083333
1,1,2008,pitch_system,maintenance,151580,0,42422.524999999994,194002.52500000002
1,1,2008,pitch_system,repair,326040,0,81109.73333333332,407149.73333333334
1,1,2008,yaw_system,delay,0,0,56798.0468298611,56798.0468298611
1,1,2008,yaw_system,maintenance,113685,0,35352.104166666664,149037.10416666666
1,1,2008,yaw_system,repair,50050,0,13073.608333333334,63123.60833333333
1,1,2009,array cable,delay,0,0,72211.5646875,72211.5646875
1,1,2009,array cable,maintenance,20000,0,61473.0,81473.0
1,1,2009,array cable,repair,10000000,0,24117140.0,34117140.0
1,1,2009,blade,delay,0,0,69770.45328009258,69770.45328009258
1,1,2009,blade,maintenance,78650,0,58697.83333333333,137347.83333333334
1,1,2009,blade,repair,35750,0,6670.208333333332,42420.20833333333
1,1,2009,converter,delay,0,0,52511.80801157407,52511.80801157407
1,1,2009,converter,maintenance,80080,0,29882.53333333333,109962.53333333333
1,1,2009,converter,repair,74360,0,10405.525,84765.52500000001
1,1,2009,drivetrain,delay,0,0,6813959.458690972,6813959.458690972
1,1,2009,drivetrain,maintenance,286000,0,66702.08333333333,352702.0833333333
1,1,2009,drivetrain,repair,729300,0,4575560.9522719905,5304860.9522719905
1,1,2009,generator,delay,0,0,60544.517567129624,60544.517567129624
1,1,2009,generator,maintenance,235950,0,58697.83333333333,294647.8333333334
1,1,2009,generator,repair,11440,0,1867.6583333333333,13307.658333333333
1,1,2009,pitch_system,delay,0,0,155589.76132060183,155589.76132060183
1,1,2009,pitch_system,maintenance,157300,0,44023.375,201323.375
1,1,2009,pitch_system,repair,360360,0,89781.37473379628,450141.37473379634
1,1,2009,yaw_system,delay,0,0,55100.58997916666,55100.58997916666
1,1,2009,yaw_system,maintenance,117975,0,36686.145833333336,154661.14583333334
1,1,2009,yaw_system,repair,42900,0,11205.949999999999,54105.95
1,1,2010,array cable,delay,0,0,871399.6968055556,871399.6968055556
1,1,2010,array cable,maintenance,220000,0,676203.0,896203.0
1,1,2010,array cable,repair,20000000,0,19293712.0,39293712.0
1,1,2010,blade,delay,0,0,79109.52313773148,79109.52313773148
1,1,2010,blade,maintenance,87230,0,65101.23333333332,152331.23333333334
1,1,2010,blade,repair,7150,0,1334.0416666666665,8484.041666666666
1,1,2010,converter,delay,0,0,43605.93112847222,43605.93112847222
1,1,2010,converter,maintenance,85800,0,32016.999999999996,117817.0
1,1,2010,converter,repair,57200,0,8570.43951736111,65770.43951736111
1,1,2010,drivetrain,delay,0,0,235987.0243356481,235987.0243356481
1,1,2010,drivetrain,maintenance,326040,0,76040.375,402080.375
1,1,2010,drivetrain,repair,271700,0,1219210.2,1490910.2
1,1,2010,export cable,delay,0,0,16648.9375,16648.9375
1,1,2010,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2010,generator,delay,0,0,81228.68538194444,81228.68538194444
1,1,2010,generator,maintenance,257400,0,64033.99999999999,321434.0
1,1,2010,generator,repair,34320,0,5602.974999999999,39922.975
1,1,2010,pitch_system,delay,0,0,134323.58077199073,134323.58077199073
1,1,2010,pitch_system,maintenance,174460,0,48825.924999999996,223285.92500000002
1,1,2010,pitch_system,repair,261690,0,64967.45859953703,326657.458599537
1,1,2010,yaw_system,delay,0,0,62690.21241782407,62690.21241782407
1,1,2010,yaw_system,maintenance,128700,0,40021.25,168721.25
1,1,2010,yaw_system,repair,42900,0,11205.949999999999,54105.95
1,1,2011,array cable,delay,0,0,87569.85378472222,87569.85378472222
1,1,2011,array cable,maintenance,20000,0,73143.97633680556,93143.97633680556
1,1,2011,array cable,repair,10000000,0,19293712.0,29293712.0
1,1,2011,blade,delay,0,0,79908.79937962962,79908.79937962962
1,1,2011,blade,maintenance,80080,0,59765.06666666666,139845.06666666668
1,1,2011,blade,repair,50050,0,9338.291666666666,59388.291666666664
1,1,2011,converter,delay,0,0,59675.35236458333,59675.35236458333
1,1,2011,converter,maintenance,80080,0,29882.53333333333,109962.53333333333
1,1,2011,converter,repair,91520,0,12240.610482638887,103760.61048263889
1,1,2011,drivetrain,delay,0,0,108310.36117939814,108310.36117939814
1,1,2011,drivetrain,maintenance,314600,0,73372.29166666666,387972.2916666666
1,1,2011,drivetrain,repair,300300,0,1223479.1333333333,1523779.1333333333
1,1,2011,generator,delay,0,0,69532.43801273148,69532.43801273148
1,1,2011,generator,maintenance,240240,0,59765.06666666666,300005.06666666665
1,1,2011,generator,repair,245960,0,1607470.6333333333,1853430.6333333333
1,1,2011,pitch_system,delay,0,0,126253.44393634258,126253.44393634258
1,1,2011,pitch_system,maintenance,160160,0,44823.799999999996,204983.80000000002
1,1,2011,pitch_system,repair,296010,0,73639.09999999999,369649.10000000003
1,1,2011,yaw_system,delay,0,0,59730.34452662036,59730.34452662036
1,1,2011,yaw_system,maintenance,120120,0,37353.166666666664,157473.16666666666
1,1,2011,yaw_system,repair,21450,0,5713.0334375,27163.0334375
1,1,2012,array cable,delay,0,0,853925.7831076389,853925.7831076389
1,1,2012,array cable,maintenance,220000,0,664532.0236631945,884532.0236631945
1,1,2012,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2012,blade,delay,0,0,68695.17864004629,68695.17864004629
1,1,2012,blade,maintenance,75790,0,56563.36666666666,132353.36666666667
1,1,2012,blade,repair,28600,0,5336.166666666666,33936.166666666664
1,1,2012,converter,delay,0,0,49766.38731828703,49766.38731828703
1,1,2012,converter,maintenance,75790,0,28281.683333333327,104071.68333333333
1,1,2012,converter,repair,62920,0,8804.675,71724.675
1,1,2012,drivetrain,delay,0,0,695709.9252384258,695709.9252384258
1,1,2012,drivetrain,maintenance,303160,0,70704.20833333333,373864.2083333333
1,1,2012,drivetrain,repair,729300,0,3644823.8,4374123.8
1,1,2012,export cable,delay,0,0,16648.9375,16648.9375
1,1,2012,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2012,generator,delay,0,0,74742.61185532407,74742.61185532407
1,1,2012,generator,maintenance,223080,0,55658.21939583333,278738.2193958333
1,1,2012,generator,repair,34320,0,5602.974999999999,39922.975
1,1,2012,pitch_system,delay,0,0,133402.83262499998,133402.83262499998
1,1,2012,pitch_system,maintenance,151580,0,42422.524999999994,194002.525
1,1,2012,pitch_system,repair,308880,0,76840.79999999999,385720.8
1,1,2012,yaw_system,delay,0,0,47994.298247685176,47994.298247685176
1,1,2012,yaw_system,maintenance,115830,0,36019.125,151849.125
1,1,2012,yaw_system,repair,28600,0,7360.574895833333,35960.57489583333
1,1,2013,array cable,delay,0,0,88863.70390625,88863.70390625
1,1,2013,array cable,maintenance,25000,0,76841.25,101841.25
1,1,2013,array cable,repair,15000000,0,28940568.0,43940568.0
1,1,2013,blade,delay,0,0,72511.7977349537,72511.7977349537
1,1,2013,blade,maintenance,80080,0,59765.066666666666,139845.06666666668
1,1,2013,blade,repair,14300,0,2668.083333333333,16968.083333333332
1,1,2013,converter,delay,0,0,47147.14473263888,47147.14473263888
1,1,2013,converter,maintenance,80080,0,29882.53333333333,109962.53333333333
