run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,34597200.00000001,2000000.0,68992384.10356082,0,26020305,131609889.10356082
1,1,2003,34597200.00000001,2000000.0,91961591.63321933,0,32409550,160968341.63321933
1,1,2004,34691986.84931508,2000000.0,42569853.57809102,0,22513700,101775540.4274061
1,1,2005,34597200.00000001,2000000.0,51246715.333691984,0,21816090,109660005.33369198
1,1,2006,34597200.00000001,2000000.0,36665689.99266351,0,7272030,80534919.99266352
1,1,2007,34597200.00000001,2000000.0,49758874.846495196,0,17254385,103610459.84649521
1,1,2008,34691986.84931508,2000000.0,47011150.99055557,0,12413600,96116737.83987065
1,1,2009,34597200.00000001,2000000.0,38113672.61448791,0,11959085,86669957.61448792
1,1,2010,34597200.00000001,2000000.0,50884797.52579603,0,27185515,114667512.52579604
1,1,2011,34597200.00000001,2000000.0,31343286.24571782,0,6842545,74783031.24571782
1,1,2012,34691986.84931508,2000000.0,66213651.967656545,0,17638105,120543743.81697163
1,1,2013,34597200.00000001,2000000.0,36604594.46167591,0,7167155,80368949.46167591
1,1,2014,34597200.00000001,2000000.0,51415692.26045173,0,17470085,105482977.26045173
1,1,2015,34597200.00000001,2000000.0,51259581.67702922,0,22121395,109978176.67702922
1,1,2016,34691986.84931508,2000000.0,76650730.00622581,0,17814715,131157431.85554089
1,1,2017,34597200.00000001,2000000.0,26016585.964023206,0,7443140,70056925.96402322
1,1,2018,34597200.00000001,2000000.0,77692623.59517884,0,22746070,137035893.59517884
1,1,2019,34597200.00000001,2000000.0,56234145.49258486,0,21896880,114728225.49258487
1,1,2020,34691986.84931508,2000000.0,52900515.21356934,0,17142625,106735127.06288442
1,1,2021,34597200.00000001,2000000.0,29087853.006159708,0,21900445,87585498.00615972
2,2,2002,34597200.00000001,2000000.0,36077853.25503219,0,15860145,88535198.2550322
2,2,2003,34597200.00000001,2000000.0,22474754.998435766,0,1971255,61043209.99843577
2,2,2004,34691986.84931508,2000000.0,78199538.74836753,0,22567315,137458840.5976826
2,2,2005,34597200.00000001,2000000.0,74415228.24420191,0,22659800,133672228.24420191
2,2,2006,34597200.00000001,2000000.0,27715542.07974318,0,2392860,66705602.07974319
2,2,2007,34597200.00000001,2000000.0,26871535.676377013,0,7014155,70482890.67637703
2,2,2008,34691986.84931508,2000000.0,52811716.945597455,0,7673850,97177553.79491253
2,2,2009,34597200.00000001,2000000.0,41335580.882968195,0,16956955,94889735.8829682
2,2,2010,34597200.00000001,2000000.0,12744294.71714537,0,6858750,56200244.717145376
2,2,2011,34597200.00000001,2000000.0,65504557.523954704,0,7320170,109421927.52395472
2,2,2012,34691986.84931508,2000000.0,60899436.04412569,0,17543010,115134432.89344077
2,2,2013,34597200.00000001,2000000.0,39766589.81026948,0,26901180,103264969.81026949
2,2,2014,34597200.00000001,2000000.0,38382487.63982835,0,12125455,87105142.63982835
2,2,2015,34597200.00000001,2000000.0,39973901.12880534,0,12551105,89122206.12880534
2,2,2016,34691986.84931508,2000000.0,73737609.98618457,0,22445065,132874661.83549964
2,2,2017,34597200.00000001,2000000.0,99533341.65490052,0,37327310,173457851.65490052
2,2,2018,34597200.00000001,2000000.0,64067973.78945866,0,22668150,123333323.78945866
2,2,2019,34597200.00000001,2000000.0,29042512.180762146,0,11770320,77410032.18076216
2,2,2020,34691986.84931508,2000000.0,78541092.76866603,0,22364275,137597354.6179811
2,2,2021,34597200.00000001,2000000.0,61450857.74856789,0,27275110,125323167.7485679
