run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,blade,repair,18200,0,2668.0833333333335,20868.083333333332
1,1,2002,converter,delay,0,0,1359.3884583333331,1359.3884583333331
1,1,2002,converter,repair,80080,0,8804.675,88884.675
1,1,2002,drivetrain,delay,0,0,84339.12424884258,84339.12424884258
1,1,2002,drivetrain,repair,400400,0,1225613.6,1626013.6
1,1,2002,generator,delay,0,0,6796.979348379628,6796.979348379628
1,1,2002,generator,repair,72800,0,9338.291666666666,82138.29166666666
1,1,2002,pitch_system,delay,0,0,31266.675675925922,31266.675675925922
1,1,2002,pitch_system,repair,349376,0,68302.93333333332,417678.93333333335
1,1,2002,yaw_system,delay,0,0,5437.6279467592585,5437.6279467592585
1,1,2002,yaw_system,repair,59150,0,12139.779166666667,71289.77916666666
1,1,2003,array cable,repair,10000000,0,24117140.0,34117140.0
1,1,2003,blade,delay,0,0,68941.27227083333,68941.27227083333
1,1,2003,blade,maintenance,103740,0,60832.299999999996,164572.3
1,1,2003,blade,repair,18200,0,2668.083333333333,20868.083333333332
1,1,2003,converter,delay,0,0,49830.38426157407,49830.38426157407
1,1,2003,converter,maintenance,103740,0,30416.149999999994,134156.15
1,1,2003,converter,repair,36400,0,4002.125,40402.125
1,1,2003,drivetrain,delay,0,0,3499814.854146991,3499814.854146991
1,1,2003,drivetrain,maintenance,414960,0,76040.375,491000.37499999994
1,1,2003,drivetrain,repair,400400,0,1227168.610846065,1627568.610846065
1,1,2003,generator,delay,0,0,65487.51250925925,65487.51250925925
1,1,2003,generator,maintenance,305704,0,59765.06666666666,365469.06666666665
1,1,2003,generator,repair,283920,0,1603735.3166666667,1887655.3166666667
1,1,2003,pitch_system,delay,0,0,121296.96035069443,121296.96035069443
1,1,2003,pitch_system,maintenance,207480,0,45624.225,253104.225
1,1,2003,pitch_system,repair,322081,0,62966.76666666666,385047.76666666666
1,1,2003,yaw_system,delay,0,0,52848.87587268518,52848.87587268518
1,1,2003,yaw_system,maintenance,155553,0,38020.1875,193573.1875
1,1,2003,yaw_system,repair,31850,0,6536.804166666667,38386.80416666667
1,1,2004,array cable,delay,0,0,899885.3885243055,899885.3885243055
1,1,2004,array cable,maintenance,225000,0,691571.25,916571.25
1,1,2004,array cable,repair,20000000,0,24117140.0,44117140.0
1,1,2004,blade,delay,0,0,76934.25703009259,76934.25703009259
1,1,2004,blade,maintenance,103740,0,60832.299999999996,164572.3
1,1,2004,blade,repair,27300,0,4002.1249999999995,31302.125
1,1,2004,converter,delay,0,0,38822.46533564814,38822.46533564814
1,1,2004,converter,maintenance,103740,0,30416.149999999994,134156.15
1,1,2004,converter,repair,58240,0,6403.4,64643.4
1,1,2004,drivetrain,delay,0,0,1878833.984144676,1878833.984144676
1,1,2004,drivetrain,maintenance,393120,0,72038.25,465158.24999999994
1,1,2004,drivetrain,repair,1201200,0,6328429.789153935,7529629.789153935
1,1,2004,generator,delay,0,0,76005.28229282406,76005.28229282406
1,1,2004,generator,maintenance,311163,0,60832.299999999996,371995.3
1,1,2004,generator,repair,14560,0,1867.6583333333333,16427.658333333333
1,1,2004,pitch_system,delay,0,0,127471.38692129627,127471.38692129627
1,1,2004,pitch_system,maintenance,207480,0,45624.225,253104.225
1,1,2004,pitch_system,repair,365753,0,71504.63333333333,437257.63333333336
1,1,2004,yaw_system,delay,0,0,53775.81249074073,53775.81249074073
1,1,2004,yaw_system,maintenance,155553,0,38020.1875,193573.1875
1,1,2004,yaw_system,repair,22750,0,4669.145833333333,27419.145833333332
1,1,2005,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2005,blade,delay,0,0,68384.68044212963,68384.68044212963
1,1,2005,blade,maintenance,103740,0,60832.299999999996,164572.3
1,1,2005,blade,repair,9100,0,1334.0416666666665,10434.041666666668
1,1,2005,converter,delay,0,0,46948.40958101851,46948.40958101851
1,1,2005,converter,maintenance,103740,0,30416.149999999994,134156.15
1,1,2005,converter,repair,50960,0,5602.974999999999,56562.975
1,1,2005,drivetrain,delay,0,0,1627263.5382060185,1627263.5382060185
1,1,2005,drivetrain,maintenance,400400,0,73372.29166666666,473772.2916666666
1,1,2005,drivetrain,repair,564200,0,2127645.8,2691845.8
1,1,2005,generator,delay,0,0,179142.68889583333,179142.68889583333
1,1,2005,generator,maintenance,311163,0,60832.299999999996,371995.3
1,1,2005,generator,repair,283920,0,1603735.3166666667,1887655.3166666667
1,1,2005,pitch_system,delay,0,0,136061.4294398148,136061.4294398148
1,1,2005,pitch_system,maintenance,207480,0,45624.225,253104.225
1,1,2005,pitch_system,repair,393048,0,76840.79999999999,469888.80000000005
1,1,2005,yaw_system,delay,0,0,46443.91949074074,46443.91949074074
1,1,2005,yaw_system,maintenance,155553,0,38020.1875,193573.1875
1,1,2005,yaw_system,repair,31850,0,6536.804166666667,38386.80416666667
1,1,2006,array cable,delay,0,0,918087.8711111111,918087.8711111111
1,1,2006,array cable,maintenance,225000,0,691571.25,916571.25
1,1,2006,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2006,blade,delay,0,0,72839.97198495369,72839.97198495369
1,1,2006,blade,maintenance,103740,0,60832.299999999996,164572.3
1,1,2006,blade,repair,18200,0,2668.083333333333,20868.083333333332
1,1,2006,converter,delay,0,0,53536.38906828703,53536.38906828703
1,1,2006,converter,maintenance,103740,0,30416.149999999994,134156.15
1,1,2006,converter,repair,87360,0,9605.1,96965.1
1,1,2006,drivetrain,delay,0,0,1218170.5990358796,1218170.5990358796
1,1,2006,drivetrain,maintenance,407680,0,74706.33333333333,482386.3333333333
1,1,2006,drivetrain,repair,309400,0,1214941.2666666666,1524341.2666666666
1,1,2006,export cable,delay,0,0,16648.9375,16648.9375
