run,random_seed,year,windfarm
1,1,2002,2698025.126
1,1,2003,2664610.626
1,1,2004,2677233.66
1,1,2005,2661587.198
1,1,2006,2664235.923
1,1,2007,2661739.542
1,1,2008,2680492.048
1,1,2009,2657368.19
1,1,2010,2666506.783
1,1,2011,2664751.175
1,1,2012,2677645.432
1,1,2013,2662377.229
1,1,2014,2661389.313
1,1,2015,2662631.708
1,1,2016,2675051.481
1,1,2017,2665329.852
1,1,2018,2665354.767
1,1,2019,2669291.184
1,1,2020,2677420.705
1,1,2021,2663624.243
2,2,2002,2696396.769
2,2,2003,2665253.497
2,2,2004,2675810.841
2,2,2005,2660657.317
2,2,2006,2659202.954
2,2,2007,2662422.457
2,2,2008,2674782.336
2,2,2009,2658515.928
2,2,2010,2663950.078
2,2,2011,2661022.471
2,2,2012,2676587.946
2,2,2013,2658717.127
2,2,2014,2662932.433
2,2,2015,2668403.211
2,2,2016,2677218.044
2,2,2017,2664654.549
2,2,2018,2666877.121
2,2,2019,2659405.175
2,2,2020,2671065.392
2,2,2021,2662473.317
3,3,2002,2694766.612
3,3,2003,2663630.379
3,3,2004,2676023.961
3,3,2005,2661435.576
3,3,2006,2665238.952
3,3,2007,2666590.713
3,3,2008,2682445.858
3,3,2009,2664821.878
3,3,2010,2658733.678
3,3,2011,2661890.559
3,3,2012,2677110.194
3,3,2013,2662840.831
3,3,2014,2667036.702
3,3,2015,2660849.617
3,3,2016,2674648.252
3,3,2017,2660851.281
3,3,2018,2667537.333
3,3,2019,2658419.682
3,3,2020,2679836.08
3,3,2021,2663432.05
4,4,2002,2698506.679
4,4,2003,2663211.998
4,4,2004,2676536.837
4,4,2005,2664166.43
4,4,2006,2660346.642
4,4,2007,2660748.251
4,4,2008,2679116.789
4,4,2009,2662638.482
4,4,2010,2662618.023
4,4,2011,2666693.264
4,4,2012,2679270.049
4,4,2013,2666068.389
4,4,2014,2663461.095
4,4,2015,2667563.446
4,4,2016,2683917.051
4,4,2017,2663625.296
4,4,2018,2660035.555
4,4,2019,2662513.26
4,4,2020,2682335.237
4,4,2021,2663433.432
5,5,2002,2690699.096
5,5,2003,2659280.198
5,5,2004,2677916.997
5,5,2005,2663520.27
5,5,2006,2663780.148
5,5,2007,2661440.425
5,5,2008,2674684.926
5,5,2009,2663302.588
5,5,2010,2666696.849
5,5,2011,2665670.995
5,5,2012,2679938.611
5,5,2013,2665195.529
5,5,2014,2655331.411
5,5,2015,2667464.986
5,5,2016,2671040.316
5,5,2017,2660363.964
5,5,2018,2663942.821
5,5,2019,2667464.285
5,5,2020,2671715.998
5,5,2021,2661833.343
6,6,2002,2696961.293
6,6,2003,2664317.461
6,6,2004,2678856.226
6,6,2005,2665250.478
6,6,2006,2665849.55
6,6,2007,2663180.299
6,6,2008,2679334.769
6,6,2009,2659967.254
6,6,2010,2663736.94
6,6,2011,2663579.988
6,6,2012,2682830.891
6,6,2013,2663774.287
6,6,2014,2667417.185
6,6,2015,2665274.728
6,6,2016,2676442.445
6,6,2017,2663472.681
6,6,2018,2659308.462
6,6,2019,2658428.422
6,6,2020,2678804.593
6,6,2021,2666066.605
7,7,2002,2699608.623
7,7,2003,2665648.718
7,7,2004,2675039.374
7,7,2005,2663009.742
7,7,2006,2660674.564
7,7,2007,2664068.997
7,7,2008,2679098.01
7,7,2009,2662207.428
7,7,2010,2660179.485
7,7,2011,2666669.07
7,7,2012,2679617.836
7,7,2013,2664854.287
7,7,2014,2668097.259
7,7,2015,2664186.104
7,7,2016,2676948.383
7,7,2017,2660893.128
7,7,2018,2660435.778
7,7,2019,2662896.77
7,7,2020,2681951.609
7,7,2021,2660722.83
8,8,2002,2699012.847
8,8,2003,2661725.532
8,8,2004,2674439.528
8,8,2005,2663278.505
8,8,2006,2664013.275
8,8,2007,2662829.062
8,8,2008,2679068.072
8,8,2009,2663810.764
8,8,2010,2658971.455
8,8,2011,2664461.946
8,8,2012,2684549.646
8,8,2013,2657263.985
8,8,2014,2656460.491
8,8,2015,2663297.827
8,8,2016,2680038.849
8,8,2017,2661806.406
8,8,2018,2668529.231
8,8,2019,2662315.957
8,8,2020,2674364.577
8,8,2021,2665372.77
9,9,2002,2692841.134
9,9,2003,2664433.274
9,9,2004,2673442.609
9,9,2005,2668379.319
9,9,2006,2664423.957
9,9,2007,2664389.217
9,9,2008,2677524.679
9,9,2009,2662900.666
9,9,2010,2662290.987
9,9,2011,2664027.427
9,9,2012,2670878.711
9,9,2013,2665457.184
9,9,2014,2664857.944
9,9,2015,2664319.03
9,9,2016,2679209.258
9,9,2017,2663925.593
9,9,2018,2666587.979
9,9,2019,2663474.158
9,9,2020,2677726.508
9,9,2021,2668045.753
10,10,2002,2698036.329
10,10,2003,2659813.029
10,10,2004,2675650.58
10,10,2005,2664695.884
10,10,2006,2665145.503
10,10,2007,2662727.76
10,10,2008,2671888.637
10,10,2009,2659699.362
10,10,2010,2663536.02
10,10,2011,2667530.251
10,10,2012,2678117.008
10,10,2013,2662464.899
10,10,2014,2660672.307
10,10,2015,2661512.322
10,10,2016,2679535.718
10,10,2017,2671295.274
10,10,2018,2665227.611
10,10,2019,2661832.316
10,10,2020,2677703.522
10,10,2021,2658805.565
11,11,2002,2697098.815
11,11,2003,2665357.58
11,11,2004,2662341.766
11,11,2005,2658665.494
11,11,2006,2665966.847
11,11,2007,2664814.098
11,11,2008,2677112.896
11,11,2009,2664962.012
11,11,2010,2662840.352
11,11,2011,2663219.193
11,11,2012,2676140.42
11,11,2013,2668392.547
11,11,2014,2663233.66
11,11,2015,2663694.328
11,11,2016,2677791.032
11,11,2017,2667592.647
11,11,2018,2661532.445
11,11,2019,2662467.347
11,11,2020,2676310.265
11,11,2021,2662698.394
12,12,2002,2698338.164
12,12,2003,2664624.704
12,12,2004,2671914.094
12,12,2005,2660213.705
12,12,2006,2660155.151
12,12,2007,2661533.567
12,12,2008,2678626.657
12,12,2009,2665427.681
12,12,2010,2667738.783
12,12,2011,2666835.417
12,12,2012,2680779.221
12,12,2013,2665047.369
12,12,2014,2663957.825
12,12,2015,2665277.659
12,12,2016,2678347.561
12,12,2017,2663456.012
12,12,2018,2664266.392
12,12,2019,2662406.99
12,12,2020,2679998.478
12,12,2021,2659039.297
13,13,2002,2699524.045
13,13,2003,2658829.985
13,13,2004,2680293.924
13,13,2005,2660342.787
13,13,2006,2664591.804
13,13,2007,2663033.222
13,13,2008,2680402.101
13,13,2009,2659817.176
13,13,2010,2663240.218
13,13,2011,2668168.944
13,13,2012,2680978.81
13,13,2013,2666645.369
13,13,2014,2662152.677
13,13,2015,2662977.329
13,13,2016,2669746.332
13,13,2017,2660908.287
13,13,2018,2661800.393
13,13,2019,2662030.815
13,13,2020,2680704.323
13,13,2021,2665462.742
14,14,2002,2698101.905
14,14,2003,2660290.145
14,14,2004,2676376.775
14,14,2005,2664291.381
14,14,2006,2663422.079
14,14,2007,2665296.589
14,14,2008,2678410.221
14,14,2009,2661755.702
14,14,2010,2658191.422
14,14,2011,2664147.998
14,14,2012,2674987.359
14,14,2013,2659434.461
14,14,2014,2659297.987
14,14,2015,2662744.901
14,14,2016,2675485.972
14,14,2017,2661576.379
14,14,2018,2667618.752
14,14,2019,2663584.451
14,14,2020,2674469.722
14,14,2021,2665897.361
15,15,2002,2698281.311
15,15,2003,2658617.784
15,15,2004,2677894.281
15,15,2005,2665325.386
15,15,2006,2663269.944
15,15,2007,2660017.233
15,15,2008,2670435.57
15,15,2009,2666991.522
15,15,2010,2662085.445
15,15,2011,2661512.78
15,15,2012,2677784.255
15,15,2013,2669363.828
15,15,2014,2665877.395
15,15,2015,2662611.13
15,15,2016,2677319.262
