run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,0.0,1165331.6831460495,0.0,8008333.333333332
1,1,2003,24128026.333855294,1168533.014701374,0.0,24033333.333333332
1,1,2004,24130981.55912245,1171727.4737630207,1742635.1541624758,19776676.68115395
1,1,2005,14495406.020833332,1168527.6917973252,0.0,21068894.719165295
1,1,2006,9671978.020833332,1168527.812507558,1745069.0582095669,8001791.339227357
1,1,2007,14495406.020833332,1168528.6618780715,125613.03171875,24044624.999999996
1,1,2008,19343956.041666668,1171729.5671622949,1747709.3608490643,26499740.74074074
1,1,2009,14495406.020833332,1168528.0816570278,250778.89005208333,21595768.518518515
1,1,2010,24167384.041666668,1168526.8475788806,1622259.180491062,8008333.333333332
1,1,2011,9671978.020833332,1168529.5670020632,250781.73602430554,24037064.814814813
1,1,2012,9671978.020833332,1171729.644923173,1747832.1289273659,26385638.888888888
1,1,2013,38623381.663251154,1168526.4532961778,248824.41862847222,21716666.666666664
1,1,2014,9671978.020833332,1168530.7338105005,1709604.0340417689,29919953.7037037
1,1,2015,28954493.62206316,1168529.6599828908,495954.0607986111,22250486.11111111
1,1,2016,43474346.22176002,1171731.7963548482,1600026.635868091,19949999.999999996
1,1,2017,24131938.669177443,1168528.0791087132,619144.9350658212,41075589.106180385
1,1,2018,28968202.222916666,1168529.3297455744,1702368.804345142,11120384.259259257
1,1,2019,9671978.020833334,1168527.8544451653,760494.2242085247,4899999.999999999
1,1,2020,28998806.049235575,1171730.7354705306,1700822.9569771825,16041666.666666664
1,1,2021,14495406.020833332,1168530.0905394922,893850.079104358,24036431.74900036
2,2,2002,24129127.21521161,1165335.9119213584,0.0,40063911.57051243
2,2,2003,33816752.24375,1168528.3065878397,0.0,8019024.070140005
2,2,2004,22609.81875,1171732.2117803968,1742643.8240669232,44078172.000120394
2,2,2005,24167384.041666668,1168529.4194611837,0.0,28011976.52204378
2,2,2006,0.0,1168529.6975662943,1742660.9287199522,32063901.32815266
2,2,2007,24167384.041666668,1168530.2993174829,124715.48322916667,12289342.430857783
2,2,2008,53096507.62722797,1171731.5670363868,1621914.9363699737,32083514.91023621
2,2,2009,33822893.22380272,1168529.6978860905,249655.4425173611,18072320.050267857
2,2,2010,43474878.63722578,1168529.9050559923,1610305.854529308,16016666.666666664
2,2,2011,57946502.29501451,1168531.884863204,400061.5895606168,8017921.660839123
2,2,2012,9694587.839583334,1171727.6756269885,1592081.72350962,8024971.960408635
2,2,2013,9914536.714650461,1168527.440878353,524039.40081906057,40079320.01100615
2,2,2014,14472796.202083332,1168530.2219404473,1592067.1170780784,16837979.483311918
2,2,2015,33789006.499943376,1168527.0038340075,400061.3801419773,16016666.666666664
2,2,2016,48312158.264583334,1171729.7561779688,1612726.4417525353,26464634.259259257
2,2,2017,19331442.599608876,1168528.8972798465,641392.8921180614,21634356.481481478
2,2,2018,28953434.902711194,1168530.828345205,1689861.6366918203,8008333.333333332
2,2,2019,9671978.020833332,1168529.524869584,641409.3503737712,19933624.712682948
2,2,2020,0.0,1171725.450171789,1710338.0792992066,23903282.407407403
2,2,2021,40174896.38739641,1168531.2771296664,637609.6217105767,36278370.74432074
3,3,2002,14472796.202083332,1165330.6981794874,0.0,40056587.962962955
3,3,2003,9658146.541640101,1168529.4475168956,0.0,13403055.555555554
3,3,2004,33801043.78479404,1171733.584597468,1751903.5959052495,26671546.296296295
3,3,2005,43471007.56914801,1168528.0132284823,125277.56274305556,32068047.369387355
3,3,2006,33803617.44818336,1168529.4064166823,1881342.2279696357,8008333.333333332
3,3,2007,33816752.24375,1168529.0451233087,125273.64953125,8008333.333333332
3,3,2008,28977103.420655105,1171732.3312095583,1732250.7687753018,16016666.666666664
3,3,2009,19321346.222916666,1168527.8800969056,258087.70230311318,39893592.021677904
3,3,2010,29038543.88125,1168532.2608465378,1869841.691977991,22740518.36962719
