run,random_seed,time_based_availability,production_based_availability
1,1,0.984552357393598,0.984747512547949
2,2,0.9840929468320585,0.9840952699897715
3,3,0.9843610280549652,0.9844057151924274
4,4,0.9847980234638616,0.9850583397382281
5,5,0.9842432484359427,0.9843484110181513
6,6,0.9843378123611561,0.9844934536644907
7,7,0.9845202356793192,0.984793180664629
8,8,0.9843134959232441,0.9844034452468116
9,9,0.9844015554514852,0.9844919861356324
10,10,0.9844618962418595,0.9848021684491792
11,11,0.9841977176571363,0.9842862666081897
12,12,0.9843674323842918,0.9846505853031102
13,13,0.9842205330803623,0.9842427039370439
14,14,0.9843957515280329,0.9846404752236751
15,15,0.9844062586308344,0.9844876762107359
16,16,0.9843507210874551,0.9844275276491248
17,17,0.9842868779294803,0.9843425358012051
18,18,0.984262661559214,0.9842884579260285
19,19,0.9845664669316458,0.9846712788785745
20,20,0.9842673647385632,0.984361272955996
21,21,0.9841889117043121,0.9840138770031029
22,22,0.9839925789833928,0.9838054618097504
23,23,0.9846171011603844,0.9847050355887208
24,24,0.984504825261877,0.9847443722159778
25,25,0.984091645952664,0.9839841575050132
26,26,0.9844585940095505,0.984681995184619
27,27,0.9843069915262718,0.9844321086748591
28,28,0.9843933499045354,0.9845268203270027
29,29,0.9841566899223876,0.9841675552399626
30,30,0.9844167657336359,0.9845415283866421
