run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,41831160.0,2000000.0,43676591.37991512,0,16228444,103736195.37991512
1,1,2003,41831160.0,2000000.0,54180034.61478012,0,17970062,115981256.61478013
1,1,2004,41945765.91780822,2000000.0,41470978.43569025,0,12917038,98333782.35349846
1,1,2005,41831160.0,2000000.0,26857176.1690345,0,7343989,78032325.1690345
1,1,2006,41831160.0,2000000.0,55977379.67292775,0,17928864,117737403.67292775
1,1,2007,41831160.0,2000000.0,49382602.49545698,0,17606973,110820735.49545698
1,1,2008,41945765.91780822,2000000.0,46082078.87848695,0,13049455,103077299.79629517
1,1,2009,41831160.0,2000000.0,51678504.372811615,0,12657468,108167132.37281162
1,1,2010,41831160.0,2000000.0,51294329.72588532,0,32396547,127522036.72588532
1,1,2011,41831160.0,2000000.0,37235856.559652135,0,12513688,93580704.55965213
1,1,2012,41945765.91780822,2000000.0,38629188.55318017,0,7915688,90490642.4709884
1,1,2013,41831160.0,2000000.0,43051234.72909689,0,7644743,94527137.72909689
1,1,2014,41831160.0,2000000.0,20714701.224348646,0,7583089,72128950.22434865
1,1,2015,41831160.0,2000000.0,41481498.03669906,0,17320761,102633419.03669906
1,1,2016,41945765.91780822,2000000.0,70568080.186915,0,18555867,133069713.10472322
1,1,2017,41831160.0,2000000.0,18183218.978857815,0,2741653,64756031.978857815
1,1,2018,41831160.0,2000000.0,77034011.29611436,0,37879282,158744453.29611436
1,1,2019,41831160.0,2000000.0,70783358.57615139,0,27440436,142054954.57615137
1,1,2020,41945765.91780822,2000000.0,35207890.51835276,0,17355587,96509243.43616098
1,1,2021,41831160.0,2000000.0,37074251.5330706,0,22373080,103278491.5330706
2,2,2002,41831160.0,2000000.0,11684757.450425338,0,1056450,56572367.45042534
2,2,2003,41831160.0,2000000.0,22702434.734411042,0,2445904,68979498.73441105
2,2,2004,41945765.91780822,2000000.0,63952728.86142573,0,22916585,130815079.77923395
2,2,2005,41831160.0,2000000.0,79866715.32719517,0,23381392,147079267.32719517
2,2,2006,41831160.0,2000000.0,38356830.61385125,0,12853801,95041791.61385125
2,2,2007,41831160.0,2000000.0,40804667.17671724,0,17376756,102012583.17671724
2,2,2008,41945765.91780822,2000000.0,37308640.50236351,0,7692737,88947143.42017174
2,2,2009,41831160.0,2000000.0,51128044.19895095,0,17288018,112247222.19895095
2,2,2010,41831160.0,2000000.0,12586645.52727188,0,12148107,68565912.52727188
2,2,2011,41831160.0,2000000.0,58997868.83465297,0,8183912,111012940.83465296
2,2,2012,41945765.91780822,2000000.0,65614462.69282464,0,17731421,127291649.61063287
2,2,2013,41831160.0,2000000.0,51142548.11226274,0,32301209,127274917.11226274
2,2,2014,41831160.0,2000000.0,30191441.811598647,0,12382901,86405502.81159864
2,2,2015,41831160.0,2000000.0,72314330.61818245,0,28143393,144288883.61818245
2,2,2016,41945765.91780822,2000000.0,84637597.55987778,0,32718246,161301609.477686
2,2,2017,41831160.0,2000000.0,69325398.21287413,0,27555070,140711628.2128741
2,2,2018,41831160.0,2000000.0,19589982.917053036,0,8027205,71448347.91705304
2,2,2019,41831160.0,2000000.0,27540174.239334658,0,7460883,78832217.23933466
2,2,2020,41945765.91780822,2000000.0,47748270.195468724,0,12517146,104211182.11327694
2,2,2021,41831160.0,2000000.0,39848326.29057936,0,22368048,106047534.29057936
