run,random_seed,year,windfarm
1,1,2002,765762.996
1,1,2003,836373.521
1,1,2004,1011417.911
1,1,2005,1132841.863
1,1,2006,1285779.126
1,1,2007,1340863.911
1,1,2008,1346073.713
1,1,2009,1338567.601
1,1,2010,1337671.801
1,1,2011,1339232.633
1,1,2012,1342710.371
1,1,2013,1338203.562
1,1,2014,1338410.987
1,1,2015,1338839.211
1,1,2016,1345807.583
1,1,2017,1339301.713
1,1,2018,1338239.15
1,1,2019,1337312.253
1,1,2020,1347125.034
1,1,2021,1338513.388
2,2,2002,766537.533
2,2,2003,835162.809
2,2,2004,1012582.928
2,2,2005,1132764.781
2,2,2006,1288740.068
2,2,2007,1337584.601
2,2,2008,1345600.481
2,2,2009,1337400.918
2,2,2010,1340189.265
2,2,2011,1337160.916
2,2,2012,1342782.191
2,2,2013,1338389.407
2,2,2014,1337874.183
2,2,2015,1339483.854
2,2,2016,1345712.526
2,2,2017,1338979.935
2,2,2018,1336751.097
2,2,2019,1339998.571
2,2,2020,1344835.623
2,2,2021,1339061.828
