run,random_seed,year,Cable Laying Vessel,Crew Transfer Vessel,Diving Support Vessel,Heavy Lift Vessel
1,1,2002,24167384.041666668,1165330.8482779383,0.0,8008333.333333332
1,1,2003,38649790.65410031,1168528.4511765689,0.0,24033560.185185183
1,1,2004,24144774.222916666,1171730.4324690592,1769838.6671368808,18465512.13979229
1,1,2005,53103084.85641845,1168526.4934552207,0.0,22410235.554504395
1,1,2006,9671978.020833332,1168526.069951774,1741378.752724804,8024999.999999999
1,1,2007,24144774.222916666,1168527.5280089735,397806.1790300494,24067867.426920623
1,1,2008,9671978.020833334,1171728.0320092726,1734152.0639723295,32213893.518518515
1,1,2009,24128640.311307207,1168531.1184060588,400483.4585279409,31840963.740733042
1,1,2010,9694587.839583334,1168527.3937282849,1731489.7790650357,8753888.10524858
1,1,2011,19343956.041666668,1168526.0491796562,400677.76778873085,32041222.22222222
1,1,2012,14495406.020833332,1171733.3071422752,1732066.589348011,19291666.666666664
1,1,2013,19343956.041666668,1168530.240162197,400554.9509205784,27428328.122999154
1,1,2014,0.0,1168527.7528624865,1865236.2437724941,25404546.296296295
1,1,2015,24408717.339134257,1168526.430581415,400643.0204546712,24597754.629629627
1,1,2016,14495406.020833332,1171731.735923791,1854704.4160621546,23455314.814814813
1,1,2017,9671978.020833332,1168527.8014723076,534794.806931146,39402912.947122835
1,1,2018,48272469.29481114,1168526.2270270332,1854656.883482741,9401187.14570776
1,1,2019,24189993.86041667,1168528.4167330458,389484.10548611113,15716666.666666664
1,1,2020,33797525.5064151,1171732.282418163,1735239.7396512348,8002697.572762614
1,1,2021,29018446.264583334,1168528.515909179,661727.6737847222,24035171.95531937
2,2,2002,9671978.020833332,1165332.221846262,0.0,40064751.114597246
2,2,2003,9671978.020833332,1168527.3942804001,0.0,8021071.806973967
2,2,2004,28990812.041666668,1171731.8892917854,1769816.8601669867,34969118.41533023
2,2,2005,38610306.02866864,1168525.6884295405,0.0,29121532.711974807
2,2,2006,19304175.568730745,1168526.3730789537,1902029.1090165186,40758443.3722208
2,2,2007,24167384.041666668,1168529.25278812,0.0,19656136.690135967
2,2,2008,19343956.041666668,1171732.712944468,1901992.2430864058,32487287.273620706
2,2,2009,38624394.144966096,1168528.6199431731,125024.27121527778,24033515.77352623
2,2,2010,28974910.87612386,1168527.7277526306,1874899.5254568874,16026506.395828191
2,2,2011,24147286.425,1168524.6904944747,254199.74866319445,16104863.365738295
2,2,2012,28972472.123366743,1171728.665674011,1868749.0549042553,16006222.789678289
2,2,2013,19323858.425,1168527.354297262,254205.44060763888,24040307.321754117
2,2,2014,19326876.882407382,1168524.9341574656,1868723.1421497073,16057940.139980838
2,2,2015,57919457.87959508,1168527.7722752427,968161.6851215278,24019425.92592592
2,2,2016,48279370.37861486,1171731.6511665322,1719141.017742582,10578425.353902658
2,2,2017,77226981.63757291,1168527.9670291087,636124.644346864,32055254.629629627
2,2,2018,19327603.636890445,1168527.0641025202,1892467.7476206706,16045733.727903951
2,2,2019,0.0,1168528.5823992116,510210.7495786367,33846968.177599
2,2,2020,24125942.24713395,1171729.0976017804,1892436.501199549,16018092.592592591
2,2,2021,2512.202083333333,1168528.7224910436,510199.72143627563,16031925.925925924
3,3,2002,9671978.020833332,1165333.081409838,0.0,33290040.676829804
3,3,2003,24128067.65959139,1168527.0690868355,0.0,14301546.296296295
3,3,2004,9649368.202083332,1171730.1238735383,1769760.1809013577,17766666.666666664
3,3,2005,67560141.74558078,1168529.7153848258,0.0,24046485.80764585
3,3,2006,9671978.020833332,1168531.6230201575,1742642.6708770005,8008333.333333332
3,3,2007,67795143.70575301,1168528.7682064583,507279.2515104167,16016666.666666664
3,3,2008,9694587.839583334,1171733.081128727,1616150.3315826247,8008333.333333332
3,3,2009,48334768.083333336,1168527.8541240955,642954.2180208333,40067585.69189604
3,3,2010,0.0,1168526.42218375,1619144.365298212,16561303.927971315
3,3,2011,48295537.442026,1168531.2431619985,659541.1350065396,8028666.666666666
