run,random_seed,time_based_availability,production_based_availability
1,1,0.930542543634497,0.929013197516356
2,2,0.9780734870522473,0.9290673034541492
3,3,0.9308444023785079,0.9293381053568508
4,4,0.9781468350730094,13.536252686499427
5,5,0.9303032490588637,0.9287970358260821
6,6,0.9308329055441479,0.9292704592135657
7,7,0.9307347813997262,0.9290395432445391
8,8,0.930615624287018,0.9289762091139677
9,9,0.9304080574093087,0.9287330285182999
10,10,0.930639063569473,0.9289425465748579
11,11,0.9303306988649327,0.9286393415262154
12,12,0.9306270319986311,0.9289393699141352
13,13,0.9854535634839151,0.9853650520976478
14,14,0.930348790782569,0.9285561162229875
15,15,0.9305252538215834,0.9288776799545266
16,16,0.9306416481291353,0.9290305445941542
17,17,0.9306442326887976,0.9288043751498205
18,18,0.9306556404004107,0.9290410973642553
19,19,0.930770252253023,0.9291752709259439
20,20,0.9304308728325348,0.928512897068906
21,21,0.9306884375712982,0.9289093568047925
22,22,0.9303208062400182,0.9286122487552564
23,23,0.9307518038443988,0.9290363484852815
24,24,0.9305491387177732,0.9288375541784791
25,25,0.9304931696326717,0.9286765897823641
26,26,0.9304438847535934,0.9288568701708695
27,27,0.9304025317989961,0.9286047709703692
28,28,0.9306280123488478,0.9290634060891688
29,29,0.9305869267624914,0.9287448261144565
30,30,0.9305142917237053,0.9288227048456329
