run,random_seed,year,subassembly,action,materials_cost,total_labor_cost,equipment_cost,total_cost
1,1,2002,array cable,repair,15000000,0,24117140.0,39117140.0
1,1,2002,blade,repair,4680,0,2668.0833333333335,7348.083333333334
1,1,2002,converter,delay,0,0,5437.6279467592585,5437.6279467592585
1,1,2002,converter,repair,22464,0,9874.317019675926,32338.317019675927
1,1,2002,drivetrain,delay,0,0,85698.47565046295,85698.47565046295
1,1,2002,drivetrain,repair,102960,0,1225613.5999999999,1328573.5999999999
1,1,2002,generator,delay,0,0,6797.053461805554,6797.053461805554
1,1,2002,generator,repair,18720,0,9338.291666666666,28058.291666666664
1,1,2002,pitch_system,delay,0,0,40810.63209953703,40810.63209953703
1,1,2002,pitch_system,repair,108031,0,82176.96666666666,190207.96666666665
1,1,2002,yaw_system,delay,0,0,6797.0905185185175,6797.0905185185175
1,1,2002,yaw_system,repair,16380,0,13073.608333333334,29453.60833333333
1,1,2003,array cable,repair,20000000,0,38587424.0,58587424.0
1,1,2003,blade,delay,0,0,76036.15053472221,76036.15053472221
1,1,2003,blade,maintenance,28080,0,64033.99999999999,92114.0
1,1,2003,blade,repair,4680,0,2668.0833333333335,7348.083333333334
1,1,2003,converter,delay,0,0,42009.19442361111,42009.19442361111
1,1,2003,converter,maintenance,27612,0,31483.383333333328,59095.383333333324
1,1,2003,converter,repair,16848,0,6934.607980324074,23782.607980324075
1,1,2003,drivetrain,delay,0,0,3347926.1043449077,3347926.1043449077
1,1,2003,drivetrain,maintenance,108576,0,77374.41666666666,185950.41666666666
1,1,2003,drivetrain,repair,107640,0,1227748.0666666667,1335388.0666666667
1,1,2003,generator,delay,0,0,609044.7836041667,609044.7836041667
1,1,2003,generator,maintenance,81374,0,61899.533333333326,143273.53333333333
1,1,2003,generator,repair,73008,0,1603735.3166666667,1676743.3166666667
1,1,2003,pitch_system,delay,0,0,141099.2895671296,141099.2895671296
1,1,2003,pitch_system,maintenance,55224,0,47225.075,102449.075
1,1,2003,pitch_system,repair,88389,0,67235.7,155624.7
1,1,2003,yaw_system,delay,0,0,54110.656949074066,54110.656949074066
1,1,2003,yaw_system,maintenance,41359,0,39354.229166666664,80713.22916666667
1,1,2003,yaw_system,repair,11700,0,9338.291666666666,21038.291666666664
1,1,2004,array cable,delay,0,0,952179.7723611111,952179.7723611111
1,1,2004,array cable,maintenance,235000,0,722307.75,957307.75
1,1,2004,array cable,repair,10000000,0,24117140.0,34117140.0
1,1,2004,blade,delay,0,0,65805.90378703702,65805.90378703702
1,1,2004,blade,maintenance,25740,0,58697.83333333333,84437.83333333333
1,1,2004,blade,repair,7020,0,4002.125,11022.125
1,1,2004,converter,delay,0,0,52393.70826736111,52393.70826736111
1,1,2004,converter,maintenance,25740,0,29348.916666666664,55088.916666666664
1,1,2004,converter,repair,33696,0,14407.65,48103.65
1,1,2004,drivetrain,delay,0,0,1625843.8114224537,1625843.8114224537
1,1,2004,drivetrain,maintenance,99216,0,70704.20833333333,169920.20833333334
1,1,2004,drivetrain,repair,285480,0,6252645.8,6538125.8
1,1,2004,export cable,delay,0,0,16648.9375,16648.9375
1,1,2004,export cable,maintenance,10000,0,15368.250000000002,25368.25
1,1,2004,generator,delay,0,0,74474.39536689814,74474.39536689814
1,1,2004,generator,maintenance,74359,0,56563.36666666666,130922.36666666667
1,1,2004,generator,repair,11232,0,5602.975,16834.975
1,1,2004,pitch_system,delay,0,0,155116.13947222222,155116.13947222222
1,1,2004,pitch_system,maintenance,51480,0,44400.35294097222,95880.35294097223
1,1,2004,pitch_system,repair,115046,0,87513.13333333333,202559.13333333333
1,1,2004,yaw_system,delay,0,0,47811.20102893518,47811.20102893518
1,1,2004,yaw_system,maintenance,38555,0,36686.145833333336,75241.14583333334
1,1,2004,yaw_system,repair,10530,0,8404.4625,18934.462499999998
1,1,2005,array cable,repair,40000000,0,53057708.0,93057708.0
1,1,2005,blade,delay,0,0,74079.14846643517,74079.14846643517
1,1,2005,blade,maintenance,27612,0,62966.76666666666,90578.76666666666
1,1,2005,blade,repair,7020,0,4002.125,11022.125
1,1,2005,converter,delay,0,0,49930.993237268514,49930.993237268514
1,1,2005,converter,maintenance,27612,0,31483.383333333328,59095.38333333333
1,1,2005,converter,repair,26208,0,11205.949999999999,37413.950000000004
1,1,2005,drivetrain,delay,0,0,306619.68570717593,306619.68570717593
1,1,2005,drivetrain,maintenance,104832,0,74706.33333333333,179538.33333333334
1,1,2005,drivetrain,repair,145080,0,2194312.466666667,2339392.466666667
1,1,2005,generator,delay,0,0,179528.33531944442,179528.33531944442
1,1,2005,generator,maintenance,81374,0,61899.533333333326,143273.53333333333
1,1,2005,generator,repair,80496,0,1607470.6333333333,1687966.6333333333
1,1,2005,pitch_system,delay,0,0,139024.81771874998,139024.81771874998
1,1,2005,pitch_system,maintenance,55224,0,47006.62567708333,102230.62567708333
1,1,2005,pitch_system,repair,89792,0,68302.93333333333,158094.93333333335
1,1,2005,yaw_system,delay,0,0,52532.040976851844,52532.040976851844
1,1,2005,yaw_system,maintenance,41359,0,39354.229166666664,80713.22916666667
1,1,2005,yaw_system,repair,8190,0,6536.804166666667,14726.804166666665
1,1,2006,array cable,delay,0,0,948502.0647569444,948502.0647569444
1,1,2006,array cable,maintenance,235000,0,722307.75,957307.75
1,1,2006,array cable,repair,5000000,0,9646856.0,14646856.0
1,1,2006,blade,delay,0,0,77321.6479074074,77321.6479074074
1,1,2006,blade,maintenance,29484,0,67235.7,96719.7
1,1,2006,blade,repair,4680,0,2668.083333333333,7348.083333333333
1,1,2006,converter,delay,0,0,53426.775311342586,53426.775311342586
1,1,2006,converter,maintenance,29484,0,33617.84999999999,63101.84999999999
1,1,2006,converter,repair,20592,0,8804.675,29396.675000000003
1,1,2006,drivetrain,delay,0,0,1225399.2520335645,1225399.2520335645
1,1,2006,drivetrain,maintenance,108576,0,78167.94911805555,186743.94911805555
1,1,2006,drivetrain,repair,70200,0,1210672.3333333333,1280872.3333333333
1,1,2006,generator,delay,0,0,73909.76223148147,73909.76223148147
1,1,2006,generator,maintenance,85583,0,65101.23333333332,150684.23333333334
1,1,2006,generator,repair,11232,0,5602.974999999999,16834.975
1,1,2006,pitch_system,delay,0,0,127814.23562962962,127814.23562962962
1,1,2006,pitch_system,maintenance,59904,0,51068.67138194444,110972.67138194444
1,1,2006,pitch_system,repair,82777,0,62966.76666666666,145743.76666666666
1,1,2006,yaw_system,delay,0,0,63266.51841782407,63266.51841782407
1,1,2006,yaw_system,maintenance,44864,0,42689.333333333336,87553.33333333334
1,1,2006,yaw_system,repair,11700,0,9338.291666666666,21038.291666666664
1,1,2007,array cable,delay,0,0,71031.90920138889,71031.90920138889
1,1,2007,array cable,maintenance,15000,0,60474.41949652778,75474.41949652779
1,1,2007,array cable,repair,5000000,0,24117140.0,29117140.0
1,1,2007,blade,delay,0,0,79976.61316435185,79976.61316435185
1,1,2007,blade,maintenance,28548,0,65101.23333333332,93649.23333333332
1,1,2007,blade,repair,11700,0,6670.208333333333,18370.208333333332
1,1,2007,converter,delay,0,0,38920.665624999994,38920.665624999994
1,1,2007,converter,maintenance,28548,0,32550.61666666666,61098.61666666666
1,1,2007,converter,repair,11232,0,4802.549999999999,16034.550000000001
1,1,2007,drivetrain,delay,0,0,5479201.090119213,5479201.090119213
1,1,2007,drivetrain,maintenance,110448,0,77914.92588194444,188362.92588194445
1,1,2007,drivetrain,repair,168480,0,3612806.8,3781286.7999999993
1,1,2007,generator,delay,0,0,2180891.3504224536,2180891.3504224536
1,1,2007,generator,maintenance,85583,0,65101.23333333333,150684.23333333334
1,1,2007,generator,repair,40248,0,803735.3166666667,843983.3166666667
1,1,2007,pitch_system,delay,0,0,138247.03437037035,138247.03437037035
1,1,2007,pitch_system,maintenance,57096,0,48825.924999999996,105921.925
1,1,2007,pitch_system,repair,89792,0,68302.93333333332,158094.93333333332
1,1,2007,yaw_system,delay,0,0,57999.31429398147,57999.31429398147
1,1,2007,yaw_system,maintenance,42060,0,40605.52319328704,82665.52319328704
1,1,2007,yaw_system,repair,15210,0,12139.779166666667,27349.779166666664
1,1,2008,array cable,delay,0,0,870034.6973784722,870034.6973784722
1,1,2008,array cable,maintenance,225000,0,677201.5805034722,902201.5805034722
1,1,2008,array cable,repair,10000000,0,9646856.0,19646856.0
1,1,2008,blade,delay,0,0,69904.41329745369,69904.41329745369
1,1,2008,blade,maintenance,26676,0,60832.299999999996,87508.29999999999
1,1,2008,blade,repair,4680,0,2668.083333333333,7348.083333333334
1,1,2008,converter,delay,0,0,50680.798767361106,50680.798767361106
1,1,2008,converter,maintenance,26676,0,30416.149999999994,57092.149999999994
1,1,2008,converter,repair,18720,0,8004.25,26724.25
1,1,2008,drivetrain,delay,0,0,2121005.26534375,2121005.26534375
1,1,2008,drivetrain,maintenance,104832,0,74706.33333333333,179538.33333333334
1,1,2008,drivetrain,repair,196560,0,4817951.562962962,5014511.562962962
1,1,2008,export cable,delay,0,0,16648.9375,16648.9375
1,1,2008,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2008,generator,delay,0,0,5055496.779276621,5055496.779276621
1,1,2008,generator,maintenance,78568,0,59765.06666666666,138333.06666666668
1,1,2008,generator,repair,40248,0,803735.3166666667,843983.3166666667
1,1,2008,pitch_system,delay,0,0,141657.4748344907,141657.4748344907
1,1,2008,pitch_system,maintenance,52416,0,44823.799999999996,97239.8
1,1,2008,pitch_system,repair,103822,0,79880.48805092591,183702.48805092592
1,1,2008,yaw_system,delay,0,0,53889.09486226851,53889.09486226851
1,1,2008,yaw_system,maintenance,39957,0,37435.91430671296,77392.91430671296
1,1,2008,yaw_system,repair,15210,0,12139.779166666667,27349.779166666664
1,1,2009,array cable,delay,0,0,72302.63579861111,72302.63579861111
1,1,2009,array cable,maintenance,20000,0,61473.0,81473.0
1,1,2009,array cable,repair,10000000,0,24117140.0,34117140.0
1,1,2009,blade,delay,0,0,77273.88180439814,77273.88180439814
1,1,2009,blade,maintenance,28080,0,64033.99999999999,92113.99999999999
1,1,2009,blade,repair,7020,0,4002.1249999999995,11022.125
1,1,2009,converter,delay,0,0,48263.81172106481,48263.81172106481
1,1,2009,converter,maintenance,28080,0,32016.999999999996,60096.99999999999
1,1,2009,converter,repair,13104,0,5602.974999999999,18706.975
1,1,2009,drivetrain,delay,0,0,3459309.767262731,3459309.767262731
1,1,2009,drivetrain,maintenance,101088,0,72038.25,173126.25
1,1,2009,drivetrain,repair,243360,0,4825613.6,5068973.6
1,1,2009,generator,delay,0,0,1978650.5386909721,1978650.5386909721
1,1,2009,generator,maintenance,84180,0,64033.99999999999,148214.0
1,1,2009,generator,repair,36504,0,801867.6583333333,838371.6583333333
1,1,2009,pitch_system,delay,0,0,131311.75936921296,131311.75936921296
1,1,2009,pitch_system,maintenance,57096,0,48825.924999999996,105921.925
1,1,2009,pitch_system,repair,91195,0,69332.47998958333,160527.47998958334
1,1,2009,yaw_system,delay,0,0,55271.42142592592,55271.42142592592
1,1,2009,yaw_system,maintenance,42060,0,40021.25,82081.25
1,1,2009,yaw_system,repair,14040,0,11205.95,25245.949999999997
1,1,2010,array cable,delay,0,0,885955.4217361112,885955.4217361112
1,1,2010,array cable,maintenance,225000,0,691571.25,916571.25
1,1,2010,array cable,repair,15000000,0,9646856.0,24646856.0
1,1,2010,blade,delay,0,0,80881.13047106481,80881.13047106481
1,1,2010,blade,maintenance,28548,0,65101.23333333333,93649.23333333332
1,1,2010,blade,repair,2340,0,1334.0416666666665,3674.0416666666665
1,1,2010,converter,delay,0,0,43165.32681134259,43165.32681134259
1,1,2010,converter,maintenance,28548,0,32550.61666666666,61098.61666666666
1,1,2010,converter,repair,20592,0,8804.675,29396.675000000003
1,1,2010,drivetrain,delay,0,0,3517014.7161840275,3517014.7161840275
1,1,2010,drivetrain,maintenance,104832,0,74706.33333333333,179538.33333333334
1,1,2010,drivetrain,repair,135720,0,3614552.7925925925,3750272.7925925925
1,1,2010,generator,delay,0,0,87236.61614120369,87236.61614120369
1,1,2010,generator,maintenance,84180,0,64033.99999999999,148214.0
1,1,2010,generator,repair,18720,0,9338.291666666666,28058.291666666664
1,1,2010,pitch_system,delay,0,0,129843.57240162036,129843.57240162036
1,1,2010,pitch_system,maintenance,56160,0,48577.793249999995,104737.79325
1,1,2010,pitch_system,repair,89792,0,67435.3986261574,157227.3986261574
1,1,2010,yaw_system,delay,0,0,54998.05405439814,54998.05405439814
1,1,2010,yaw_system,maintenance,42761,0,40688.270833333336,83449.27083333334
1,1,2010,yaw_system,repair,10530,0,8404.4625,18934.462499999998
1,1,2011,array cable,delay,0,0,72298.01109375,72298.01109375
1,1,2011,array cable,maintenance,20000,0,61473.0,81473.0
1,1,2011,array cable,repair,10000000,0,19293712.0,29293712.0
1,1,2011,blade,delay,0,0,82477.64483564814,82477.64483564814
1,1,2011,blade,maintenance,28080,0,64033.99999999999,92113.99999999999
1,1,2011,blade,repair,9360,0,5336.166666666667,14696.166666666668
1,1,2011,converter,delay,0,0,61045.11670254629,61045.11670254629
1,1,2011,converter,maintenance,28080,0,32016.999999999993,60096.99999999999
1,1,2011,converter,repair,31824,0,13607.224999999999,45431.225000000006
1,1,2011,drivetrain,delay,0,0,2933918.3506689817,2933918.3506689817
1,1,2011,drivetrain,maintenance,108576,0,77374.41666666666,185950.41666666666
1,1,2011,drivetrain,repair,135720,0,4815029.644444444,4950749.644444444
1,1,2011,generator,delay,0,0,643372.4482581018,643372.4482581018
1,1,2011,generator,maintenance,82777,0,62966.766666666656,145743.76666666666
1,1,2011,generator,repair,76752,0,1605602.975,1682354.975
1,1,2011,pitch_system,delay,0,0,117890.63318171295,117890.63318171295
1,1,2011,pitch_system,maintenance,57096,0,48273.63175,105369.63175
1,1,2011,pitch_system,repair,85583,0,65101.23333333332,150684.23333333334
1,1,2011,yaw_system,delay,0,0,61032.51742013889,61032.51742013889
1,1,2011,yaw_system,maintenance,42060,0,40228.87876273148,82288.87876273149
1,1,2011,yaw_system,repair,5850,0,4669.145833333333,10519.145833333332
1,1,2012,array cable,delay,0,0,865744.75,865744.75
1,1,2012,array cable,maintenance,220000,0,676203.0,896203.0
1,1,2012,array cable,repair,10000000,0,14470284.0,24470284.0
1,1,2012,blade,delay,0,0,75647.4626724537,75647.4626724537
1,1,2012,blade,maintenance,26676,0,60832.299999999996,87508.29999999999
1,1,2012,blade,repair,9360,0,5336.166666666666,14696.166666666666
1,1,2012,converter,delay,0,0,41576.29790277778,41576.29790277778
1,1,2012,converter,maintenance,26676,0,30416.149999999994,57092.149999999994
1,1,2012,converter,repair,14976,0,6403.4,21379.4
1,1,2012,drivetrain,delay,0,0,1206946.8594259259,1206946.8594259259
1,1,2012,drivetrain,maintenance,104832,0,74706.33333333333,179538.33333333334
1,1,2012,drivetrain,repair,140400,0,2421344.6666666665,2561744.6666666665
1,1,2012,export cable,delay,0,0,16648.9375,16648.9375
1,1,2012,export cable,maintenance,10000,0,15368.25,25368.25
1,1,2012,generator,delay,0,0,76988.65628472221,76988.65628472221
1,1,2012,generator,maintenance,77165,0,58697.83333333333,135862.83333333334
1,1,2012,generator,repair,47736,0,807470.6333333333,855206.6333333333
