run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1,1,2002,11322720.000000002,2000000.0,33341048.223277938,0,15273235,61937003.22327794
1,1,2003,11322720.000000002,2000000.0,63851879.290462054,0,20644490,97819089.29046205
1,1,2004,11353741.150684932,2000000.0,45551855.4623149,0,11023094,69928690.61299983
1,1,2005,11322720.000000002,2000000.0,76681846.90437807,0,40694799,130699365.90437807
1,1,2006,11322720.000000002,2000000.0,20606882.843509912,0,5794076,39723678.84350991
1,1,2007,11322720.000000002,2000000.0,49778975.35687631,0,5703945,68805640.35687631
1,1,2008,11353741.150684932,2000000.0,44791751.63533345,0,10943365,69088857.78601837
1,1,2009,11322720.000000002,2000000.0,57538618.62897425,0,10765807,81627145.62897426
1,1,2010,11322720.000000002,2000000.0,21348493.117625233,0,15847723,50518936.11762524
1,1,2011,11322720.000000002,2000000.0,52954382.08085727,0,10711758,76988860.08085728
1,1,2012,11353741.150684932,2000000.0,36690872.58399028,0,10890858,60935471.73467521
1,1,2013,11322720.000000002,2000000.0,48341369.355748594,0,10690918,72355007.3557486
1,1,2014,11322720.000000002,2000000.0,28438310.292931274,0,901491,42662521.29293127
1,1,2015,11322720.000000002,2000000.0,50575641.419799976,0,15669159,79567520.41979998
1,1,2016,11353741.150684932,2000000.0,40977156.98763409,0,10898037,65228935.13831902
1,1,2017,11322720.000000002,2000000.0,50778213.57635962,0,5919855,70020788.57635963
1,1,2018,11322720.000000002,2000000.0,60696839.55102867,0,20846094,94865653.55102867
1,1,2019,11322720.000000002,2000000.0,41464673.04930249,0,25654817,80442210.04930249
1,1,2020,11353741.150684932,2000000.0,44707195.10124711,0,10872848,68933784.25193204
1,1,2021,11322720.000000002,2000000.0,54883874.40959661,0,25717694,93924288.4095966
2,2,2002,11322720.000000002,2000000.0,50902061.35727684,0,5498129,69722910.35727684
2,2,2003,11322720.000000002,2000000.0,18861577.2220877,0,5671399,37855696.222087696
2,2,2004,11353741.150684932,2000000.0,66901479.20645567,0,21017953,101273173.3571406
2,2,2005,11322720.000000002,2000000.0,68900364.42907299,0,20750501,102973585.42907299
2,2,2006,11322720.000000002,2000000.0,63133174.42304701,0,11008441,87464335.423047
2,2,2007,11322720.000000002,2000000.0,44992049.984590754,0,15681462,73996231.98459075
2,2,2008,11353741.150684932,2000000.0,54904968.27131825,0,11084262,79342971.42200318
2,2,2009,11322720.000000002,2000000.0,63951462.80965077,0,25722253,102996435.80965078
2,2,2010,11322720.000000002,2000000.0,48044844.52516157,0,10910702,72278266.52516156
2,2,2011,11322720.000000002,2000000.0,41674874.229895964,0,10674612,65672206.229895964
2,2,2012,11353741.150684932,2000000.0,48019172.633623295,0,20930114,82303027.78430822
2,2,2013,11322720.000000002,2000000.0,44786898.54165902,0,15714858,73824476.54165903
2,2,2014,11322720.000000002,2000000.0,38422065.09869539,0,15911696,67656481.0986954
2,2,2015,11322720.000000002,2000000.0,84075573.26291777,0,30657376,128055669.26291777
2,2,2016,11353741.150684932,2000000.0,61748668.401426636,0,40838131,115940540.55211157
2,2,2017,11322720.000000002,2000000.0,111086888.87857851,0,45726674,170136282.8785785
2,2,2018,11322720.000000002,2000000.0,38434332.17651758,0,15877589,67634641.17651758
2,2,2019,11322720.000000002,2000000.0,35525707.50957685,0,926689,49775116.50957685
2,2,2020,11353741.150684932,2000000.0,43208200.438527875,0,10831033,67392974.5892128
2,2,2021,11322720.000000002,2000000.0,17713166.571936578,0,5656653,36692539.57193658
3,3,2002,11322720.000000002,2000000.0,44127351.77907298,0,5402876,62852947.77907298
3,3,2003,11322720.000000002,2000000.0,39598141.024974525,0,15596753,68517614.02497452
3,3,2004,11353741.150684932,2000000.0,30357525.173524894,0,858137,44569403.324209824
3,3,2005,11322720.000000002,2000000.0,92775157.26861145,0,50733400,156831277.26861143
3,3,2006,11322720.000000002,2000000.0,20591485.648063824,0,5796655,39710860.64806382
3,3,2007,11322720.000000002,2000000.0,85487618.39213656,0,45643901,144454239.39213657
3,3,2008,11353741.150684932,2000000.0,20490804.585628018,0,15794137,49638682.73631295
3,3,2009,11322720.000000002,2000000.0,90213835.8473743,0,30813632,134350187.84737432
3,3,2010,11322720.000000002,2000000.0,19348974.715453275,0,884233,33555927.715453275
3,3,2011,11322720.000000002,2000000.0,58152276.4868612,0,30609047,102084043.4868612
3,3,2012,11353741.150684932,2000000.0,28445289.721422415,0,5890613,47689643.87210734
3,3,2013,11322720.000000002,2000000.0,46974617.17544324,0,10631223,70928560.17544323
3,3,2014,11322720.000000002,2000000.0,10746222.367583135,0,5788497,29857439.367583137
3,3,2015,11322720.000000002,2000000.0,50189223.967199914,0,10704919,74216862.96719992
3,3,2016,11353741.150684932,2000000.0,59968773.189552136,0,25836703,99159217.34023707
3,3,2017,11322720.000000002,2000000.0,66912105.59795191,0,20723742,100958567.59795192
3,3,2018,11322720.000000002,2000000.0,33073829.041875582,0,20807288,67203837.04187559
3,3,2019,11322720.000000002,2000000.0,45403277.385897934,0,5741137,64467134.385897934
3,3,2020,11353741.150684932,2000000.0,51058912.585935436,0,20789116,85201769.73662037
3,3,2021,11322720.000000002,2000000.0,55829476.91077538,0,20695126,89847322.91077538
4,4,2002,11322720.000000002,2000000.0,15660737.346441075,0,10194862,39178319.346441075
4,4,2003,11322720.000000002,2000000.0,36563087.00116482,0,10655257,60541064.00116482
4,4,2004,11353741.150684932,2000000.0,44816471.42275949,0,5947358,64117570.57344442
4,4,2005,11322720.000000002,2000000.0,33321637.866503682,0,10560949,57205306.866503686
4,4,2006,11322720.000000002,2000000.0,36659393.32699599,0,10947516,60929629.32699599
4,4,2007,11322720.000000002,2000000.0,62408352.08580976,0,10709857,86440929.08580977
4,4,2008,11353741.150684932,2000000.0,22167356.41637127,0,10890812,46411909.5670562
4,4,2009,11322720.000000002,2000000.0,46385896.534300946,0,5665176,65373792.534300946
4,4,2010,11322720.000000002,2000000.0,37133036.68567532,0,20864684,71320440.68567532
4,4,2011,11322720.000000002,2000000.0,52418980.97994788,0,10728114,76469814.97994788
4,4,2012,11353741.150684932,2000000.0,17554808.833578557,0,20768421,51676970.98426349
4,4,2013,11322720.000000002,2000000.0,17310963.311018646,0,628190,31261873.311018646
4,4,2014,11322720.000000002,2000000.0,51371804.302678235,0,15915696,80610220.30267823
4,4,2015,11322720.000000002,2000000.0,80078082.11838368,0,40622568,134023370.11838368
4,4,2016,11353741.150684932,2000000.0,11068970.694008386,0,801806,25224517.844693318
4,4,2017,11322720.000000002,2000000.0,35387621.20634302,0,5679226,54389567.20634302
4,4,2018,11322720.000000002,2000000.0,35114700.00532074,0,951011,49388431.00532074
4,4,2019,11322720.000000002,2000000.0,67411669.19225575,0,30677597,111411986.19225575
4,4,2020,11353741.150684932,2000000.0,51291910.83512927,0,15801946,80447597.9858142
4,4,2021,11322720.000000002,2000000.0,37067290.9861818,0,20648741,71038751.9861818
5,5,2002,11322720.000000002,2000000.0,79639014.71456945,0,30414820,123376554.71456945
5,5,2003,11322720.000000002,2000000.0,59883421.75986574,0,10773885,83980026.75986573
5,5,2004,11353741.150684932,2000000.0,48018127.7921846,0,20866876,82238744.94286953
5,5,2005,11322720.000000002,2000000.0,63988563.861024804,0,15773186,93084469.8610248
5,5,2006,11322720.000000002,2000000.0,44743879.87971426,0,10987299,69053898.87971425
5,5,2007,11322720.000000002,2000000.0,69484704.36956237,0,30718510,113525934.36956237
5,5,2008,11353741.150684932,2000000.0,72711503.31907493,0,30940787,117006031.46975987
5,5,2009,11322720.000000002,2000000.0,25925652.296189606,0,5606137,44854509.296189606
5,5,2010,11322720.000000002,2000000.0,67337729.60133195,0,25862181,106522630.60133195
5,5,2011,11322720.000000002,2000000.0,19270306.621226065,0,10650137,43243163.621226065
5,5,2012,11353741.150684932,2000000.0,48209124.065269925,0,10882151,72445016.21595486
5,5,2013,11322720.000000002,2000000.0,66120280.493209764,0,25642633,105085633.49320976
5,5,2014,11322720.000000002,2000000.0,57711087.560246415,0,10986426,82020233.56024641
5,5,2015,11322720.000000002,2000000.0,32154623.80404106,0,20671275,66148618.80404106
5,5,2016,11353741.150684932,2000000.0,44833559.87719117,0,1034077,59221378.0278761
5,5,2017,11322720.000000002,2000000.0,78826525.79104124,0,15846629,107995874.79104124
5,5,2018,11322720.000000002,2000000.0,65720254.132474914,0,35937585,114980559.13247491
5,5,2019,11322720.000000002,2000000.0,42304444.38164893,0,15681506,71308670.38164893
5,5,2020,11353741.150684932,2000000.0,81311008.12553728,0,1173777,95838526.27622221
5,5,2021,11322720.000000002,2000000.0,35564263.713273525,0,15746420,64633403.713273525
6,6,2002,11322720.000000002,2000000.0,33357186.230281424,0,15214757,61894663.23028143
6,6,2003,11322720.000000002,2000000.0,26869100.68157256,0,5666948,45858768.68157256
6,6,2004,11353741.150684932,2000000.0,19098782.347022466,0,858683,33311206.497707397
6,6,2005,11322720.000000002,2000000.0,99145174.0676131,0,35765471,148233365.0676131
6,6,2006,11322720.000000002,2000000.0,54395664.12463342,0,20916780,88635164.12463342
6,6,2007,11322720.000000002,2000000.0,38434766.53245304,0,20594575,72352061.53245303
6,6,2008,11353741.150684932,2000000.0,44864223.297217295,0,15818643,74036607.44790223
6,6,2009,11322720.000000002,2000000.0,31980439.907266043,0,15665950,60969109.90726604
6,6,2010,11322720.000000002,2000000.0,51233022.896963194,0,15958580,80514322.8969632
6,6,2011,11322720.000000002,2000000.0,25473767.78291676,0,697157,39493644.782916754
6,6,2012,11353741.150684932,2000000.0,59309126.2666145,0,35884720,108547587.41729942
6,6,2013,11322720.000000002,2000000.0,35274030.71919866,0,15764312,64361062.71919866
6,6,2014,11322720.000000002,2000000.0,76822659.03663433,0,15991810,106137189.03663433
6,6,2015,11322720.000000002,2000000.0,25614079.511904184,0,653725,39590524.51190418
6,6,2016,11353741.150684932,2000000.0,46866649.80793498,0,5887433,66107823.95861991
6,6,2017,11322720.000000002,2000000.0,60875913.0751776,0,25783126,99981759.07517761
6,6,2018,11322720.000000002,2000000.0,35185363.42661481,0,15837838,64345921.42661481
6,6,2019,11322720.000000002,2000000.0,55609221.08791181,0,10809175,79741116.08791181
6,6,2020,11353741.150684932,2000000.0,43338532.210466444,0,15910611,72602884.36115137
6,6,2021,11322720.000000002,2000000.0,24090952.536123697,0,10627361,48041033.53612369
7,7,2002,11322720.000000002,2000000.0,49342065.99081569,0,15338771,78003556.9908157
7,7,2003,11322720.000000002,2000000.0,34106552.32256997,0,5645415,53074687.32256997
7,7,2004,11353741.150684932,2000000.0,74132300.22410554,0,15892844,103378885.37479047
7,7,2005,11322720.000000002,2000000.0,47804218.4647882,0,35581315,96708253.4647882
7,7,2006,11322720.000000002,2000000.0,29401826.726809904,0,10806415,53530961.726809904
7,7,2007,11322720.000000002,2000000.0,37615987.74358904,0,10665947,61604654.74358904
7,7,2008,11353741.150684932,2000000.0,41477255.66671082,0,10920142,65751138.81739575
7,7,2009,11322720.000000002,2000000.0,28731089.70699726,0,10566972,52620781.70699726
7,7,2010,11322720.000000002,2000000.0,32484043.26756911,0,1012819,46819582.26756911
7,7,2011,11322720.000000002,2000000.0,37716890.717067175,0,5734993,56774603.717067175
7,7,2012,11353741.150684932,2000000.0,51208695.610958636,0,5905160,70467596.76164356
7,7,2013,11322720.000000002,2000000.0,56051153.5718599,0,35630613,105004486.5718599
7,7,2014,11322720.000000002,2000000.0,46279298.77590897,0,10887593,70489611.77590898
7,7,2015,11322720.000000002,2000000.0,43404565.189251564,0,5812923,62540208.189251564
7,7,2016,11353741.150684932,2000000.0,35076301.68712656,0,15829092,64259134.83781149
7,7,2017,11322720.000000002,2000000.0,64324599.79922683,0,15676660,93323979.79922682
7,7,2018,11322720.000000002,2000000.0,60634164.0970482,0,35871122,109828006.0970482
7,7,2019,11322720.000000002,2000000.0,61775092.37121798,0,20727287,95825099.37121798
7,7,2020,11353741.150684932,2000000.0,41551306.409316204,0,10874941,65779988.560001135
7,7,2021,11322720.000000002,2000000.0,61404875.25111027,0,30616921,105344516.25111027
8,8,2002,11322720.000000002,2000000.0,54269815.08908638,0,25179885,92772420.08908638
8,8,2003,11322720.000000002,2000000.0,36523329.31094381,0,15632321,65478370.31094381
8,8,2004,11353741.150684932,2000000.0,48399302.2969291,0,11114993,72868036.44761403
8,8,2005,11322720.000000002,2000000.0,30145228.33834058,0,15543871,59011819.33834058
8,8,2006,11322720.000000002,2000000.0,56728901.23353035,0,20917191,90968812.23353034
8,8,2007,11322720.000000002,2000000.0,47191316.52448209,0,10694099,71208135.52448209
8,8,2008,11353741.150684932,2000000.0,71957653.07599024,0,26027172,111338566.22667518
8,8,2009,11322720.000000002,2000000.0,38333228.33282337,0,20608460,72264408.33282337
8,8,2010,11322720.000000002,2000000.0,28842874.880143598,0,5889576,48055170.8801436
8,8,2011,11322720.000000002,2000000.0,43102115.14434985,0,20588428,77013263.14434984
8,8,2012,11353741.150684932,2000000.0,35202726.64151464,0,930122,49486589.79219957
